year,RFari,RFaci,RF
1980.0,-0.4794835865298135,-0.493787181621377,-0.9732707681511905
1981.0,-0.5110956294846711,-0.4902384030340114,-1.0013340325186826
1982.0,-0.5057325110907408,-0.4782471677560057,-0.9839796788467465
1983.0,-0.49709099881059354,-0.4662559324779999,-0.9633469312885934
1984.0,-0.4884494865304463,-0.4542646971999942,-0.9427141837304405
1985.0,-0.479807974250299,-0.4422734619219884,-0.9220814361722873
1986.0,-0.47116646197015166,-0.43028222664398263,-0.9014486886141343
1987.0,-0.4594786559051437,-0.4557510007947933,-0.9152296566999369
1988.0,-0.42742697559675086,-0.4145340105271305,-0.8419609861238814
1989.0,-0.46130479982624156,-0.40383732814764656,-0.8651421279738881
1990.0,-0.4850042904922854,-0.41199421982998435,-0.8969985103222697
1991.0,-0.48565193314685057,-0.42967280879823044,-0.915324741945081
1992.0,-0.48629957580141575,-0.44735139776647653,-0.9336509735678923
1993.0,-0.48694721845598093,-0.46502998673472257,-0.9519772051907035
1994.0,-0.4875948611105461,-0.48270857570296866,-0.9703034368135148
1995.0,-0.4882425037651113,-0.5003871646712147,-0.988629668436326
1996.0,-0.4639196338902066,-0.47981416337989374,-0.9437337972701003
1997.0,-0.4625980877431671,-0.48392272534981084,-0.9465208130929779
1998.0,-0.46856496735892444,-0.5036819736310502,-0.9722469409899746
1999.0,-0.4240418212718781,-0.477187677464328,-0.9012294987362062
2000.0,-0.43017047364446864,-0.4422958252454763,-0.872466298889945
2001.0,-0.4527527395947813,-0.42571307279962334,-0.8784658123944047
2002.0,-0.48924696907612303,-0.4332989152220315,-0.9225458842981545
2003.0,-0.5141925038286697,-0.44637914581218985,-0.9605716496408595
2004.0,-0.457750909402402,-0.42064035170228603,-0.878391261104688
2005.0,-0.5058165415910284,-0.43402295931534124,-0.9398395009063696
2006.0,-0.5020778046950494,-0.4251863520935593,-0.9272641567886086
2007.0,-0.5005362443580688,-0.4102154716550548,-0.9107517160131235
2008.0,-0.4947521062903335,-0.410407240720482,-0.9051593470108155
2009.0,-0.5209735208951927,-0.4391464991531644,-0.9601200200483571
2010.0,-0.5063321415350953,-0.442546329568847,-0.9488784711039423
2011.0,-0.4969650243632282,-0.4272874086870428,-0.924252433050271
2012.0,-0.4813904165954376,-0.43602403822045405,-0.9174144548158916
2013.0,-0.45846924155468427,-0.43957816693809215,-0.8980474084927764
2014.0,-0.4723482936225527,-0.4654171585884163,-0.9377654522109691
2015.0,-0.5078326400205305,-0.4829837877982997,-0.9908164278188303
2016.0,-0.48491105592117395,-0.4818106319208264,-0.9667216878420004
2017.0,-0.48342586041409574,-0.4614300411217826,-0.9448559015358784
2018.0,-0.49092756201673443,-0.442904424572638,-0.9338319865893725
2019.0,-0.5446071688252194,-0.49045262270879697,-1.0350597915340165
