year,RFari,RFaci,RF
2003.0,-0.5469918560829072,-0.6735067433228107,-1.220498599405718
2004.0,-0.5548590836310286,-0.6729627652222511,-1.2278218488532797
2005.0,-0.5627263111791502,-0.6724187871216915,-1.2351450983008416
2006.0,-0.5658051590909098,-0.6695926582373241,-1.2353978173282338
2007.0,-0.5591230826399203,-0.6617729680478024,-1.2208960506877227
2008.0,-0.5550948780434468,-0.6604914383744949,-1.2155863164179417
2009.0,-0.5535263629235048,-0.6651832499803493,-1.218709612903854
2010.0,-0.5562730933616065,-0.6715661659157162,-1.2278392592773226
2011.0,-0.5607921547313337,-0.6785698843093704,-1.239362039040704
2012.0,-0.5630563370228088,-0.6819288363569325,-1.2449851733797412
2013.0,-0.5606752866080611,-0.6853104831896227,-1.245985769797684
2014.0,-0.55949832841389,-0.6901382891810377,-1.2496366175949278
2015.0,-0.5743598635983193,-0.6900349355219894,-1.2643947991203086
2016.0,-0.568193954187417,-0.681095782122067,-1.2492897363094841
2017.0,-0.5491540901116574,-0.6368106558518223,-1.1859647459634797
2018.0,-0.5515617707236855,-0.6172301555217276,-1.168791926245413
2019.0,-0.5754545316410311,-0.6279154434875602,-1.2033699751285913
