Changes in global ocean heat content in Zettajoules (ZJ) relative to the 1971 average.
Year,Central Estimate 0-700m,0-700m Uncertainty (1-sigma),Central Estimate 700-2000m,700-2000m Uncertainty (1-sigma,Central Estimate >2000m,>2000m Uncertainty (1-sigma),Central Estimate Full-depth,Full-depth Uncertainty (1-sigma)
1971.5,0.0,46.71996729789079,0.0,12.66052035808695,0.0,0.0,0.0,59.38048765597774
1972.5,9.791417203973566,46.491789546867864,-0.2773433333333344,13.196416636352133,0.0,0.0,9.514073870640232,59.68820618322
1973.5,4.5281713280811005,50.26929698264955,-3.9104799999999926,14.898311762823063,0.0,0.0,0.6176913280811078,65.16760874547262
1974.5,11.580189406007435,52.39696709850118,1.6357500000000016,15.118807696408593,0.0,0.0,13.215939406007436,67.51577479490977
1975.5,4.454305483099944,53.86870558639036,4.517913333333333,15.285553597340487,0.0,0.0,8.972218816433276,69.15425918373084
1976.5,18.985672885012576,54.101031090186375,7.8685000000000045,15.087667573880855,0.0,0.0,26.85417288501258,69.18869866406723
1977.5,18.06972455999508,53.13114704855823,6.285167333333341,14.375839030338417,0.0,0.0,24.35489189332842,67.50698607889665
1978.5,34.94399092300242,49.27505424922342,4.770844000000011,12.51466948198288,0.0,0.0,39.71483492300243,61.7897237312063
1979.5,46.68032604228537,48.300047100721045,7.7265773333333385,10.164641077117926,0.0,0.0,54.40690337561871,58.46468817783897
1980.5,65.13027825624117,47.629290970163474,9.711603333333343,9.248468108199212,0.0,0.0,74.84188158957451,56.877759078362686
1981.5,74.44468598429742,50.8809962699258,8.938816666666675,9.139187344246418,0.0,0.0,83.38350265096409,60.02018361417222
1982.5,63.89067858420664,49.131651704364884,6.204110000000007,10.132765725840805,0.0,0.0,70.09478858420664,59.26441743020569
1983.5,50.85310453437535,46.65085952084663,6.135426666666675,11.772956174217244,0.0,0.0,56.98853120104202,58.42381569506387
1984.5,40.9413424764052,44.14881033969407,11.225933333333337,13.67932212057245,0.0,0.0,52.167275809738534,57.828132460266524
1985.5,48.022326302514415,42.858002519090334,16.178740000000005,13.463453380176212,0.0,0.0,64.20106630251442,56.321455899266546
1986.5,57.498624440596615,40.55612836122107,16.68459666666667,12.29899211497116,0.0,0.0,74.18322110726328,52.855120476192226
1987.5,76.73948037043732,39.40083700395771,17.842796666666672,11.369342074607705,0.0,0.0,94.58227703710399,50.77017907856542
1988.5,88.24099044222798,38.91757736083032,17.874030000000005,11.309743185432783,0.0,0.0,106.11502044222799,50.2273205462631
1989.5,97.45441794824823,36.27594806894421,20.063166666666675,10.38658049765296,0.0,0.0,117.51758461491491,46.66252856659717
1990.5,100.2098323632367,31.93414584738825,21.107100000000003,10.892946400276482,0.0,0.0,121.3169323632367,42.82709224766474
1991.5,92.68099164616194,26.470313111731365,26.343100000000007,10.1917622758522,0.0,0.0,119.02409164616195,36.66207538758356
1992.5,93.19482986852768,21.45637224164782,33.90753333333333,9.723406544431676,1.15,0.34650455927051665,128.25236320186102,31.526283345350013
1993.5,89.96907496812463,19.71123115000846,40.514633333333336,8.864878123669195,2.3,0.6930091185410333,132.78370830145798,29.269118392218687
1994.5,90.35208447063762,18.0789447243678,37.586600000000004,8.28075135373035,3.4499999999999997,1.0395136778115501,131.38868447063763,27.399209755909702
1995.5,97.53009605677691,19.427507937613864,36.571000000000005,8.284898451847182,4.6,1.3860182370820666,138.70109605677692,29.09842462654311
1996.5,107.17772191724877,21.183719075346545,37.94046666666667,8.21258796082317,5.75,1.7325227963525833,150.86818858391544,31.1288298325223
1997.5,107.2009415496011,20.278073916251547,37.86623333333334,8.713078898815365,6.9,2.0790273556231,151.96717488293444,31.070180170690012
1998.5,97.59437920806113,20.173581790309658,38.7715,9.189031535268319,8.05,2.4255319148936163,144.41587920806114,31.788145240471593
1999.5,96.8262735525078,23.744672260119003,36.40756666666667,10.517380464122102,9.200000000000001,2.7720364741641332,142.43384021917444,37.03408919840523
2000.5,105.30308429524624,35.41001955760896,42.591166666666666,9.037015075077015,10.350000000000001,3.11854103343465,158.2442509619129,47.56557566612063
2001.5,128.69706687126663,38.2977791630875,46.42060000000001,8.471369472174167,11.500000000000002,3.465045592705167,186.61766687126664,50.23419422796683
2002.5,138.69479918938018,36.850009534570134,54.67156666666667,7.355832620537407,12.650000000000002,3.811550151975684,206.01636585604686,48.01739230708323
2003.5,155.7730227438699,23.67068419826667,60.3135,6.855993315576804,13.800000000000002,4.1580547112462005,229.8865227438699,34.684732225089675
2004.5,157.41425499818675,16.27159498236829,66.27313333333333,6.794860420019314,14.950000000000003,4.504559270516718,238.63738833152007,27.571014672904322
2005.5,164.18738317705044,11.994655995511057,70.84996666666666,6.6984371709443495,16.1,4.851063829787234,251.1373498437171,23.54415699624264
2006.5,167.0263693448509,11.662651592610365,73.63056666666667,6.660339445140023,17.25,5.197568389057751,257.9069360115176,23.520559426808138
2007.5,174.6066750903942,11.487502304804428,75.64616666666667,6.2790043669288504,18.4,5.544072948328268,268.65284175706086,23.310579620061546
2008.5,183.95427268032094,11.898161560933582,76.9385,5.797261745476558,19.549999999999997,5.890577507598785,280.44277268032096,23.586000814008926
2009.5,190.19641307004716,11.75194102080284,80.37533333333334,5.542863526361216,20.699999999999996,6.237082066869301,291.2717464033805,23.531886614033358
2010.5,194.77293299287757,11.955753299015077,84.94793333333334,5.5271265293929295,21.849999999999994,6.583586626139819,301.5708663262109,24.066466454547825
2011.5,198.62847733119946,12.260240681941648,89.7207,5.6074944249060525,22.999999999999993,6.930091185410335,311.3491773311995,24.797826292258037
2012.5,206.67347402470443,12.6773611974878,97.04813333333334,6.37108222065442,24.14999999999999,7.2765957446808525,327.87160735803775,26.325039162823074
2013.5,211.89567016911678,12.366882632186254,103.5261,6.781819733975358,25.29999999999999,7.623100303951369,340.7217701691168,26.77180267011298
2014.5,219.72964589041348,11.535804008197324,110.09353333333333,7.604825951204708,26.44999999999999,7.969604863221886,356.2731792237468,27.11023482262392
2015.5,227.1411861857562,12.412655282419328,113.02886666666666,7.562031518441434,27.599999999999987,8.316109422492403,367.7700528524228,28.290796223353166
2016.5,237.53888303142799,13.080182009311542,117.12786666666665,8.337114624101995,28.749999999999986,8.66261398176292,383.41674969809463,30.079910615176455
2017.5,240.84930349799666,12.551590235308224,118.89453333333333,8.498654874044282,29.899999999999984,9.009118541033436,389.64383683132996,30.05936365038594
2018.5,240.94458780441755,11.156312571245198,123.28486666666666,10.675038969247137,31.049999999999983,9.355623100303953,395.27945447108414,31.186974640796286
