year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17603021404728134,0.04910945057756744,0.0,0.24369645576426663,0.24369645576426663
1751,0.0012464914367157078,0.00044741398450998446,6.511792848432326e-05,7.0050188913468e-10,0.0002640742817005711,4.1123894871793155e-05,0.0,-0.000899519618512294,0.0007817316546064472,-0.00040130110727406817,-0.00025645236112666796,0.17604104294490214,0.039907546799572265,0.00277232869060827,0.23329595293796354,0.24078896581933584
1752,0.0024926860171883085,0.0008945575579627974,0.00013022872890134054,1.40100377826936e-09,0.0005281485634011422,8.222293500888358e-05,0.0,-0.0010343441507178245,0.001183995184424059,-0.0005404396191485148,-0.0005129047222533359,0.1760446867109695,0.02478970828582383,0.005622787906144043,0.21509694687513686,0.22701852672940037
1753,0.003738583896406342,0.0013414311541583093,0.00019533240519166122,2.1015056674265717e-09,0.0007922228451017134,0.0001232971602838298,0.0,-0.0010047477762127241,0.0007730198224133169,-0.0004170582917918187,-0.0007693570833800024,0.17604590470422132,0.0065972764554076534,0.006838623408154855,0.18831261637225996,0.19901643628898116
1754,0.004984185229240048,0.0017880352057351215,0.0002604289612896812,2.802007556561252e-09,0.0010562971268022845,0.00016434661046245254,0.0,-0.0014232369765997512,-0.005962191815882055,2.0049368962542482e-05,-0.0010258094445066718,0.17604631424821052,-0.032068534867047346,0.0015019298545719036,0.15230864783006015,0.15640388235564967
1755,0.006229490170438282,0.0022343701441753113,0.0003255184011209455,3.502509445695932e-09,0.0013203714085028555,0.00020537132520427132,0.0,0.00014984008915764626,0.00010699332007586402,1.7804132848732812e-05,-0.0012822618056333383,0.15230738056094084,-0.06879938078021078,0.010628373665919634,0.09638744125673203,0.10820577778967105
1756,0.007474498874625431,0.0026804363998081814,0.0003906007286048335,4.203011334830612e-09,0.0015844456902034268,0.0002463713440628486,0.0,-0.0013717113120522994,0.000676721851505013,-0.00046655850086761404,-0.0015387141667600073,-0.08695585335352955,-0.08014617360673468,0.012431606960922931,-0.15934081040079445,-0.1417563012062743
1757,0.008719211496307964,0.003126234401815333,0.00045567594765230223,4.9035132239652925e-09,0.001848519971903998,0.00028734670648625633,0.0,-0.001661914907980451,-0.016252683933561357,0.0006365700167927208,-0.0017951665278866742,0.05840548018608906,-0.05139051801336964,-0.0006007513697992194,0.013307111228209653,0.019720010658844166
1758,0.009963628189870266,0.0035717645782342984,0.0005207440621685706,5.604015113122504e-09,0.002112594253604569,0.0003282974518174097,0.0,-0.0003830439504704753,-0.005050262989002864,0.00028969866220926764,-0.0020516188890133437,0.13491384831586906,0.00858866950030724,0.011987310470703642,0.15035062693927576,0.16381707654909922
1759,0.011207749109576916,0.004017027355962953,0.0005858050760497224,6.304517002257184e-09,0.0023766685353051402,0.000369223619294473,0.0,-0.0010669378320656464,-0.007776083350564453,0.00024722755121918985,-0.00230807125014001,0.16215613231595316,0.034221667901596975,0.010850525666690182,0.21200009499214204,0.22645484590358872
1760,0.012451574409567462,0.004462023160764132,0.0006508589931853904,7.005018891391864e-09,0.0026407428170057115,0.0004101252480512833,0.0,-0.0034774009844707092,-0.020829205203972766,0.000381044551726378,-0.002564523611266679,0.1713772513307218,0.04677503075599415,-0.0009907184882324118,0.23610107885317347,0.24548293552709616
1761,0.01369510424386723,0.004906752417269485,0.0007159058174587803,7.705520780526543e-09,0.002904817098706282,0.00045100237711770554,0.0,-0.0018556513084659655,-0.015109817734964134,0.0005068994915300334,-0.002820975972393346,0.17447791715207525,0.04369521197831776,0.008152861562380624,0.23605019937451108,0.25147069264411065
1762,0.014938338766377837,0.005351215548983766,0.000780945552744793,8.406022669661224e-09,0.0031688913804068537,0.0004918550454200262,0.0,-0.001093606979155,-0.00448113593441835,4.9580057382199005e-05,-0.0030774283335200147,-0.9026354647646079,0.03257238335335089,0.0189465271819465,-0.8435293260208581,-0.8177291961250933
1763,0.016181278130878385,0.005795412978289005,0.0008459782029111882,9.106524558818435e-09,0.0034329656621074245,0.0005326832917813373,0.0,-0.0009684677271183345,-0.005013731361995924,0.00011665549005993043,-0.0033338806946466818,-0.5544419981082672,0.015600302938216288,0.020693032931542576,-0.5252111370574061,-0.49712680301478934
1764,0.01742392249103092,0.006239345126448693,0.0009110037718189887,9.807026447953116e-09,0.003697039943807996,0.0005734871549219201,0.0,-0.000675328576811875,0.0010801030363234404,-0.0004247297740573194,-0.003590333055773351,-0.05574296869650406,-0.010111255628708793,0.030609601588070807,-0.06275996430460662,-0.025598251979423736
1765,0.01866627200037737,0.006683012413611939,0.0009760222633225017,1.0507528337087795e-08,0.003961114225508567,0.0006142666734596289,0.0,-0.002145339930431198,-0.01364763002445715,0.0003270955682683149,-0.0038467854169000177,0.10153778545424583,-0.053575979359599436,0.01688041143872568,0.05715996570453987,0.07938339273241103
1766,0.019908326812336435,0.00712641525881766,0.0010410336812678236,1.1208030226222476e-08,0.004225188507209138,0.000655021885910274,0.0,0.00020089740339583945,-0.0006170167623372855,0.00015948690909572348,-0.004103237778026685,-0.2291938887754835,-0.07467543099565126,0.03115502607294173,-0.28918833735999344,-0.25085920620567836
1767,0.021150087080210142,0.007569554079998623,0.0011060380294943806,1.1908532115357156e-08,0.00448926278890971,0.000695752830687995,0.0,0.00010097394342510351,-0.0008121837716351756,0.00018489418859913575,-0.004359690139153353,-0.2933200717366648,-0.05503981502680447,0.03238384576465561,-0.33464972478816124,-0.2940972500495377
1768,0.02239155295718077,0.008012429293985181,0.0011710353118353344,1.2609034004514368e-08,0.00475333707061028,0.0007364595461056031,0.0,-0.00480210165603053,-0.0367264859038453,0.0010824268210287325,-0.004616142500280023,0.02325683557230968,0.009356106169125473,0.0011351106320266697,0.03537576615355169,0.044992952315598585
1769,0.023632724596307754,0.008455041316510314,0.0012360255321149415,1.3309535893649047e-08,0.005017411352310851,0.0007771420703750453,0.0,-0.002569155956281425,-0.017741444878210035,0.0005045905967205009,-0.004872594861406689,0.12398698443747141,0.04347783270637489,0.021258936044574704,0.18134064235029826,0.2110407329640315
1770,0.024873602150534222,0.008897390562212365,0.0013010086941523788,1.4010037782783728e-08,0.005281485634011422,0.0008178004416076553,0.0,-0.0026342536185917794,-0.01836025738905859,0.0005265723072854849,-0.005129047222533356,0.029925419856478005,0.05952534392557489,0.02271434023065182,0.09349107221121032,0.12659016814250512
1771,0.02611418577268283,0.009339477444640188,0.0013659848017591048,1.471053967191841e-08,0.0055455599157119935,0.0008584346978146264,0.0,3.3327745882255016e-05,0.00017099276789818326,3.7422297211081296e-05,-0.005385499583660026,0.08130321116161912,0.0557270348596265,0.04129417380640046,0.1469927816529619,0.19305023366840418
1772,0.027354475615458063,0.00978130237625653,0.0014309538587392607,1.5411041561053086e-08,0.005809634197412564,0.0008990448769073234,0.0,-0.000263760355761928,0.0008185865755038641,-0.000175829382646965,-0.005641951944786692,0.14214542237252795,0.04409028512828466,0.04546180752881755,0.20170707600311524,0.25287314421062024
1773,0.028594471831442064,0.010222865768442313,0.0014959158688900751,1.6111543450210302e-08,0.006073708479113135,0.0009396310166976754,0.0,-0.00022487278047481229,0.0005888310386073937,-8.411841056117971e-05,-0.005898404305913361,0.164564385328916,0.025688829964430435,0.046449594690024874,0.2044612529558832,0.25413054789613965
1774,0.029834174573101137,0.010664168031500339,0.0015608708360022653,1.681204533934498e-08,0.006337782760813707,0.0009801931548985158,0.0,-0.0037355437543119987,-0.025170687222779455,0.0007231087210263175,-0.006154856667040027,0.17218525486874206,0.002986630368715022,0.02419890759667029,0.18185683310196465,0.21334661123832274
1775,0.031073583992782722,0.011105209574659549,0.0016258187638592974,1.7512547228479657e-08,0.006601857042514279,0.0010207313291239755,0.0,-0.001010226671815177,-0.010201523936690464,0.0006481231934153572,-0.006411309028166694,0.17474929097216405,-0.039031939494119934,0.04138410070195666,0.14587255318269318,0.18979886679074898
1776,0.03231270024271226,0.011545990806078744,0.001690759656237792,1.821304911761434e-08,0.006865931324214849,0.0010612455768898225,0.0,-0.0001777853680416563,-6.0314654270224586e-05,0.0001792713751238555,-0.0066677613892933635,0.17561076767485445,-0.07023786593062073,0.04977245755701117,0.11947439442311339,0.17106035516093762
1777,0.03355152347499976,0.011986512132850508,0.0017556935169075424,1.8913551006749022e-08,0.00713000560591542,0.001101735935613826,0.0,-0.0015478377780550456,-0.015745692156311573,0.0009171674220959174,-0.006924213750420032,0.17590014427187556,-0.06463545077723445,0.041056989509260615,0.12483033345838827,0.17115393893500028
1778,0.03479005384163669,0.01242677396100524,0.0018206203496315386,1.9614052895906232e-08,0.007394079887615992,0.0011422024426161223,0.0,-0.003193310650834717,-0.028821530101533717,0.0012696777658594077,-0.007180666111546699,0.17599735242369235,-0.004621592520723808,0.030914548070403336,0.17756647594601108,0.21630294226815913
1779,0.03602829149449294,0.012866776695514873,0.001885540158165989,2.0314554785040912e-08,0.007658154169316563,0.0011826451351195611,0.0,-0.0014639772443468574,-0.012710934490021869,0.0007821733839356453,-0.007437118472673365,0.17603000950112285,0.036994545529264664,0.04713126196246119,0.23019221071391752,0.28287517431250203
1780,0.03726623658532329,0.013306520740296778,0.0019504529462599609,2.101505667417559e-08,0.007922228451017135,0.001223064050250062,0.0,-0.004725219988394186,-0.03413399788625012,0.001158750798250421,-0.007693570833800035,0.17604097978130323,0.058825444202544215,0.02840760985253736,0.25440664091231646,0.298945088923859
1781,0.03850388926576332,0.013746006498217934,0.002015358717656162,2.171555856331027e-08,0.008186302732717704,0.0012634592250369968,0.0,-0.0026931026302364036,-0.023683284811737072,0.0011599312686755307,-0.007950023194926704,0.17604466616179795,0.05872267697931592,0.041698455574872444,0.25433824057036386,0.3075935168745752
1782,0.03974124968733056,0.014185234371098036,0.0020802574760898245,2.241606045244495e-08,0.008450377014418276,0.0013038306964134791,0.0,-0.002425615206604421,-0.017169917270623614,0.0007926605660303681,-0.008206475556053371,0.17604590092104236,0.04636691877293186,0.048471071625655573,0.24096498410333256,0.2971996117467181
1783,0.04097831800142461,0.014624204759714115,0.0021451492252910005,2.3116562341602164e-08,0.008714451296118848,0.0013441785012167843,0.0,-0.0016813848597873446,-0.011365573283088765,0.0006682317641176535,-0.008462927917180037,-2.0062718457012965,0.027221068269633386,0.05521977371395077,-1.952388834663566,-1.878573205052408
