,conc 2019,conc 2011,conc 1850,conc 1750,ERF 1850-2019,ERF 1850-2011,ERF 1750-2019,ERF 1750-2011
CO2,409.9,390.45,286.7,278.7,1.989129210693368,1.7143412517677674,2.14885841361292,1.873420818823081
CH4,1866.3525,1803.281,807.6,724.1,0.4964833363556963,0.4728712470867592,0.5471693678196248,0.5236770264556583
N2O,332.091,324.446,272.5,270.0,0.1999706777498548,0.1758515624585942,0.20881630128510556,0.1847208897124626
HFC-134a,107.59100000000001,62.735,0.0,0.0,0.017982759740000003,0.010485527900000001,0.017982759740000003,0.010485527900000001
HFC-23,32.414,24.052,0.0,0.0,0.0061946395400000005,0.00459657772,0.0061946395400000005,0.00459657772
HFC-32,19.98050273200628,4.706752922847931,0.00021838889451836912,0.00021838889451836912,0.002226602887196375,0.0005244962084637683,0.002226602887196375,0.0005244962084637683
HFC-125,29.403,10.289000000000001,0.0,0.0,0.006873833339999999,0.0024053624200000004,0.006873833339999999,0.0024053624200000004
HFC-143a,24.012,12.004,0.0,0.0,0.0040340160000000005,0.002016672,0.0040340160000000005,0.002016672
SF6,9.950500000000002,7.300000000000001,0.0,0.0,0.005637654785000001,0.004135961000000001,0.005637654785000001,0.004135961000000001
CF4,85.484,79.008,34.04999999684177,34.04999999684177,0.00507087806031137,0.004432409220311369,0.00507087806031137,0.004432409220311369
C2F6,4.845,4.17,1.2887821641091725e-06,1.2887821641091725e-06,0.001264786913563416,0.001088578163563416,0.001264786913563416,0.001088578163563416
CFC-12,503.057,528.5725,0.0,0.0,0.18028436032320003,0.189428543976,0.18028436032320003,0.189428543976
CFC-11,226.2015,237.2865,0.0,0.0,0.06630719215995,0.06955657479044998,0.06630719215995,0.06955657479044998
CFC-113,69.799,74.56049999999999,0.0,0.0,0.021038814580000006,0.022474025909999997,0.021038814580000006,0.022474025909999997
CFC-114,16.013347,16.25275,0.0,0.0,0.00503347536251,0.0051087269075,0.00503347536251,0.0051087269075
CFC-115,8.673,8.392,0.0,0.0,0.00213572625,0.0020665299999999996,0.00213572625,0.0020665299999999996
HCFC-22,246.762,213.165,0.0,0.0,0.05277005370000001,0.04558533525,0.05277005370000001,0.04558533525
HCFC-141b,24.363732686775606,21.3645,0.0,0.0,0.003914033656130501,0.0034322069249999995,0.003914033656130501,0.0034322069249999995
HCFC-142b,22.25302860742626,21.20119529349131,0.0,0.0,0.004301287899529421,0.0040979790382789354,0.004301287899529421,0.0040979790382789354
CCl4,77.872,86.10849999999999,0.025000428677873512,0.025000428677873512,0.012935057448770887,0.014303634288770883,0.012935057448770887,0.014303634288770883
CFCs,,,,,0.27570844667566,0.28948472286394994,0.27570844667566,0.28948472286394994
HCFCs,,,,,0.06126707987965993,0.05340190668077893,0.06126707987965993,0.05340190668077893
HFCs,,,,,0.03962269259861923,0.02150249965360161,0.03962269259861923,0.02150249965360161
Halogens,,,,,0.4080089005383463,0.39424390242774887,0.4080089005383463,0.39424390242774887
Total,,,,,3.0935921253372656,2.7573079637408697,3.3128529832559965,2.9760626374189503
