year,pc05,pc16,mean,pc50,pc84,pc95
1750,0.0,0.0,0.0,0.0,0.0,0.0
1751,-0.005976783247543421,-0.001140422040078069,0.0032701644726894938,0.0022165842054987844,0.008227793311636046,0.015455525390130221
1752,-0.009945887845260803,-0.0018081294079827807,0.005519586336412221,0.0037537477804548895,0.013886998645506932,0.026243571862252166
1753,-0.0059933502817500145,-0.0011637534013803307,0.003315101646650775,0.002251678770322281,0.00836507152381755,0.01574052868769255
1754,-0.009224221870465437,-0.004809414109104157,-0.0019505023360971122,-0.0013607552498491864,0.0005133288482178984,0.0031063949600420686
1755,-0.0028129129094093546,-0.0005650532739139309,0.0016059893306478877,0.0010956102762559653,0.00408755216092293,0.007884445127184062
1756,-0.005380246001386655,-0.0010586567304172465,0.0028888140976401364,0.0020248151861434745,0.007403016815627049,0.013783942278248855
1757,-0.009987258213418351,-0.005326245793416772,-0.0020360682490121445,-0.001459432776161567,0.0008976127933737812,0.004422797670986781
1758,-0.0018792622126429029,-0.0008443726723356355,-0.00011454958561567442,-9.191846650873471e-05,0.0006562366353852381,0.0015866804637726761
1759,-0.005971091252154153,-0.003220379073562048,-0.001275804324094825,-0.0009113911690797906,0.000436234613966092,0.0023423310143345357
1760,-0.023684923634493437,-0.01261056411893903,-0.005052571690107368,-0.003467351568665108,0.001557986280179523,0.008775705523603976
1761,-0.011050508380662141,-0.005958513531738832,-0.0023654574249108084,-0.0016793518641319111,0.000826624787487433,0.004454562996644485
1762,-0.005786951254064781,-0.0030585132575970814,-0.0012370472531763354,-0.0008618661431194784,0.00032488021280896635,0.001961106295006746
1763,-0.004635857883314272,-0.0024921485617505935,-0.0010464345705410716,-0.0007394786344049577,0.00022515427175916883,0.0015872047036006136
1764,-0.012913632849804088,-0.0023325499757601447,0.007116150398370208,0.0048502585937995795,0.018181826137334534,0.03452363031468554
1765,-0.013376053595909402,-0.007109536017141165,-0.0028680172401715567,-0.001996785868219054,0.0008768344868142787,0.0048989993886695265
1766,-0.004012366048627758,-0.0008573484713008649,0.002032980097093974,0.0013547433027632334,0.005355396790280043,0.010520640828962322
1767,-0.0030789042319135066,-0.0006701877413657814,0.0014388331604016388,0.00096578239379071,0.00391935578479565,0.007619149657970174
1768,-0.031051577715629327,-0.016907247050859168,-0.006688823814724388,-0.004746068581320186,0.0021053424270105607,0.012076622538004464
1769,-0.014878962255358907,-0.008086543235795862,-0.003279915104384899,-0.0023371170952488853,0.0008769778735379499,0.005477108114471426
1770,-0.015206679002594342,-0.008251818334793872,-0.0033690648051667993,-0.0024104379266101463,0.0008595309292473095,0.005545562518570279
1771,-0.004065981149919132,-0.0007982145957655951,0.002322629118402959,0.0015895157402318594,0.005870524304707398,0.011327165513132528
1772,-0.009109677924565693,-0.0016345249234177043,0.005282280299930251,0.003592926424399784,0.013390799186222692,0.0256205119189648
1773,-0.006837253681671278,-0.0012181549870167,0.004001971146209462,0.002755772241373275,0.010139770112592645,0.019350549824191002
1774,-0.021968436138533665,-0.011808468467086946,-0.0046619321294748195,-0.003272731585116571,0.0015927588266123234,0.008563723858017519
1775,-0.003987256450321351,-0.0016114898956733007,0.0001223889784503237,9.247602892885371e-05,0.002045453737352162,0.0043018824346391605
1776,-0.0038251363140634105,-0.000763777115563651,0.0020738238699439587,0.0014174738617223211,0.0053350202473600086,0.010309950699662812
1777,-0.006135479310314209,-0.0026121722496511026,-0.0002700906239960564,-0.00022594112091098948,0.0022935356687334794,0.005344554700431701
1778,-0.01532091687648079,-0.00806470650811455,-0.002875299680628428,-0.002168828817091053,0.0019980025750290543,0.008010247136668713
1779,-0.004981340106706332,-0.0020254284536505174,2.977758075846357e-05,1.6458030440967334e-05,0.002265827602187518,0.004956201663877652
1780,-0.025780338844386092,-0.013810511971836997,-0.005301991054543065,-0.0037392710374297513,0.002226715310740387,0.010909593471278931
1781,-0.010454147953536818,-0.005279133898176599,-0.0016516286979040993,-0.0013584947949176244,0.002144139281324064,0.006507138245132278
