year,o3_erf
1750,0.0
1751,0.0003
1752,0.0006
1753,0.0009
1754,0.0012
1755,0.0014999999999999998
1756,0.0018
1757,0.0021
1758,0.0024
1759,0.0026999999999999997
1760,0.0029999999999999996
1761,0.0032999999999999995
1762,0.0036
1763,0.0039
1764,0.0042
1765,0.0045
1766,0.0048
1767,0.0050999999999999995
1768,0.005399999999999999
1769,0.005699999999999999
1770,0.005999999999999999
1771,0.006299999999999999
1772,0.006599999999999999
1773,0.006899999999999999
1774,0.0072
1775,0.0075
1776,0.0078
1777,0.0081
1778,0.0084
1779,0.0087
1780,0.009
1781,0.0093
1782,0.0096
1783,0.009899999999999999
1784,0.010199999999999999
1785,0.010499999999999999
1786,0.010799999999999999
1787,0.011099999999999999
1788,0.011399999999999999
1789,0.011699999999999999
1790,0.011999999999999999
1791,0.012299999999999998
1792,0.012599999999999998
1793,0.012899999999999998
1794,0.013199999999999998
1795,0.013499999999999998
1796,0.013799999999999998
1797,0.014099999999999998
1798,0.0144
1799,0.0147
1800,0.015
1801,0.0153
1802,0.0156
1803,0.015899999999999997
1804,0.0162
1805,0.016499999999999997
1806,0.0168
1807,0.017099999999999997
1808,0.0174
1809,0.017699999999999997
1810,0.018
1811,0.018299999999999997
1812,0.0186
1813,0.018899999999999997
1814,0.0192
1815,0.0195
1816,0.019799999999999998
1817,0.0201
1818,0.020399999999999998
1819,0.0207
1820,0.020999999999999998
1821,0.0213
1822,0.021599999999999998
1823,0.0219
1824,0.022199999999999998
1825,0.0225
1826,0.022799999999999997
1827,0.0231
1828,0.023399999999999997
1829,0.0237
1830,0.023999999999999997
1831,0.0243
1832,0.024599999999999997
1833,0.0249
1834,0.025199999999999997
1835,0.0255
1836,0.025799999999999997
1837,0.026099999999999998
1838,0.026399999999999996
1839,0.026699999999999998
1840,0.026999999999999996
1841,0.027299999999999998
1842,0.027599999999999996
1843,0.027899999999999998
1844,0.028199999999999996
1845,0.028499999999999998
1846,0.0288
1847,0.029099999999999997
1848,0.0294
1849,0.029699999999999997
1850,0.03
1851,0.031016166666666664
1852,0.03203233333333333
1853,0.0330485
1854,0.03406466666666667
1855,0.03508083333333333
1856,0.036097
1857,0.03711316666666667
1858,0.038129333333333335
1859,0.0391455
1860,0.040161666666666665
1861,0.04117783333333333
1862,0.042193999999999995
1863,0.04321016666666667
1864,0.04422633333333333
1865,0.0452425
1866,0.04625866666666667
1867,0.047274833333333335
1868,0.048291
1869,0.049307166666666666
1870,0.05032333333333333
1871,0.051339499999999996
1872,0.05235566666666667
1873,0.053371833333333334
1874,0.054388
1875,0.05540416666666667
1876,0.056420333333333336
1877,0.0574365
1878,0.05845266666666667
1879,0.05946883333333333
1880,0.060485
1881,0.06150116666666667
1882,0.06251733333333334
1883,0.06353349999999999
1884,0.06454966666666667
1885,0.06556583333333334
1886,0.066582
1887,0.06759816666666667
1888,0.06861433333333333
1889,0.06963050000000001
1890,0.07064666666666666
1891,0.07166283333333334
1892,0.072679
1893,0.07369516666666667
1894,0.07471133333333334
1895,0.0757275
1896,0.07674366666666667
1897,0.07775983333333333
1898,0.078776
1899,0.07979216666666666
1900,0.08080833333333334
1901,0.0818245
1902,0.08284066666666667
1903,0.08385683333333334
1904,0.084873
1905,0.08588916666666667
1906,0.08690533333333333
1907,0.0879215
1908,0.08893766666666666
1909,0.08995383333333334
1910,0.09097
1911,0.09198616666666667
1912,0.09300233333333334
1913,0.0940185
1914,0.09503466666666667
1915,0.09605083333333334
1916,0.097067
1917,0.09808316666666667
1918,0.09909933333333333
1919,0.10011550000000001
1920,0.10113166666666668
1921,0.10269616666666667
1922,0.10426066666666667
1923,0.10582516666666668
1924,0.10738966666666667
1925,0.10895416666666667
1926,0.11051866666666667
1927,0.11208316666666666
1928,0.11364766666666667
1929,0.11521216666666667
1930,0.11677666666666667
1931,0.11874116666666666
1932,0.12070566666666667
1933,0.12267016666666666
1934,0.12463466666666667
1935,0.12659916666666665
1936,0.12856366666666666
1937,0.13052816666666667
1938,0.13249266666666668
1939,0.13445716666666666
1940,0.13642166666666666
1941,0.1395045
1942,0.14258733333333334
1943,0.14567016666666666
1944,0.148753
1945,0.15183583333333334
1946,0.15491866666666668
1947,0.15800150000000002
1948,0.16108433333333333
1949,0.16416716666666667
1950,0.16725
1951,0.172705
1952,0.17816
1953,0.183615
1954,0.18907000000000002
1955,0.194525
1956,0.19998
1957,0.205435
1958,0.21089
1959,0.216345
1960,0.2218
1961,0.227815
1962,0.23382999999999998
1963,0.23984499999999997
1964,0.24585999999999997
1965,0.25187499999999996
1966,0.25788999999999995
1967,0.26390499999999995
1968,0.26991999999999994
1969,0.27593499999999993
1970,0.2819499999999999
1971,0.2870216666666666
1972,0.29209333333333326
1973,0.29716499999999996
1974,0.3022366666666666
1975,0.3073083333333333
1976,0.31238
1977,0.31745166666666663
1978,0.32252333333333333
1979,0.32759499999999997
1980,0.33266666666666667
1981,0.335325
1982,0.3379833333333333
1983,0.3406416666666667
1984,0.3433
1985,0.3459583333333333
1986,0.34861666666666663
1987,0.35127499999999995
1988,0.3539333333333333
1989,0.35659166666666664
1990,0.35924999999999996
1991,0.36320166666666664
1992,0.36715333333333333
1993,0.37110499999999996
1994,0.37505666666666665
1995,0.37900833333333334
1996,0.38296
1997,0.3869116666666667
1998,0.39086333333333334
1999,0.394815
2000,0.3987666666666667
2001,0.402852380952381
2002,0.40693809523809527
2003,0.41102380952380957
2004,0.4151095238095238
2005,0.4191952380952381
2006,0.4232809523809524
2007,0.4273666666666667
2008,0.4326
2009,0.4378333333333333
2010,0.4430666666666666
2011,0.4501166666666666
2012,0.4571666666666666
2013,0.4642166666666666
2014,0.4712666666666666
2015,0.4674
2016,0.4635333333333333
2017,0.45966666666666667
2018,0.4670666666666667
2019,0.47446666666666665
2020,0.48186666666666667
