id,C (W yr / m^2 / K),C_d (W yr / m^2 / K),alpha (W / m^2 / K),gamma (W / m^2 / K),kappa (W / m^2 / K),d1 (yr),d2 (yr),q1 (K / (W / m^2)),q2 (K / (W / m^2)),efficacy (dimensionless),ecs (K),tcr (K),erf2xCO2 (W / m^2)
median,8.323783685372916,122.47151856698693,1.3673743583543216,0.6551734521021042,0.8437666806538895,3.6969597386933435,314.0731469022111,0.44377485875026607,0.2832587086067778,1.2933039817859375,2.953388563912189,1.814645846144855,4.037402987662089
5th percentile,6.0307880162570955,58.51184409571864,0.8038179616421635,0.46585406191963424,0.3275107346276055,2.214454179756405,147.40376191888694,0.32227154500109656,0.09931691754776897,0.6137261142369316,2.0545153604938995,1.3117318354119896,3.5633710134504173
95th percentile,10.118714720739831,258.4648987803927,1.9470910816082432,0.8939932257740765,1.598579083527192,5.649316212624262,758.4542767402467,0.61152405506775,0.7379097675794632,2.0004369137743185,5.0710119083259855,2.5698756859547003,4.498439096508771
156,8.810877989471074,448.21343737837316,1.7146429164542747,0.4402728811019432,0.15289100040487602,4.716124313911772,1109.2340439428042,0.5350568215459223,0.04815498914870103,0.3472641785753653,2.1153486808632698,1.9421696166959912,3.6270676314730994
358,9.69154468222165,103.494496927733,1.8178337769724453,0.7724690424689595,1.224667934897664,3.1547647436621222,226.41647731479898,0.3223437195955358,0.22776158302760896,1.585394193899848,2.1336785488990375,1.2748301571229528,3.878672935390224
441,5.696549018970317,180.47448807865212,2.0855613531699664,0.8214900902324952,1.0280733529328523,1.8245046390903876,328.8950870654631,0.31939434818259094,0.16009286444725604,1.251473834141919,1.8009107300681455,1.206278248304959,3.7559098191392337
636,7.735093687019884,89.44555434562227,0.7969981637282494,0.8523590416466267,1.3087461347822584,3.5941105903048904,283.3694379879802,0.4545004943050012,0.8002075408078199,1.5354399623120816,5.3318837089708735,2.018052015274707,4.249501525262354
914,8.992671669174145,168.48483299642362,1.315330918873758,0.7095031047240097,0.7806153451117355,4.261503938517684,380.97574378065735,0.4706467030148902,0.2896182505803964,1.100228230030632,2.9028355282016607,1.8217019149090683,3.8181893226488812
919,8.01384269049075,52.44209249428841,1.0606916287274413,0.7117771204230738,1.0267693961458437,3.740628873402092,148.81374233950058,0.45449728390202676,0.4882837967780805,1.4425434123754093,4.224151510662355,2.1463979889674425,4.480522145835935
1081,6.220695519184768,124.87874947186464,1.6443934419991244,0.9640700469126758,1.3059776550777409,2.093226086073183,234.09763248393784,0.3340431284512103,0.2740838407151712,1.3546501722151671,2.49935289067037,1.393017816210269,4.109919502659911
1949,9.97608409913899,181.70896079417102,1.3087519708433404,0.5621805516627327,0.5284979246393582,5.403473821409014,455.9636572734794,0.5389750459631572,0.22511167350563302,0.9400857483885682,3.1759540581926737,2.2623684144369074,4.156536132967567
2084,7.424590423500597,101.06368841789406,1.8801972575258583,0.5894567472676165,0.6106012545076236,2.967990363526712,228.11287617339724,0.39800987269578364,0.13384921602339273,1.0358711768726392,2.411925426078977,1.8206593385862844,4.534895571470581
2796,8.302900931988628,154.9248976090671,0.9584018656583702,0.6950441550263067,0.9049417389948398,4.4126340009019005,437.61592813485424,0.5262421819067269,0.5171614630904096,1.3019917259222022,4.440554267630387,2.2839778364153407,4.2558354946542005
2803,8.561227558883484,145.73992940080603,1.0516462169020966,0.7463013029521215,1.2074817442290504,3.7503656244287593,423.89385671607823,0.433486316981637,0.5174038055024889,1.6179547582895155,3.496213228647074,1.627521538686456,3.6767794153897606
3304,6.705863778836813,58.04546215084598,0.7602500488567964,0.918610450970605,1.3795607611239213,3.035125775183129,183.63627248614603,0.43810864233558194,0.8772480636636105,1.5017908403570583,4.933202664271831,1.7527098886685846,3.7504675665331377
3593,8.21875534228115,124.14514912903076,1.0865573055277151,0.7060797824676949,1.1702567965937436,3.6026715543740777,369.1515735853027,0.4335973223251507,0.48674069842408074,1.657400233871285,3.894840836197955,1.8751955513129828,4.231967764438563
4098,9.203601624791949,233.1786065768256,1.2625502829916695,0.6410036572179001,0.6874723378139966,4.698070310234928,564.4400372217764,0.5080965370911348,0.2839511250664875,1.0724936278800357,3.129447537403677,2.0261738668057996,3.9510848739565962
4388,11.006758467086101,198.84660631301782,1.9247383397890958,0.6583463652853587,0.46842724921485424,4.585410650622118,376.68059248770254,0.4153308573526427,0.10422028335439876,0.7115209772773873,2.066860664171301,1.6623028434017368,3.978165963332459
4427,9.11385028876446,90.61447817238668,1.464870718952271,0.7710217388513779,0.5359096268365415,4.50700629107678,162.23531583872708,0.48914699042502996,0.193507108030318,0.6950642243043725,2.8433163921195104,2.081733227887536,4.1650909275328845
4775,9.289569486562584,159.18101954360532,1.7839673906765068,0.6232128681863004,0.7878827740127037,3.5962845787196813,369.83626559744914,0.38542859483772934,0.17511976788810735,1.2642273839845963,2.6745332686117846,1.8551936664084197,4.771280136482875
4809,7.98881914501091,104.15718659697077,1.5920067042768902,0.5871282530973111,1.0862929893932298,2.9623904085744632,300.50497432547695,0.36825512084371875,0.2598829374405339,1.8501800648540527,2.4815045329985663,1.4750297969133077,3.950571853227211
4974,10.04245073743136,186.078729508314,1.93282749508752,0.6651661526434529,0.7402071106737431,3.742892013485328,388.33443973167897,0.37129908915272414,0.14607765685363203,1.1128153585868252,2.348558399701875,1.6982040707511712,4.539358248762529
5086,7.5935903501945745,205.98615003533072,2.196042385483038,0.6862801075062754,0.584513194946962,2.725710473726539,380.7705343595254,0.3582536838474223,0.09711093325218575,0.8517122798020442,2.009731486747656,1.587256719268735,4.413455528337695
5230,7.498402194503123,69.8298885120999,1.5264350306307608,0.5974742285316198,0.8657995883205163,3.1038298811801686,184.97569533790883,0.4098160298553925,0.24530520356308672,1.4490994706974143,2.5017491528251297,1.5963139712430037,3.818757544723107
6204,7.833896869347327,152.3153323839457,1.176046585746998,0.7669035422313255,1.3266036145256312,3.1041155116297166,426.2047928847678,0.3929102721774478,0.4573961800663812,1.729818082031339,3.1854585857649034,1.4969122306502016,3.746247693827275
6596,6.778188590879497,116.24309304098908,1.4930104786644924,0.6442991845015753,1.3216599424750215,2.3930592931905608,342.2763630634936,0.35082284850193907,0.3189648149406532,2.051314007944069,2.628215705498572,1.3941076578732634,3.9239535884999595
6622,8.233326800317343,153.50191878621442,0.9215776616325474,0.6303536210282529,0.9456670755528476,4.368923214982088,497.96470234089685,0.5257312502302434,0.5593644955027107,1.5002167735790035,4.1064520480212705,2.026737256588064,3.7844144760216274
6631,6.0414533643931225,90.40612967693346,1.1513345266460335,0.7141300205600914,0.8100457506800642,3.049126078782844,217.86381452573494,0.49953609747087363,0.36902119570186925,1.1343112981649284,3.8850190486195864,2.2805147064347606,4.472956567353255
6906,10.065869392300838,208.84580872179703,1.3812237507536034,0.6389328765357671,0.6396211634107887,4.956861760499093,480.56371310839836,0.4900291977212181,0.23396646152978617,1.0010772444184646,3.0880184829179775,2.110624344043776,4.265244471372421
