,p05,p95
1955,0.0,0.0
1956,0.017651848520431303,0.024074337261652246
1957,0.03572609130297588,0.04860414324138578
1958,0.05322218993843163,0.07228489180249387
1959,0.07167517511214519,0.0968566800481177
1960,0.09522831870784018,0.12670433795451858
1961,0.11639225451900793,0.15446969714418124
1962,0.14286741426410943,0.1882928527657537
1963,0.16997413961992852,0.22299366611534086
1964,0.1980254844802609,0.25868162663048394
1965,0.2219997328267178,0.2897703981555158
1966,0.25509820283743373,0.3307076866836054
1967,0.281459459228138,0.36438528763291655
1968,0.3160906568428431,0.40722287707339216
1969,0.3507602990869042,0.4501184174270124
1970,0.39887657738214644,0.5078532892565375
1971,0.43138902558080217,0.5477921037110002
1972,0.48529195483025456,0.611240775317189
1973,0.5478528706202619,0.684327113614524
1974,0.5839242349639429,0.7281673812707468
1975,0.6089624521791611,0.7597936189800821
1976,0.6445402955119347,0.8033978804402668
1977,0.6979904504393678,0.8666423502528678
1978,0.7489213406976145,0.9273710918605448
1979,0.797945750060926,0.9859055030764046
1980,0.8562100972611634,1.0549004488428668
1981,0.8972223405414614,1.1028641707464202
1982,0.9316883884546704,1.1433975121424147
1983,0.9773507291957254,1.196807553924066
1984,1.0205322913246837,1.247379793010175
1985,1.0634858281043902,1.2977556409365871
1986,1.1076739131014472,1.3496642350307735
1987,1.1538143486482044,1.4041107742702457
1988,1.215132863809927,1.4759538062938313
1989,1.2633033923748078,1.53215420409865
1990,1.2995426186478356,1.575034005013893
1991,1.3379071059349281,1.6209943724801297
1992,1.3631032661193683,1.651852839489887
1993,1.3826097376469069,1.6762714378693018
1994,1.4147805917549918,1.715144387413424
1995,1.4513134091923507,1.7588016778273547
1996,1.485898128299058,1.8003654271733744
1997,1.510659363953738,1.8305932832847696
1998,1.5598118891578991,1.889198060618648
1999,1.6006703947835472,1.9378738594671525
2000,1.6259434948392357,1.9684615039161972
2001,1.6547146945851743,2.003369655015971
2002,1.6896175429850053,2.0453970086716775
2003,1.7333449664667753,2.0979808990099524
2004,1.76463554451269,2.1362050716705676
2005,1.7984758761542425,2.1775068898730594
2006,1.834799062872112,2.2215724009858713
2007,1.868182732304939,2.2619400779901486
2008,1.907640997420307,2.3100445132377248
2009,1.9373438682851647,2.3468647161188723
2010,1.978233512540668,2.396598730331953
2011,2.015085166610082,2.4427690230762784
2012,2.052683470389697,2.489822469705867
2013,2.100452345784061,2.5487768669607425
2014,2.1393837999404615,2.596947469049453
2015,2.175462949651334,2.6369424946820503
2016,2.2247032140751095,2.692336940650947
2017,2.257068162859351,2.7276506476882716
2018,2.301726622972166,2.782785382312899
2019,2.3457050895209806,2.837614966849168
