,scenario,forcing,base_period,from_year,to_year,p05,p16,p50,p84,p95
0,ssp119,ch4,1995-2014,1995,2014,0.0,0.0,0.0,0.0,0.0
1,ssp119,ch4,1995-2014,1996,2015,0.0007446185978931986,0.0008812841962034756,0.0011553410423403854,0.0015875421762432218,0.001910363540148019
2,ssp119,ch4,1995-2014,1997,2016,0.0015024620859302785,0.0017726423209128005,0.0023151020416285473,0.003170884746750282,0.003811052660694346
3,ssp119,ch4,1995-2014,1998,2017,0.0022782627248830734,0.002696342525804125,0.0034995802428620104,0.00477674127718565,0.0057457588096614136
4,ssp119,ch4,1995-2014,1999,2018,0.003086430202872825,0.0036485221266999066,0.0047235107199857795,0.006415744583982961,0.007734604825273098
5,ssp119,ch4,1995-2014,2000,2019,0.0039244861653349615,0.004635885899057595,0.00598048701778553,0.008081284298479301,0.009747743937328999
6,ssp119,ch4,1995-2014,2001,2020,0.00480833337648352,0.005660610412282345,0.007271230785345972,0.009776050536305618,0.011805851916428998
7,ssp119,ch4,1995-2014,2002,2021,0.005703408998165171,0.006709497429646576,0.008575154886244163,0.011513838829888955,0.01386350049943061
8,ssp119,ch4,1995-2014,2003,2022,0.006625491151128249,0.007788320382330549,0.00992213846280865,0.013269748833030786,0.01596751284382092
9,ssp119,ch4,1995-2014,2004,2023,0.0075391274199322345,0.008870644782458607,0.011269112406226967,0.015033417504615168,0.018075057230636935
10,ssp119,ch4,1995-2014,2005,2024,0.008446227953879882,0.00994061375247035,0.012606497494520919,0.01681333029877097,0.020143018726308814
11,ssp119,ch4,1995-2014,2006,2025,0.00934290932275349,0.01098509168798406,0.013944262892015336,0.018568294520325216,0.022227332445263485
12,ssp119,ch4,1995-2014,2007,2026,0.010215587741686905,0.012009665223685876,0.015245033963158905,0.020292227657001748,0.02428874252958059
13,ssp119,ch4,1995-2014,2008,2027,0.011035707215655888,0.012980478067122027,0.01647730324320451,0.02195470724751468,0.026290110803970115
14,ssp119,ch4,1995-2014,2009,2028,0.011784974212002686,0.013874607497582478,0.017633498783630852,0.02349980079737506,0.02819260367441591
15,ssp119,ch4,1995-2014,2010,2029,0.012440033046131838,0.014629590328411442,0.018650534265671537,0.024898525320748172,0.02992796476370451
16,ssp119,ch4,1995-2014,2011,2030,0.012978888399004806,0.015308748424904532,0.019526646918636814,0.026176263047343662,0.03152794677797985
17,ssp119,ch4,1995-2014,2012,2031,0.013411731828829177,0.01580837236415568,0.0202629407281939,0.027274307650371546,0.03288201976566915
18,ssp119,ch4,1995-2014,2013,2032,0.013667184832908852,0.016176882959328284,0.020810538271312073,0.0282126075045946,0.034052525336751314
19,ssp119,ch4,1995-2014,2014,2033,0.013804847582861823,0.016396442173467855,0.021210085298860926,0.028970726023683065,0.03499600572252086
20,ssp119,ch4,1995-2014,2015,2034,0.013779029264292576,0.016392217199563554,0.021351543030005415,0.0294343374966358,0.035603935582283176
21,ssp119,ch4,1995-2014,2016,2035,0.013527474567631415,0.016221815795569344,0.021285085891056266,0.02967606159048533,0.036131988962272196
22,ssp119,ch4,1995-2014,2017,2036,0.01310031124498916,0.015847389169021356,0.021031103171736287,0.029635197386338668,0.03638601880169205
23,ssp119,ch4,1995-2014,2018,2037,0.012488285788625953,0.015254649379657849,0.020461154554031413,0.029318486450570336,0.03627520837725686
24,ssp119,ch4,1995-2014,2019,2038,0.011675883269249177,0.01439156386360895,0.019701194340941197,0.028660565612269637,0.036030135468551376
25,ssp119,ch4,1995-2014,2020,2039,0.010622650636141718,0.013358948414461147,0.018605869019392318,0.02775518795480832,0.0353010002949639
26,ssp119,ch4,1995-2014,2021,2040,0.009279697413488464,0.012031313809754862,0.01735793146420106,0.026545847099306106,0.034169940473042885
27,ssp119,ch4,1995-2014,2022,2041,0.007835044810645453,0.010462046247880075,0.015740009057358728,0.025122551105631087,0.032853160977341714
28,ssp119,ch4,1995-2014,2023,2042,0.006126953139904212,0.008651529417440362,0.013889587988699992,0.02353006359728438,0.03121938585586958
29,ssp119,ch4,1995-2014,2024,2043,0.004174892389145213,0.006567352774334294,0.011843025776991256,0.02147776673843828,0.029388905182105324
30,ssp119,ch4,1995-2014,2025,2044,0.0018549344159791705,0.004346037793893433,0.00964641376579356,0.019313359405401444,0.027197283213867857
31,ssp119,ch4,1995-2014,2026,2045,-0.0004587673192257831,0.0019853169499115973,0.007340345779279112,0.017085117278875357,0.02506141465355438
32,ssp119,ch4,1995-2014,2027,2046,-0.0031164963827520647,-0.00044789008418255204,0.00478242381186178,0.014661008598477663,0.023055672614371543
33,ssp119,ch4,1995-2014,2028,2047,-0.005907533884160898,-0.003217705127950903,0.0020764919828939465,0.012095188523161125,0.02055554495511877
34,ssp119,ch4,1995-2014,2029,2048,-0.009077273649059036,-0.00602771697075875,-0.0006039844811805972,0.00942031088810658,0.01818230203539422
35,ssp119,ch4,1995-2014,2030,2049,-0.012349250446956894,-0.009170723511479824,-0.0034601747992608622,0.006650826138505411,0.01572342174760128
36,ssp119,ch4,1995-2014,2031,2050,-0.015825294832292423,-0.01232238932527018,-0.006173310233281382,0.003849328498236435,0.01301253035412957
37,ssp119,ch4,1995-2014,2032,2051,-0.01933600648845446,-0.01551214773228312,-0.008953811056819028,0.0015418919179289148,0.010668598373761577
38,ssp119,ch4,1995-2014,2033,2052,-0.022996690200447877,-0.018818327316737212,-0.011760963319672357,-0.001145167821077626,0.008051024858392437
39,ssp119,ch4,1995-2014,2034,2053,-0.02675243924675481,-0.022214956231876398,-0.014580477849254425,-0.0039677433357939934,0.0054462659820895395
40,ssp119,ch4,1995-2014,2035,2054,-0.03051324896908527,-0.025685792065417042,-0.01742853995590843,-0.006756640004599834,0.002595824270170862
41,ssp119,ch4,1995-2014,2036,2055,-0.03427849543162518,-0.029231006835018475,-0.020240003559097608,-0.009417815166353635,-0.0001568676001778825
42,ssp119,ch4,1995-2014,2037,2056,-0.037880778140390904,-0.032641994783729956,-0.023112604096401812,-0.011749344104308088,-0.0025660840602579507
43,ssp119,ch4,1995-2014,2038,2057,-0.04147105770027432,-0.036103412065359164,-0.025845387156796185,-0.014317356336279218,-0.005128812680272124
44,ssp119,ch4,1995-2014,2039,2058,-0.04524887643373656,-0.039559497322483074,-0.028658618715072914,-0.01679455191087368,-0.007313913271830953
45,ssp119,ch4,1995-2014,2040,2059,-0.049214626481875266,-0.04294071065406574,-0.03141397518659261,-0.01905552298875879,-0.009209583229908617
46,ssp119,ch4,1995-2014,2041,2060,-0.052910166379895894,-0.04640133464768185,-0.034070560101377434,-0.02122409600627381,-0.011109883890868165
47,ssp119,ch4,1995-2014,2042,2061,-0.05692025020073706,-0.04959502912415891,-0.03663177738131829,-0.023417474655525697,-0.0130139892142518
48,ssp119,ch4,1995-2014,2043,2062,-0.060795361067767305,-0.05296185994734807,-0.03908903689453447,-0.025748651900249116,-0.01504179750194732
49,ssp119,ch4,1995-2014,2044,2063,-0.06457442458104887,-0.0561699350511221,-0.04159501042550817,-0.027914028860474165,-0.01689010106289063
50,ssp119,ch4,1995-2014,2045,2064,-0.06809361533812819,-0.05928427994679917,-0.04424139645408198,-0.030057047039712546,-0.018897738333098345
51,ssp119,ch4,1995-2014,2046,2065,-0.07159712961607609,-0.062497163295487504,-0.04668374634465966,-0.032078834249801055,-0.02066299685006207
