,scenario,forcing,base_period,from_year,to_year,p05,p16,p50,p84,p95
52,ssp119,ch4,1995-2014,2047,2066,-0.07524258876141479,-0.06565322070652196,-0.04907464761738489,-0.03429138385118395,-0.022382921437657542
53,ssp119,ch4,1995-2014,2048,2067,-0.07868890413708163,-0.06853372423646005,-0.05146901920006597,-0.03599524105350488,-0.02415203286350037
54,ssp119,ch4,1995-2014,2049,2068,-0.0821520966210885,-0.07138792295133656,-0.05392811855281554,-0.03795957376067698,-0.025799166342568295
55,ssp119,ch4,1995-2014,2050,2069,-0.08551169057259193,-0.07432139258693024,-0.05625411117126733,-0.039673618938304976,-0.02736125263769277
56,ssp119,ch4,1995-2014,2051,2070,-0.08867198843862348,-0.07719167305050108,-0.05848791834182243,-0.04149045419025944,-0.02904647056645441
57,ssp119,ch4,1995-2014,2052,2071,-0.09201112256677772,-0.08005279260640769,-0.060578376337409146,-0.04324079973062726,-0.030807014470505295
58,ssp119,ch4,1995-2014,2053,2072,-0.09523866991596205,-0.0827815725309478,-0.06259017030522185,-0.0448637005325666,-0.03226190473616187
59,ssp119,ch4,1995-2014,2054,2073,-0.09821126630605403,-0.08544070364438593,-0.0645791621918862,-0.0463365003512471,-0.03400580152711793
60,ssp119,ch4,1995-2014,2055,2074,-0.10112248838089419,-0.08792410085272521,-0.06650622657296568,-0.04793346227357754,-0.03519562963269462
61,ssp119,ch4,1995-2014,2056,2075,-0.10433784191473179,-0.09027792739942765,-0.06839662131710034,-0.04944035944180729,-0.03623684978934767
62,ssp119,ch4,1995-2014,2057,2076,-0.10710462830163073,-0.09261514302244676,-0.07019933251452004,-0.05092293547295359,-0.037633295038282354
63,ssp119,ch4,1995-2014,2058,2077,-0.10962726758090965,-0.09494921102921669,-0.07190219098818418,-0.052286345814037294,-0.0390666473722889
64,ssp119,ch4,1995-2014,2059,2078,-0.11222010125068446,-0.09719005026843866,-0.07362731210587659,-0.05367769774411948,-0.04031822300135706
65,ssp119,ch4,1995-2014,2060,2079,-0.11483022471111337,-0.09937437513745805,-0.07551058256659315,-0.05508051291238914,-0.04160319491284203
66,ssp119,ch4,1995-2014,2061,2080,-0.11725195842071164,-0.10146959615684491,-0.07734951580346605,-0.05648695033414256,-0.042850088762593205
67,ssp119,ch4,1995-2014,2062,2081,-0.11994490689665678,-0.10353185902314795,-0.07899646260132043,-0.057903730062799155,-0.043939664502940276
68,ssp119,ch4,1995-2014,2063,2082,-0.12256991942558378,-0.1056447516691099,-0.08063602757221022,-0.059181858262920634,-0.04510042080878309
69,ssp119,ch4,1995-2014,2064,2083,-0.12495796492807236,-0.10771108785894408,-0.08219170251975094,-0.06038120527976827,-0.04626025256964761
70,ssp119,ch4,1995-2014,2065,2084,-0.1272063244750531,-0.10968379602059979,-0.08380715472980815,-0.06152752128872219,-0.047170422022440706
71,ssp119,ch4,1995-2014,2066,2085,-0.12942479801271972,-0.11155275504372966,-0.08529247795315276,-0.06278661023214265,-0.048401145611340346
72,ssp119,ch4,1995-2014,2067,2086,-0.1317883772327489,-0.11337667232392784,-0.08685916109308134,-0.06401762002166168,-0.04961600914195371
73,ssp119,ch4,1995-2014,2068,2087,-0.13403418876079748,-0.11516979525497385,-0.08842549465706373,-0.06517800599408978,-0.050647447994500175
74,ssp119,ch4,1995-2014,2069,2088,-0.13626282138303064,-0.11699739322794141,-0.08983026529335092,-0.0663564498776667,-0.051788238318099
75,ssp119,ch4,1995-2014,2070,2089,-0.1385194144143165,-0.1189687333767501,-0.09129642269797622,-0.06756420333920349,-0.05292121013909371
76,ssp119,ch4,1995-2014,2071,2090,-0.14090791829449362,-0.12101352923633646,-0.0926888121325461,-0.0687027584679966,-0.05411654293234121
77,ssp119,ch4,1995-2014,2072,2091,-0.1432289321608363,-0.12291098881417321,-0.09405543239710767,-0.06976755083624367,-0.055223843413938635
78,ssp119,ch4,1995-2014,2073,2092,-0.14523231690354244,-0.12459161175617224,-0.09560323644871283,-0.07101513860627412,-0.05618970242600808
79,ssp119,ch4,1995-2014,2074,2093,-0.14730345149024002,-0.1263662317035261,-0.09708483875178275,-0.07223195669579131,-0.05720883547459914
80,ssp119,ch4,1995-2014,2075,2094,-0.1493947719464503,-0.12811326939545367,-0.09843395256313592,-0.07345849355970945,-0.05830013178650436
81,ssp119,ch4,1995-2014,2076,2095,-0.15131451654560213,-0.12975654456831526,-0.09985959337699435,-0.07461234241252743,-0.05945755524703907
82,ssp119,ch4,1995-2014,2077,2096,-0.15323811733299406,-0.13141271683475264,-0.10126814139487172,-0.0757018260719592,-0.060344079831796064
83,ssp119,ch4,1995-2014,2078,2097,-0.1551083541274999,-0.13317832984064826,-0.10273829969871173,-0.07677190637281829,-0.06133398206360955
84,ssp119,ch4,1995-2014,2079,2098,-0.15708943295460961,-0.13495142266317714,-0.10410054945051783,-0.07779512924555215,-0.06223136440641127
85,ssp119,ch4,1995-2014,2080,2099,-0.15916084445942325,-0.13657604138325605,-0.10549714192075899,-0.0788563939055551,-0.06353247617964308
86,ssp119,ch4,1995-2014,2081,2100,-0.16118138200065707,-0.13825149065979486,-0.10687439132615639,-0.07992145289408324,-0.06445679458967053
87,ssp119,slcf,1995-2014,1995,2014,0.0,0.0,0.0,0.0,0.0
88,ssp119,slcf,1995-2014,1996,2015,0.003238121384318671,0.004127806101632862,0.005661409395146033,0.007445687254082198,0.008802021597599685
89,ssp119,slcf,1995-2014,1997,2016,0.006472748709227228,0.008286477190095587,0.011454756070309768,0.015080455189433692,0.017875359076117477
90,ssp119,slcf,1995-2014,1998,2017,0.010350906973682017,0.01295879318506283,0.017691685381282074,0.023266605830225946,0.02739591871544058
91,ssp119,slcf,1995-2014,1999,2018,0.015106987325372767,0.018513114751618834,0.024631031036076778,0.032125266906942646,0.03771087191393105
92,ssp119,slcf,1995-2014,2000,2019,0.01971610886064794,0.024015753244126657,0.03152212456268255,0.041169261817895125,0.047948106636440356
93,ssp119,slcf,1995-2014,2001,2020,0.023913610780660767,0.029193317735417695,0.038379445487464414,0.05002134874121949,0.05808282798495599
94,ssp119,slcf,1995-2014,2002,2021,0.027908504677116808,0.03405683273312655,0.04480828883467769,0.05863586955544663,0.06793165559834836
95,ssp119,slcf,1995-2014,2003,2022,0.032057697432498936,0.03912715571110085,0.05140845620444934,0.0673514728631295,0.07814084332565688
96,ssp119,slcf,1995-2014,2004,2023,0.036509638410272216,0.04467075276835747,0.0584816193475286,0.07676714454713326,0.08902412108907315
97,ssp119,slcf,1995-2014,2005,2024,0.04129300660164501,0.050620094421661294,0.06603284171594492,0.08687239804099585,0.10082733923172316
98,ssp119,slcf,1995-2014,2006,2025,0.04644311303908799,0.05689988187044312,0.07427653616461849,0.09754605643331297,0.11311075854072739
99,ssp119,slcf,1995-2014,2007,2026,0.05195099546125872,0.06344907751784998,0.08293992661906624,0.10929526017278189,0.1268057126289801
100,ssp119,slcf,1995-2014,2008,2027,0.05679827640447475,0.0697987997727565,0.09249956743333643,0.12169705910258327,0.1410867062240326
101,ssp119,slcf,1995-2014,2009,2028,0.06177239462603808,0.07620404867342032,0.1021728364062987,0.13454653039589626,0.15601517375114238
102,ssp119,slcf,1995-2014,2010,2029,0.0667108740936873,0.08205374464788862,0.11182930609576147,0.14708970175792235,0.17217380485476216
103,ssp119,slcf,1995-2014,2011,2030,0.07071320139953144,0.08769800868641944,0.12038599712575393,0.1603057029904057,0.18743992270745496
104,ssp119,slcf,1995-2014,2012,2031,0.07409792462023977,0.09255689230201251,0.12994403997439463,0.1734103947171974,0.2034514885795799
105,ssp119,slcf,1995-2014,2013,2032,0.0772266580537605,0.09750491832092006,0.13874267680232655,0.18612618900873118,0.21928653389866606
106,ssp119,slcf,1995-2014,2014,2033,0.07981337489798278,0.101488549237178,0.1475086595813131,0.1993682296502952,0.23530845461847447
107,ssp119,slcf,1995-2014,2015,2034,0.08163070333170641,0.10511808716839417,0.15534564495593628,0.21192180651222292,0.25086927125006564
108,ssp119,slcf,1995-2014,2016,2035,0.08255345101939486,0.10838881764579428,0.16260024551806174,0.22368158673786462,0.26540431466014835
109,ssp119,slcf,1995-2014,2017,2036,0.08269531608105445,0.11097885284232717,0.16917324013220125,0.2349052344965622,0.28132987362679157
110,ssp119,slcf,1995-2014,2018,2037,0.08250905003995104,0.11299712647401589,0.17485543950621762,0.24525100039009765,0.2960329281141256
111,ssp119,slcf,1995-2014,2019,2038,0.08172763316605587,0.11396166257846005,0.18026013185139012,0.25462688032048103,0.30946561608294576
112,ssp119,slcf,1995-2014,2020,2039,0.08056620690005654,0.11482035449709514,0.18484846351838657,0.2636348452204448,0.32395961274553364
113,ssp119,slcf,1995-2014,2021,2040,0.07873853682154375,0.11561274614039832,0.18939739913424347,0.272532675151021,0.33585542450931216
114,ssp119,slcf,1995-2014,2022,2041,0.07565077240891195,0.1155334573404401,0.19246067456828853,0.28140326829178874,0.3491488055674634
115,ssp119,slcf,1995-2014,2023,2042,0.07189251325781312,0.11512175071152178,0.1951659738376117,0.289864159237813,0.3598786151060218
116,ssp119,slcf,1995-2014,2024,2043,0.06832281278477753,0.11399243996531588,0.19779062580789886,0.29610189148165417,0.3678731080440637
117,ssp119,slcf,1995-2014,2025,2044,0.06507330836589441,0.11209277794146202,0.19911617560380068,0.30190796108712825,0.37603931972699145
118,ssp119,slcf,1995-2014,2026,2045,0.06126334946873003,0.1094434460559217,0.20051005097527996,0.30678003367355877,0.3824293085618761
119,ssp119,slcf,1995-2014,2027,2046,0.0578537991650874,0.10630022302043299,0.20140970738308095,0.3103278663033955,0.3898908229843599
120,ssp119,slcf,1995-2014,2028,2047,0.054231613734638986,0.10381330094241861,0.2007208771665463,0.3142419900880109,0.39561233025045106
121,ssp119,slcf,1995-2014,2029,2048,0.0502135402562135,0.10103561988409285,0.200193928867336,0.3175935909292296,0.40036220575757975
122,ssp119,slcf,1995-2014,2030,2049,0.046151080979336935,0.09854844369679126,0.19924976898246993,0.31883018606731406,0.4051970892462523
123,ssp119,slcf,1995-2014,2031,2050,0.04157238565049615,0.09524072049028537,0.197902506479678,0.3198382602252206,0.40765693003645276
124,ssp119,slcf,1995-2014,2032,2051,0.03689159209383326,0.0918686958707181,0.19613662333316784,0.3198584659139065,0.40998877909905745
125,ssp119,slcf,1995-2014,2033,2052,0.03274029775331005,0.08840671605434222,0.1937374010346098,0.31999981878947825,0.41227785875155804
126,ssp119,slcf,1995-2014,2034,2053,0.02876910830600603,0.08526430916563955,0.19115042064511467,0.3196619441068104,0.4127812083114088
127,ssp119,slcf,1995-2014,2035,2054,0.0245165388930398,0.08165749755967361,0.18846426771929936,0.31884442809507285,0.41433166932581883
128,ssp119,slcf,1995-2014,2036,2055,0.02103867972561402,0.07865973068516116,0.18562436567190232,0.31734831307954636,0.4145866634965027
129,ssp119,slcf,1995-2014,2037,2056,0.01778483201708161,0.07439516516179454,0.18285018232061856,0.315533154360425,0.41473697778021734
130,ssp119,slcf,1995-2014,2038,2057,0.013928515610689479,0.070715491468514,0.1799480866210097,0.3130442700547957,0.41497578201519825
131,ssp119,slcf,1995-2014,2039,2058,0.010465363047202294,0.0676271201521463,0.17670447445449655,0.31270247430557707,0.4140125089735232
132,ssp119,slcf,1995-2014,2040,2059,0.006138681261165104,0.06377168587841224,0.17372537339499217,0.30990103552104104,0.4144413418101537
133,ssp119,slcf,1995-2014,2041,2060,0.0022113298919458593,0.06028974853946943,0.1708970072758318,0.3079164395164669,0.4141559397322348
134,ssp119,slcf,1995-2014,2042,2061,-0.001931769937208736,0.0573060146552101,0.16909087937566025,0.30614600836322525,0.41397965888310134
135,ssp119,slcf,1995-2014,2043,2062,-0.006125860675355581,0.05455339063998101,0.16643258661837046,0.30519727387092666,0.4124289190250476
136,ssp119,slcf,1995-2014,2044,2063,-0.010239176166750186,0.05159604491042502,0.16374164892752563,0.30456035373245816,0.4119627170971888
137,ssp119,slcf,1995-2014,2045,2064,-0.01440711402092849,0.048568738305095324,0.16110301625458556,0.3035741911193056,0.41220408794551566
138,ssp119,slcf,1995-2014,2046,2065,-0.01839045093197273,0.0451987125159715,0.15899482595563685,0.30272373574803413,0.412217393972202
139,ssp119,slcf,1995-2014,2047,2066,-0.021998076460030845,0.04312056424796953,0.15664062915902055,0.3009091500298837,0.412062192397724
140,ssp119,slcf,1995-2014,2048,2067,-0.024569083147729116,0.04023427335465307,0.15450186506111652,0.29983517005598814,0.41138717023950533
141,ssp119,slcf,1995-2014,2049,2068,-0.027412898696940868,0.03754462426784511,0.1526835986134214,0.2977364102847814,0.41046951076918753
142,ssp119,slcf,1995-2014,2050,2069,-0.03046848201433878,0.03476912322028788,0.15118336042172809,0.2957095992205898,0.4101280298547591
143,ssp119,slcf,1995-2014,2051,2070,-0.03324938680038594,0.03260329975065797,0.1492283806359489,0.29432731000626516,0.40938144125270637
144,ssp119,slcf,1995-2014,2052,2071,-0.03613088962748971,0.030733977947604532,0.14673531649469007,0.29334976991465406,0.408481771145703
145,ssp119,slcf,1995-2014,2053,2072,-0.038413633013664295,0.02851157813559836,0.14507450868367544,0.29246236573226,0.4086436448584063
146,ssp119,slcf,1995-2014,2054,2073,-0.04016389558855784,0.026500537727583654,0.14349735182748957,0.2908274748408297,0.4084189260947137
147,ssp119,slcf,1995-2014,2055,2074,-0.042242372168746024,0.025122241524195076,0.1417936588220572,0.29003797944561366,0.40752443902003105
148,ssp119,slcf,1995-2014,2056,2075,-0.044044389174099585,0.023722874384658543,0.14030392366248923,0.2895042578658255,0.40750538512179085
149,ssp119,slcf,1995-2014,2057,2076,-0.04601902481701545,0.02235754107771076,0.13830040457554227,0.28886363475053317,0.4083862348513999
150,ssp119,slcf,1995-2014,2058,2077,-0.048011278782817586,0.02097920906788545,0.1371127693557075,0.28794452014202687,0.40753667086550865
151,ssp119,slcf,1995-2014,2059,2078,-0.04962163312031293,0.019607622876502008,0.13610708161309049,0.2878613924604032,0.4081809737573916
152,ssp119,slcf,1995-2014,2060,2079,-0.051325701988663264,0.01836599385853348,0.1356381399358535,0.28721346388177854,0.4088531047531166
153,ssp119,slcf,1995-2014,2061,2080,-0.05282271603557369,0.01729886033790988,0.13441598505268382,0.2866564336380614,0.4090306231722289
154,ssp119,slcf,1995-2014,2062,2081,-0.054178536005312326,0.01645823147844643,0.1332389521543269,0.28643961863654005,0.4102697682885367
155,ssp119,slcf,1995-2014,2063,2082,-0.05545970499772557,0.015551023893247175,0.1322237421209056,0.286445561787665,0.41144728856830154
156,ssp119,slcf,1995-2014,2064,2083,-0.05666392393585355,0.014653306440405633,0.13145532815096517,0.28704891239609015,0.4123998848639458
157,ssp119,slcf,1995-2014,2065,2084,-0.057768146550320316,0.013671866638588997,0.13084358865430212,0.28725721174813795,0.4133758914454828
158,ssp119,slcf,1995-2014,2066,2085,-0.05896966556737513,0.013370347667441924,0.1304645921935167,0.28638667387267186,0.4143383175526876
159,ssp119,slcf,1995-2014,2067,2086,-0.06013594480348172,0.012724342977343026,0.13000026940598763,0.2866871344018217,0.41502854586297866
160,ssp119,slcf,1995-2014,2068,2087,-0.06107092408235974,0.01157803700513061,0.129448502638416,0.28690898904697837,0.4153440539350809
161,ssp119,slcf,1995-2014,2069,2088,-0.0621833504647666,0.010498780554799095,0.1287605459447667,0.28659091924656305,0.41574095456343624
162,ssp119,slcf,1995-2014,2070,2089,-0.06311558498015546,0.009741631745331129,0.12881572164784316,0.2867367198894125,0.4161837756139355
163,ssp119,slcf,1995-2014,2071,2090,-0.06418240795914576,0.00906084444182368,0.1288436092777232,0.2877275989136944,0.417090787850677
164,ssp119,slcf,1995-2014,2072,2091,-0.0651671682758046,0.008610874477634525,0.12864677009657366,0.2886966632270525,0.41786624960739865
165,ssp119,slcf,1995-2014,2073,2092,-0.0661112032905998,0.00782644823012866,0.1285724068204137,0.2889342559283452,0.41881118970818776
166,ssp119,slcf,1995-2014,2074,2093,-0.06694544622351177,0.007210482125994435,0.12820355159673125,0.2897800221212563,0.42052347022694664
167,ssp119,slcf,1995-2014,2075,2094,-0.06743848421687083,0.006741331763127567,0.12826765524639971,0.2903109159206777,0.4215844391094858
168,ssp119,slcf,1995-2014,2076,2095,-0.068160200015309,0.006283885904919789,0.1280369279874336,0.29088648992782523,0.42312888111731023
169,ssp119,slcf,1995-2014,2077,2096,-0.06912754112030585,0.005966666310394495,0.12783538989614018,0.2914034599878357,0.4249751895106031
170,ssp119,slcf,1995-2014,2078,2097,-0.07002775044661629,0.005616584320623649,0.12820109301416727,0.2924884536243379,0.42681632582576035
171,ssp119,slcf,1995-2014,2079,2098,-0.07082708302776297,0.005314579897728899,0.12804797613656038,0.2930214115042562,0.4287394153388723
172,ssp119,slcf,1995-2014,2080,2099,-0.07091313133090893,0.005230351830092575,0.12816291342701347,0.2936164402020626,0.4307467986191613
173,ssp119,slcf,1995-2014,2081,2100,-0.07169284865529861,0.00488140763722427,0.12813225040318166,0.29432789094297046,0.4326218489806177
174,ssp119,anthro,1995-2014,1995,2014,0.0,0.0,0.0,0.0,0.0
175,ssp119,anthro,1995-2014,1996,2015,0.01627594350114947,0.01835635312512796,0.02222986528406201,0.027056795536031183,0.030286108013874612
176,ssp119,anthro,1995-2014,1997,2016,0.03266784612792466,0.03688347757864437,0.04471814715851441,0.054506720931792284,0.06100584423632443
177,ssp119,anthro,1995-2014,1998,2017,0.049727182492929754,0.0560486539591621,0.06795898763525043,0.08272951170481004,0.09273842653062107
178,ssp119,anthro,1995-2014,1999,2018,0.0670778225210126,0.07599333004535408,0.09220058990290736,0.11205166070395982,0.12541261141132112
179,ssp119,anthro,1995-2014,2000,2019,0.08478317317619358,0.09603028945106003,0.11666866421879607,0.141444126671511,0.15848589087997916
180,ssp119,anthro,1995-2014,2001,2020,0.10214274948196116,0.11577219478487412,0.14073953002233375,0.1707521626988807,0.19137112074991258
181,ssp119,anthro,1995-2014,2002,2021,0.11956073637719802,0.1354989181293086,0.16474847649249003,0.2001824786353076,0.224244359209954
182,ssp119,anthro,1995-2014,2003,2022,0.13700576882430418,0.15557256399704125,0.18915581047315078,0.23015425851969837,0.25757380058426066
183,ssp119,anthro,1995-2014,2004,2023,0.15467143223341132,0.1759688836661266,0.2141459670956649,0.26102279108003934,0.2914501818120959
184,ssp119,anthro,1995-2014,2005,2024,0.17256494044982626,0.1966368138969405,0.23961553009092684,0.2926932872931298,0.32694221963040315
185,ssp119,anthro,1995-2014,2006,2025,0.19043505644099742,0.21747966239340372,0.26546321401489137,0.32520715238974157,0.3637864631651035
186,ssp119,anthro,1995-2014,2007,2026,0.20798986664216962,0.23851895808098128,0.2924659178686083,0.3584093770548204,0.40090768763312995
187,ssp119,anthro,1995-2014,2008,2027,0.22591879182527158,0.25938623820440954,0.31887797709671095,0.39228535951531024,0.439411589330942
188,ssp119,anthro,1995-2014,2009,2028,0.243787084717711,0.27972282319701347,0.3463229566151763,0.42658174053154274,0.4785051378815673
189,ssp119,anthro,1995-2014,2010,2029,0.26131197517855825,0.2995933242283422,0.3735191626916847,0.4605040626250275,0.5179010761356262
190,ssp119,anthro,1995-2014,2011,2030,0.27731494210089114,0.3195244225205992,0.4002225918463248,0.4941370067944962,0.5569950307651478
191,ssp119,anthro,1995-2014,2012,2031,0.2935737543642175,0.33859188542619567,0.42574486859037164,0.5282637714536654,0.5966126088179613
192,ssp119,anthro,1995-2014,2013,2032,0.3087325624123708,0.35642467723293614,0.45074572401502366,0.5615145997010219,0.6350799810010042
193,ssp119,anthro,1995-2014,2014,2033,0.3229458981095733,0.3745452038132432,0.4751224306322066,0.5936925955685959,0.6734722329317152
194,ssp119,anthro,1995-2014,2015,2034,0.33613894596790844,0.39052370162800115,0.4981595348743847,0.6248653230523175,0.7120269230265489
195,ssp119,anthro,1995-2014,2016,2035,0.34756234588894025,0.4059620611507799,0.5195697465877551,0.6555797629714059,0.7502905764402971
196,ssp119,anthro,1995-2014,2017,2036,0.3598410391203149,0.42046387968821386,0.5400339088442128,0.6848492322983978,0.7848706029175184
197,ssp119,anthro,1995-2014,2018,2037,0.3698768812214271,0.43336758721223567,0.5588688722679688,0.7123316409371979,0.8189111255146537
198,ssp119,anthro,1995-2014,2019,2038,0.3778039866230188,0.44499855646285724,0.5778832481152331,0.7385934998218457,0.8488072120315351
199,ssp119,anthro,1995-2014,2020,2039,0.38595884369233313,0.4540779065134802,0.5936718421330895,0.762065136160609,0.879107239830501
200,ssp119,anthro,1995-2014,2021,2040,0.39247717174940894,0.46334049841379743,0.6095561609428134,0.7851956243005961,0.9063790526829403
