year,CO2_p05,CO2_best,CO2_p95,CH4_p05,CH4_best,CH4_p95,N2O_p05,N2O_best,N2O_p95,otherGHG_p05,otherGHG_best,otherGHG_p95,O3_p05,O3_best,O3_p95,aerosol_p05,aerosol_best,aerosol_p95,otheranthro_p05,otheranthro_best,otheranthro_p95,anthro_p05,anthro_best,anthro_p95,volcanic_p05,volcanic_best,volcanic_p95,solar_p05,solar_best,solar_p95,total_p05,total_best,total_p95
1750.0,-0.1063675984034425,-0.10636759840341584,-0.10636759840336694,-0.038414917535120295,-0.03841491753510801,-0.03841491753508965,-0.008964286414699207,-0.008964286414697695,-0.008964286414695065,-1.0263482810857205e-07,-1.0263482810857205e-07,-1.0263482810857205e-07,-0.026052417209615836,-0.026052417209601407,-0.026052417209584303,0.0712767583629443,0.07127675836338006,0.07127675836424587,0.015885721009145586,0.01588572100915908,0.015885721009170923,-0.09263684282508176,-0.09263684282464855,-0.09263684282376711,0.05798591002971025,0.07844831957113252,0.10184553459036706,0.009684178692929247,0.01925111866692167,0.0286956826230144,-0.01941850388628288,0.004989169222310852,0.03229315993498682
1751.0,-0.10630463885664886,-0.10628928535139168,-0.10626382239781197,-0.03839382020064252,-0.038386663750584485,-0.038376973486503964,-0.008961079789492777,-0.008960200428583809,-0.008958836249287469,-1.0260146236784617e-07,-1.0259089415487477e-07,-1.0257530284052407e-07,-0.0260443868153294,-0.026035723481258218,-0.02602589086352218,0.07135708642379404,0.07161934234270703,0.07214051787397696,0.015868913219273785,0.015876679337328156,0.015883795715358598,-0.09244073970415542,-0.09217677435754877,-0.09164544371521714,0.06011552878280131,0.08226163806643749,0.10756923599536122,0.013384356895338047,0.02375534787965297,0.0351189101969011,-0.012832242423150224,0.013807192807264904,0.04485520149285789
1752.0,-0.10613380380209697,-0.10607950763874331,-0.10599781216772057,-0.03833668166072665,-0.03831122317768973,-0.038278524705146595,-0.008952337176858735,-0.008949246000445346,-0.008944996021448406,-1.0251115196702188e-07,-1.024732640131365e-07,-1.0242301029111944e-07,-0.02602277329452344,-0.025991249635645218,-0.025956577192445287,0.07154919484088426,0.07240150158919623,0.07411405251044288,0.015824686592400824,0.01585245502488969,0.015878689581980063,-0.09193996347785628,-0.0910796306375557,-0.08934355557392643,0.061649273317032204,0.08507530233821776,0.11283875168270688,0.013896804098034812,0.024682057719366948,0.03684775664775148,-0.010141845650048609,0.018741869796523952,0.05280975719034338
1753.0,-0.10587791951236764,-0.10576892730180398,-0.10561826330310384,-0.03825188553823397,-0.038199564682025546,-0.03813874208659503,-0.008939207265760868,-0.008933124801107528,-0.008925224413579453,-1.0237584096295382e-07,-1.0229883787293836e-07,-1.0220225062085309e-07,-0.025990739125554777,-0.02592558248605103,-0.02585542970860732,0.07167732668263109,0.07297429078949608,0.07557979845898095,0.015759137128559746,0.015817078975584563,0.015871143252622052,-0.09136467703747196,-0.09003954339932221,-0.08733367541360977,0.06268241305416247,0.08715686907273323,0.11687956359741719,0.01111545696681209,0.021927031721615406,0.033711188616903656,-0.010824279361151667,0.019421224958038732,0.05584175855231292
1754.0,-0.10555816872036196,-0.10538102676139557,-0.1051511438620265,-0.038145175930615074,-0.038060730613176226,-0.03796307891762699,-0.008922665831373165,-0.008913017915154989,-0.00890057617958873,-1.0220603076649404e-07,-1.020808302332199e-07,-1.0193208438424861e-07,-0.02595146747083468,-0.025843287281478035,-0.025729188909572383,0.07155970284936149,0.07269854198006985,0.07501387670012107,0.015678800200744185,0.01577243970451085,0.015861790769642597,-0.09092607780908614,-0.08973287893797458,-0.08728472405046604,0.06341813989229556,0.08900441071673319,0.12031514708425166,0.005943439392031727,0.016161266653902884,0.026955536533020814,-0.016672215640881706,0.01590479726908592,0.0533794410297969
1755.0,-0.10518577907237434,-0.1049345266442383,-0.10461097527030654,-0.03802445782466873,-0.03790056194595152,-0.03776493478143177,-0.008903856376270025,-0.008889861902475316,-0.008872422386816037,-1.0201024884248789e-07,-1.0183147564069017e-07,-1.0162393382362467e-07,-0.025905379285521717,-0.025750724183870623,-0.025584245783846066,0.07145788719323964,0.07231750274848557,0.07420650306537299,0.015585567397521548,0.015720845048944006,0.015851091260278033,-0.09046360054414132,-0.08943109523264371,-0.08739535255421141,0.06264292231315036,0.08891329681218393,0.1211332531379363,-0.00238953977011189,0.009435457052750604,0.018289767807625066,-0.024505604696791295,0.008998407963410018,0.04729045816928822
1756.0,-0.1047917616759626,-0.10444520618357674,-0.10402601012648088,-0.037889347994476116,-0.03772661717701873,-0.03754294884057071,-0.008883387257871115,-0.008864429758668288,-0.008840973970263288,-1.0179654323372312e-07,-1.0155655415927667e-07,-1.0128100660922179e-07,-0.025856047535779997,-0.02564856266407866,-0.025424735986285436,0.07150306371458577,0.07249513357672857,0.07463290324540657,0.015483232761961252,0.015665386958910205,0.015839896807585428,-0.0897696103285732,-0.08850823299709343,-0.08612955062184824,0.04835831523046734,0.0740161337255725,0.1049079621964084,-0.011002196677315303,0.003006432025455495,0.01063847471951504,-0.04645463155550945,-0.012570120582820567,0.024498909032863864
1757.0,-0.10436494364618584,-0.10391667358878097,-0.1033911387139048,-0.03774857582647914,-0.037537050225979515,-0.03730044185483934,-0.00886159617736873,-0.008836901068627737,-0.008806931006209096,-1.0156787562803915e-07,-1.0126232665580437e-07,-1.0090970130050003e-07,-0.025801038971500007,-0.025537854939219805,-0.025253374789675116,0.07143729885669298,0.07215344049862968,0.07389405550782037,0.015373556776664665,0.015604529153415897,0.01582784590242539,-0.08921793514174331,-0.0880328527770314,-0.08596476091256015,0.034529922031488226,0.05795548787855293,0.08646076428012414,-0.016299922952310773,-0.001703146142662544,0.006267394833324282,-0.06588266166438944,-0.03268273895820834,0.002473082546662907
1758.0,-0.10393016253494032,-0.1033585026981389,-0.10271292897710907,-0.037600598863851066,-0.03733818134028991,-0.037048483715752555,-0.008839074824765515,-0.008808269081574477,-0.008771118952645995,-1.0133464609096698e-07,-1.0095432644019464e-07,-1.0052151632189421e-07,-0.02574482725178677,-0.02542102793891958,-0.025068244838423237,0.0712487203468116,0.07155042621350886,0.07242613483281106,0.015257118454698418,0.015541529647850286,0.01581389642945448,-0.08885643539325758,-0.08778476880832381,-0.08630861536369118,0.03675429357541738,0.05777043694046616,0.08502938818222798,-0.015636798429245247,-0.0015686791219315654,0.0056688715791878164,-0.0608608634774731,-0.03241207128502365,7.981294463199645e-05
1759.0,-0.10349200230438119,-0.10278862937086443,-0.10199462695782717,-0.037449815023751984,-0.03713505698188157,-0.03678208385690512,-0.008815962362318488,-0.008778486530017261,-0.008733371505479492,-1.0109254128115585e-07,-1.0063185273967434e-07,-1.0011815987504003e-07,-0.025686325151476945,-0.02530209723283066,-0.024876679868379777,0.07089977993438541,0.07128368355804174,0.07173930861479832,0.015136051632079038,0.015476767815801894,0.01580079345053533,-0.08843456225734496,-0.08722818877054929,-0.08585940284154404,0.043901382055396836,0.06381745280347136,0.09108815456571827,-0.008281066676278282,0.003997733164870586,0.009180687339264517,-0.04545256949395548,-0.020942952645284722,0.010716684223969557
1760.0,-0.10304599471512162,-0.10219378531750943,-0.10124359138121704,-0.03729527429422943,-0.036925733680931244,-0.03650652712251455,-0.008792103032948343,-0.008747917987390608,-0.008692381903816266,-1.0085327855624549e-07,-1.0030223684259765e-07,-9.969748891447417e-08,-0.025625505470044302,-0.025178834453843994,-0.024675842117458074,0.069596898500488,0.07065681977467168,0.07113871777143164,0.015011259566732762,0.015408955681947528,0.015786422425907738,-0.08847346740065035,-0.08704135026498679,-0.08559880846025886,0.050079231324889485,0.07085106790088047,0.09811627474480993,0.0019991604550838996,0.011349243706313725,0.017617452763983295,-0.029119158439803026,-0.00568481138719612,0.025066283786661897
1761.0,-0.10259414860800802,-0.10158740774714498,-0.10047294556698708,-0.03713543258484222,-0.03670921276097753,-0.036217292712594794,-0.008769012568156197,-0.008716913722542477,-0.008651383843828598,-1.0060331545047597e-07,-9.996723478178371e-08,-9.925242525077316e-08,-0.025565949349298393,-0.025053357476626577,-0.0244701571620147,0.06813465644464234,0.0699998521528489,0.07095897766648292,0.014881441254866979,0.015340243122626787,0.0157717766928299,-0.08872745337688745,-0.08678444263947807,-0.08504298492553897,0.05485484351589689,0.07639826866404992,0.10475720901920957,0.009276987375549838,0.01799747146770836,0.026738933177022552,-0.017828523652702464,0.007401453452501608,0.0401015104958556
