Species,pc05,pc50,pc95
anthro,0.8308364230852131,1.0672709599390826,1.3178918738695602
natural,0.04791851347987319,0.07408711993601691,0.10071407804682454
wmghgs,1.2187468939859316,1.3335876368991504,1.4498501102721577
aerosols_o3_luc_other_anth,-0.4790029492107427,-0.2649907844225755,-0.03371096343777908
