year,CH4,N2O
1750,192.98655027856432,11.137730226696137
1751,194.26764846814376,11.281236291135704
1752,196.2481660525389,11.301216238312385
1753,195.52095616087442,11.366055769620834
1754,194.95184858381594,11.351900125307923
1755,194.8304881354353,11.31287516472914
1756,195.4374943045477,11.278465612723801
1757,194.76918490745646,11.223809348450605
1758,194.2208552893288,11.302753915860913
1759,193.05284371588237,11.317838453110621
1760,191.33970683927743,11.278394281269252
1761,193.54488023385738,11.283240689100152
1762,194.3510176318205,11.278191347720615
1763,195.4235605812467,11.397274432142734
1764,195.89877693877438,11.3285121072812
1765,195.86802719610918,11.298956118126682
1766,195.71979117308024,11.239352880724262
1767,196.07499441052576,11.30828019887337
1768,194.78131406515604,11.243693655447087
1769,194.76641888709267,11.243154338173353
1770,195.01349405845951,11.27231471613922
1771,195.25379065716365,11.227262538411246
1772,197.18134807792063,11.226454856447916
1773,195.9985179155779,11.215730498575471
1774,194.53309858734238,11.224708785445607
1775,195.07134221903553,11.20399965374606
1776,195.81792719589885,11.20791107934545
1777,195.853737377292,11.191955946438858
1778,193.77798271398137,11.19073518146809
1779,194.059361744349,11.184544643029922
1780,194.38740599924498,11.178268037590417
1781,194.86658298991762,11.166916552094333
1782,194.94254919277202,11.160475094335858
1783,194.49772341617663,11.144007486561017
1784,194.53393064634372,11.152208906186308
1785,194.44314625590292,11.145504571696163
1786,194.249082755363,11.15371192318259
1787,193.56420132929077,11.12711060960669
1788,194.182565631455,11.110280634837993
1789,194.0380829848421,11.118103810417027
1790,194.22385079314614,11.106067606493525
1791,194.41987418633215,11.093896703114398
1792,194.71298925845943,11.106492810215995
1793,194.27993120342092,11.0297885173838
1794,194.3944897054665,11.046735434905626
1795,194.24294194690498,11.014123578197847
1796,194.67726376983643,11.01603773212445
1797,194.81867381123237,11.022885573833877
1798,194.96787988808464,11.004942509079624
1799,194.89853264753367,11.016607153830048
1800,194.85829386933617,10.9688179251671
1801,194.89249359900205,11.004980945048443
1802,195.27620344191533,11.031495813164508
1803,195.66762148615908,10.983725162337883
