,p05,p95
1955,0.0,0.0
1956,0.013198821868027266,0.016316317984006647
1957,0.026803431219657375,0.033099120056213495
1958,0.040039171652561094,0.049086489000384204
1959,0.05430406089478919,0.06603791393322539
1960,0.07363871761463647,0.0885563685462187
1961,0.09042837977453702,0.10816113513874198
1962,0.11190588663326644,0.13376914754596306
1963,0.13381653245434458,0.16011033862848245
1964,0.15670670303327644,0.1875262468669724
1965,0.17580893815457024,0.2102845024629595
1966,0.20382095794388377,0.24331214156812364
1967,0.22535686932219753,0.2688113923693322
1968,0.2545690698384645,0.30356867527119613
1969,0.2838567558586549,0.3384557955298195
1970,0.3259289706642852,0.3884967103380919
1971,0.35351410250541276,0.4214740955130915
1972,0.40190761943807074,0.478895583603131
1973,0.45886176463100975,0.5464108695750765
1974,0.49028452593872696,0.5837622578141891
1975,0.5109140511636878,0.6083550375008829
1976,0.5418359355648752,0.6452138691333982
1977,0.5897463133928944,0.7023300981337726
1978,0.6354435930323001,0.7566941098558301
1979,0.6791367015006493,0.8087653611512757
1980,0.7320247268223307,0.87151040910053
1981,0.7697783765906392,0.9162578944532151
1982,0.8011222508349629,0.9532623870075908
1983,0.8434815513055304,1.0036264390033647
1984,0.883506410786947,1.0511428874738447
1985,0.9232438307472443,1.0984227338918184
1986,0.9642539804386138,1.1471294324804497
1987,1.0074787109157444,1.1988506010860585
1988,1.0653916020429173,1.2679147867616063
1989,1.1101747757647036,1.321143264560676
1990,1.1436464594464193,1.360868314301531
1991,1.1781336733219094,1.4018476507491509
1992,1.1998694071481704,1.4277158349641577
1993,1.2162849806194722,1.447296436538147
1994,1.2450287733431045,1.4813380886356322
1995,1.278113678882658,1.52048932818261
1996,1.3093317365343993,1.557518018979275
1997,1.3308398416575127,1.582988051031621
1998,1.3758828544487491,1.636754647409269
1999,1.4130432536467543,1.6807825678223978
2000,1.4350149404163406,1.7066410505720409
2001,1.4603931107302397,1.7368018847533313
2002,1.4919613961973215,1.7743781356616846
2003,1.5317575529246448,1.822148635666793
2004,1.5598047809004354,1.8556441753041553
2005,1.590321902649583,1.8922257334254655
2006,1.623191934318444,1.931655401328732
2007,1.652811698098345,1.9669888868883838
2008,1.687572522664693,2.0086158969948764
2009,1.7129083142050936,2.0388876954409696
2010,1.7492293265261813,2.082181550261999
2011,1.7805420264722476,2.119543044664104
2012,1.8123981211279296,2.157980285527811
2013,1.853894361264553,2.208415987470503
2014,1.886718650136293,2.2477173787578013
2015,1.9245273960935134,2.292983063068637
2016,1.9749179846391527,2.3542238092791843
2017,2.0089581624570214,2.395345923791913
2018,2.047110239720793,2.441147310269733
2019,2.0849563303478797,2.4867557414682744
