,q4x,lamg,cmix,cdeep,gamma_2l,eff
156,6.419499135124959,-1.7146429164542747,8.810877989471075,448.2134373783732,0.44027288110194324,0.3472641785753653
358,8.646745334140812,-1.8178337769724453,9.69154468222165,103.49449692773301,0.7724690424689595,1.5853941938998481
441,8.316301653028455,-2.0855613531699664,5.696549018970316,180.47448807865214,0.8214900902324952,1.251473834141919
636,7.88966806067585,-0.7969981637282494,7.735093687019884,89.44555434562227,0.8523590416466267,1.5354399623120816
914,7.034846143791358,-1.315330918873758,8.992671669174145,168.48483299642362,0.7095031047240097,1.100228230030632
919,8.31753147490276,-1.0606916287274413,8.01384269049075,52.44209249428841,0.7117771204230738,1.4425434123754093
1081,7.762470554292543,-1.6443934419991244,6.220695519184769,124.87874947186464,0.9640700469126758,1.3546501722151671
1949,7.623903399561266,-1.3087519708433404,9.97608409913899,181.70896079417105,0.5621805516627327,0.9400857483885682
2084,6.991081237514884,-1.8801972575258585,7.424590423500596,101.06368841789406,0.5894567472676165,1.0358711768726392
2796,10.251120243380441,-0.9584018656583702,8.302900931988628,154.92489760906713,0.6950441550263067,1.3019917259222022
2803,8.387098783142251,-1.0516462169020966,8.561227558883484,145.73992940080603,0.7463013029521215,1.6179547582895157
3304,8.303128258788869,-0.7602500488567964,6.705863778836813,58.04546215084598,0.918610450970605,1.5017908403570583
3593,6.419523450925398,-1.0865573055277151,8.21875534228115,124.14514912903076,0.7060797824676949,1.657400233871285
4098,8.06719697383079,-1.2625502829916697,9.20360162479195,233.17860657682562,0.6410036572179001,1.0724936278800357
4388,7.878194982854606,-1.924738339789096,11.006758467086101,198.8466063130178,0.6583463652853587,0.7115209772773873
4427,7.876242132367648,-1.464870718952271,9.113850288764459,90.61447817238668,0.771021738851378,0.6950642243043725
4775,7.911083414764211,-1.783967390676507,9.289569486562584,159.18101954360532,0.6232128681863004,1.2642273839845963
4809,7.090272213603312,-1.5920067042768902,7.98881914501091,104.15718659697076,0.5871282530973111,1.8501800648540527
4974,9.176691178701503,-1.93282749508752,10.042450737431361,186.07872950831404,0.6651661526434529,1.1128153585868252
5086,7.716462315369131,-2.196042385483038,7.593590350194574,205.98615003533075,0.6862801075062754,0.8517122798020443
5230,8.005742287820055,-1.5264350306307608,7.498402194503124,69.8298885120999,0.5974742285316198,1.4490994706974145
6204,7.3210955826914565,-1.176046585746998,7.833896869347327,152.3153323839457,0.7669035422313255,1.7298180820313387
6596,7.848410681077684,-1.4930104786644924,6.778188590879497,116.24309304098907,0.6442991845015753,2.051314007944069
6622,7.9349665961510505,-0.9215776616325474,8.233326800317343,153.5019187862144,0.6303536210282529,1.5002167735790035
6631,5.811009698769862,-1.1513345266460335,6.0414533643931225,90.40612967693346,0.7141300205600914,1.1343112981649284
6906,7.655725687570568,-1.3812237507536034,10.065869392300838,208.84580872179703,0.638932876535767,1.0010772444184644
