,q4x,lamg,t4x,cdeep,cmix,gamma_2l,eff,kappa,tau1,tau2,a1,a2
CESM2-WACCM-FV2,7.011729004608327,-0.6016808519364495,11.653568469131228,112.09726978029329,8.170170809228082,0.7049349510802102,1.5011937143372782,1.0582439175782683,4.8257272680225345,447.45376166071264,0.34835607452730516,0.6516439254726928
E3SM-1-0,7.396111590692042,-0.629308222153523,11.75276490967177,43.9035825378213,8.393028870785855,0.36343402276094045,1.455884915320799,0.529118111452009,7.045866216529169,228.6626841935062,0.5133013170749826,0.4866986829250161
NorESM2-LM,9.53207150702561,-0.9264454330169747,10.288864374527614,145.05241506795974,5.604629223040193,0.8196960371501171,3.074718557859405,2.5203346172292775,1.6151687922886637,662.7981018142702,0.26519682794752214,0.7348031720524808
CESM2-WACCM,7.856972300844,-0.7058138383370778,11.13179123742063,89.66997071277409,8.293803940665377,0.7001550303301475,1.525304060263816,1.067949310576709,4.573833998999513,329.03038971693263,0.38062957189931096,0.6193704281006877
GISS-E2-2-G,7.19266907038097,-1.6424474110351466,4.379238581393726,411.8476390215087,8.893609582789411,0.5301290044190868,0.6517049423215746,0.34548769224793474,4.469298439037851,941.2440558201869,0.8245446580314241,0.17545534196858606
FGOALS-g3,7.972358832030283,-1.2837794914052925,6.210068695912348,98.48689641899465,8.132895614022823,0.642433856176221,1.3730405945943303,0.8820877638717268,3.717405093271577,261.2551780109908,0.5808288767921582,0.41917112320784006
CESM2,8.4783623024525,-0.6588861436044366,12.867719840156466,75.9098225349569,8.412395239198508,0.6683088389980077,1.7714651640906776,1.183885827138856,4.448580451750853,325.993256556184,0.3394127546836414,0.6605872453163579
CESM2-FV2,7.707721014470841,-0.5815142889034944,13.254568566039916,92.72710251834559,7.417002998821922,0.7107195329691086,1.768260699769118,1.2567374187075366,3.9504830899880616,421.23679015825246,0.30319434523289135,0.6968056547671071
AWI-CM-1-1-MR,8.168461329322106,-1.2093349770646578,6.7545068026938955,56.49395628396804,8.200244183835153,0.47505200285541604,1.448387693987997,0.6880594749401354,4.264331378718599,189.09936081229813,0.6203223181106863,0.37967768188931333
CNRM-ESM2-1,5.79740017780529,-0.6337400046026365,9.147915763080254,97.0197909801108,7.4684085642284845,0.6044358594580296,0.9031085343769031,0.5458711831599848,6.215387279156037,304.339879122375,0.5175608859095825,0.4824391140904196
ACCESS-CM2,7.733056854805012,-0.6994882798646815,11.055305824853837,93.23003992466708,8.705751044827323,0.5429052944168767,1.4967678840317522,0.8126032087539841,5.6539768302051066,378.010244909334,0.44599850371231026,0.5540014962876885
GFDL-CM4,7.658725737387499,-0.822550370089286,9.310950448602746,94.13658550582579,7.533980888689017,0.5824588556839432,1.6437806451473072,0.9574345935679144,4.1731141863220715,354.727561056355,0.44913472116046993,0.5508652788395317
INM-CM5-0,6.377652802691486,-1.6135583156369633,3.95253939128528,47.65112684915308,8.638405942736668,0.4803782364175059,1.302261810309948,0.6255782317905614,3.8152802380921322,139.19138358221986,0.704553709327273,0.2954462906727274
CNRM-CM6-1-HR,7.523271850777991,-0.9405697941000795,7.998632209925071,96.37019686903047,8.409643635662576,0.5480701357931236,0.7495001306060569,0.4107786383582255,6.155275608327989,255.4145710744505,0.6807378767755281,0.3192621232244712
UKESM1-0-LL,7.476424076122564,-0.6632836902278628,11.271834640700419,76.55368258282894,7.740971906710853,0.531698336069874,1.1347611692672963,0.6033506255361262,5.987688783312936,280.63235418558264,0.5024377677249808,0.4975622322750204
GISS-E2-1-H,7.300776792291273,-1.140782299391422,6.3997984507516055,84.25296739579352,8.63625245636574,0.6219105436433361,1.121011424353134,0.6971688243498481,4.636523708682036,221.2011376990992,0.6041517558404407,0.395848244159561
GFDL-ESM4,7.450284032132643,-1.4601916330738651,5.102264568147437,148.06524660966357,8.374525585970233,0.5468509797992929,0.85865181742755,0.4695545876666993,4.322638742215918,359.24071849901446,0.7507003684980069,0.2492996315019926
NorESM2-MM,8.902344737930921,-1.5433414159462666,5.768227720699688,121.29490668694183,6.153316481410074,0.7685121251239503,1.6912701427300407,1.2997616115481503,2.1507127683868523,292.58810704589087,0.5360195362124683,0.4639804637875358
BCC-CSM2-MR,7.2170105847155135,-1.1439307522997344,6.30895757475143,64.57353599000112,5.936500317224712,0.8723550893853421,1.3037078405425508,1.1372961697688684,2.5567264446555518,150.24767703099414,0.4838844270497688,0.516115572950231
ACCESS-ESM1-5,6.745165698079507,-0.7126599610240836,9.464774320120261,95.36197555787835,8.381012066669497,0.6194270717767029,1.604318746287614,0.9937584632094079,4.82071307519482,375.5673936034769,0.40224551232717687,0.5977544876728238
CNRM-CM6-1,7.305305051384967,-0.7512218451577419,9.724564186301691,145.22514470930307,7.586284279968561,0.508941042007948,0.9899316890599191,0.5038168653468432,5.993049027928437,480.8254171933536,0.5883226333402123,0.4116773666597856
MIROC-ES2L,8.16784917209042,-1.5578865297904358,5.242903777587157,177.43373834349367,10.588283992149268,0.6820571304602421,0.9487913001272714,0.6471298715704491,4.7756960911761315,370.22737360903864,0.6987771552241351,0.30122284477586436
IITM-ESM,9.436748564103414,-1.9428468977915183,4.857175609066071,174.1064072971145,9.335789172246878,0.6991924862157932,1.1483512834659142,0.8029185889356296,3.3864152713363223,353.33791722922973,0.7018809145768691,0.29811908542313226
SAM0-UNICON,8.046759001106924,-1.0336178803666725,7.785042377800553,100.4856361676492,6.576330608681177,0.8073632192113122,1.1362081671503037,0.9173326835246538,3.327846540930329,237.95528738926964,0.5162808391414604,0.48371916085853833
