year,pc05,pc16,mean,pc50,pc84,pc95
1750,0.0,0.0,0.0,0.0,0.0,0.0
1751,-0.004924700382614891,0.00045770007976170935,0.006126539626696784,0.004976348921015717,0.01278383235618771,0.021221462623112926
1752,-0.008200626580250808,0.0007153278957009078,0.009980033384093919,0.008147833452522148,0.020979001534041333,0.03504662193826442
1753,-0.005073701608453006,0.0003313266803990881,0.006087335112445951,0.0048091249060350436,0.012907806013399708,0.021663995718521567
1754,-0.01114167060292164,-0.006991156623762199,-0.0034297487715690207,-0.003006675081937926,-0.00045805359729033616,0.0024122870097404167
1755,-0.0028603117859478024,-0.0002691559078790702,0.0021621073574165407,0.0017000699403425222,0.0052142081044604365,0.009052562397297936
1756,-0.004864227069416196,4.263235730850616e-05,0.0053046735346584,0.004122879598833117,0.011758132790646516,0.019726201650804784
1757,-0.018097463581009346,-0.010970889121299435,-0.00565642694712536,-0.004600546411286007,-0.0007472120266862273,0.0028101356013356003
1758,-0.004936428382115708,-0.003072160655861139,-0.0014702067442398906,-0.001112862644177805,-7.78185262806432e-05,0.0008658954864158364
1759,-0.010107680362539898,-0.00637939425086393,-0.003352753185098193,-0.0028438743523433708,-0.0006285722034586472,0.0011878798425815273
1760,-0.031543625173856366,-0.019416143630688866,-0.00969196981902869,-0.008249852058298377,-0.0011802033001562875,0.00658741634360998
1761,-0.018707375651826074,-0.011433107764274392,-0.005940775699482838,-0.004982420313785105,-0.00099654773103625,0.0025029158437793507
1762,-0.00851784025197263,-0.005552540466049509,-0.0028698613297751417,-0.002500165553638474,-0.0006210847246276592,0.0010101333801347903
1763,-0.007656598430187713,-0.00510137523864893,-0.002770403357290348,-0.0023941806244275445,-0.0007166404505040209,0.0005469482472743288
1764,-0.01167511587335099,3.1357410368016144e-05,0.011482140366635682,0.009048058711677525,0.02562819160944883,0.04290152965011345
1765,-0.019177192375396227,-0.012285706592938702,-0.006286940893262535,-0.005398419035687832,-0.0010833808109809696,0.0031665659620559185
1766,-0.0059847398613110305,-0.0016721732842256572,0.0017110276652971919,0.0012804913134078157,0.005709359099541699,0.010788677475180253
1767,-0.005149615671171293,-0.0017913265444427636,0.0007383879525219288,0.0005249646015125812,0.0036095907748752713,0.007538661081963677
1768,-0.047667660584844944,-0.029211803786959076,-0.014784067010222078,-0.012421402466475207,-0.0022363822417565435,0.007868984690540672
1769,-0.022982983490023052,-0.014776168134795372,-0.007773473841601018,-0.006624285615873424,-0.001538398665438263,0.002798336683937852
1770,-0.023656168772756562,-0.015128235436025143,-0.007967520036206814,-0.0068241418941468405,-0.001609479481895562,0.0029727183189673903
1771,-0.006542332556302161,-0.0016930502242876696,0.0024222330557394766,0.0019346617278016378,0.00718828576030493,0.012797808252743252
1772,-0.00964109504877228,-0.0012789505353877333,0.007404867865157042,0.005776560151527727,0.017960662138161828,0.03005022453128448
1773,-0.009150657087581174,-0.002066218700556382,0.004947375141463717,0.003867153230066973,0.01311896937078787,0.022282760632258636
1774,-0.03471002935908026,-0.022334719384883968,-0.01144380473065507,-0.009776792494689298,-0.001996554046503474,0.004980290389280056
1775,-0.013999419085223373,-0.008042767501258381,-0.003854710941910508,-0.0027967705041802384,9.581694579912463e-05,0.0023833538469546552
1776,-0.011048553121405385,-0.003936812425397951,0.00039596573238099046,0.000718498798395168,0.00522023496585078,0.01042289062126662
1777,-0.020121111792151054,-0.011655896645744374,-0.005809756312690161,-0.004310682987382694,-0.00044928844137908145,0.002520669238100314
1778,-0.034239484440600175,-0.021124793461096667,-0.011068575142092184,-0.00913065899938668,-0.001914114889591056,0.0038624009844243088
1779,-0.018544205688240542,-0.010634077619428924,-0.005346595239362973,-0.003799119456132299,-0.000163282974507223,0.002356947847564399
1780,-0.045833040167155,-0.029151467555291653,-0.015059342053182634,-0.012646348036493015,-0.0026613658641541737,0.005574663866139562
1781,-0.029555204152935565,-0.017897016085754475,-0.009486182704548455,-0.007551258141776927,-0.001709859013629902,0.0029621627297575876
1782,-0.024641605127708098,-0.014810734877188675,-0.008141155682889674,-0.006478891738581463,-0.0016561483055249598,0.0016715316937172785
1783,-0.018740880257100193,-0.010813558617585537,-0.005741256878131963,-0.004018277540857528,-0.000584379845584381,0.0015423754464892988
1784,-0.018945979823708853,-0.005975454842622634,0.00426164998425928,0.0034832115365773875,0.01583189664208333,0.03078531978077549
1785,-0.026015232677063335,-0.015778431445705256,-0.008605602646783657,-0.00690454689084713,-0.0017971951793607148,0.0018320287012713844
1786,-0.019009481746389688,-0.008337470918403828,-0.001980877780270196,-0.0013665642216863386,0.005166981460648079,0.0126900563227351
1787,-0.025596537553999897,-0.01490560072949537,-0.007599193403860451,-0.005592585520278454,-0.0006404400505773308,0.0028494620258978113
1788,-0.06747912923016869,-0.04242767358957152,-0.02212997790337982,-0.018831735654153754,-0.0037574960386006014,0.008943158653986429
1789,-0.04491225173675892,-0.027572456168349684,-0.01481097412873594,-0.012380784365476363,-0.0028426373653645393,0.003911916224281688
1790,-0.04900120100111762,-0.02996445163600052,-0.01599886542016586,-0.013455100838357801,-0.002990841435690414,0.004849723810266681
1791,-0.021902933315241308,-0.012226604450496965,-0.00581732674396452,-0.004261947425335613,0.0006774486609373594,0.004492409295148484
1792,-0.01988029938134672,-0.008454355372663275,-0.0016178858357097554,-0.001186696497843418,0.005989631158393675,0.014940188495510718
1793,-0.019136766800703524,-0.00854034098528383,-0.0027862459695134224,-0.001913256295839507,0.003745152175352368,0.009893966485360848
1794,-0.057410309181395225,-0.03680569755128284,-0.019350054388606937,-0.016388441899595634,-0.0037817559153263793,0.006401995632097359
1795,-0.036128254017439944,-0.022011088192943416,-0.011940032117920402,-0.009742139798563882,-0.0025290820315083938,0.003141048661666826
1796,-0.021373462383313696,-0.012385622830702816,-0.007035074568766256,-0.005122924571879346,-0.001450104982847594,0.0008405002245563796
1797,-0.03948244091216302,-0.024311050653219073,-0.013156524398459907,-0.010769572970901113,-0.0028131599530584295,0.0033408102818689757
1798,-0.05254009541224646,-0.03253445128697759,-0.017511540488704132,-0.01478418647825962,-0.0034642814703965625,0.004890417478223107
1799,-0.04806248664310754,-0.029986587991722408,-0.016216644686927177,-0.0137427565903242,-0.0035048563116105744,0.004188932569854811
