year,min,mean,max
1899,0.00504,0.010715833333333334,0.017394999999999997
1900,0.005142857142857143,0.010934523809523809,0.01775
1901,0.005245714285714286,0.011153214285714285,0.018104999999999996
1902,0.005348571428571428,0.011371904761904762,0.018459999999999997
1903,0.0054514285714285715,0.011590595238095238,0.018815
1904,0.005554285714285715,0.011809285714285715,0.019169999999999996
1905,0.005657142857142857,0.012027976190476191,0.019524999999999997
1906,0.00576,0.012246666666666666,0.01988
1907,0.005862857142857143,0.012465357142857143,0.020234999999999996
1908,0.005965714285714286,0.012684047619047619,0.020589999999999997
1909,0.006068571428571428,0.012902738095238096,0.020945
1910,0.006171428571428572,0.013121428571428572,0.021299999999999996
1911,0.006274285714285714,0.013340119047619049,0.021654999999999997
1912,0.006377142857142857,0.013558809523809523,0.02201
1913,0.00648,0.0137775,0.022364999999999996
1914,0.006582857142857143,0.013996190476190476,0.022719999999999997
1915,0.006685714285714286,0.014214880952380953,0.023075
1916,0.0067885714285714285,0.01443357142857143,0.023429999999999996
1917,0.006891428571428572,0.014652261904761904,0.023784999999999997
1918,0.006994285714285714,0.01487095238095238,0.024139999999999998
1919,0.007097142857142857,0.015089642857142857,0.024494999999999996
1920,0.0072,0.015308333333333334,0.024849999999999997
1921,0.0073999999999999995,0.015425833333333333,0.025204999999999998
1922,0.0076,0.015543333333333333,0.025559999999999996
1923,0.0078,0.015660833333333332,0.025914999999999997
1924,0.008,0.01577833333333333,0.026269999999999995
1925,0.008199999999999999,0.01589583333333333,0.026624999999999996
1926,0.0084,0.016013333333333334,0.026979999999999997
1927,0.0086,0.016130833333333334,0.027334999999999995
1928,0.0088,0.016248333333333333,0.027689999999999996
1929,0.009,0.016365833333333333,0.028044999999999994
1930,0.0092,0.016483333333333332,0.028399999999999995
1931,0.00825,0.016849166666666665,0.029559999999999996
1932,0.0073,0.017215,0.030719999999999997
1933,0.00635,0.017580833333333334,0.03188
1934,0.0054,0.017946666666666666,0.03304
1935,0.00445,0.018312500000000002,0.034199999999999994
1936,0.0034999999999999996,0.018678333333333335,0.03536
1937,0.00255,0.019044166666666668,0.03652
1938,0.0015999999999999999,0.01941,0.03768
1939,0.0006499999999999995,0.019775833333333336,0.03884
1940,-0.0002999999999999999,0.02014166666666667,0.04
1941,0.0017100000000000006,0.020962500000000002,0.03955
1942,0.003720000000000001,0.021783333333333335,0.0391
1943,0.005730000000000002,0.022604166666666668,0.03865
1944,0.007740000000000002,0.023425,0.0382
1945,0.009750000000000003,0.024245833333333335,0.03775
1946,0.011760000000000003,0.025066666666666668,0.0373
1947,0.013770000000000003,0.0258875,0.03685
1948,0.015780000000000002,0.026708333333333334,0.036399999999999995
1949,0.017790000000000004,0.027529166666666667,0.035949999999999996
1950,0.019800000000000005,0.02835,0.0355
1951,0.02015,0.029134166666666666,0.036485
1952,0.0205,0.029918333333333335,0.037469999999999996
1953,0.02085,0.0307025,0.038454999999999996
1954,0.0212,0.03148666666666667,0.039439999999999996
1955,0.02155,0.03227083333333333,0.040425
1956,0.021900000000000003,0.033055,0.04141
1957,0.022250000000000002,0.03383916666666667,0.042395
1958,0.022600000000000002,0.03462333333333334,0.04338
1959,0.02295,0.0354075,0.044365
1960,0.0233,0.03619166666666667,0.04535
1961,0.02418,0.03724416666666667,0.046515
1962,0.02506,0.038296666666666666,0.04768
1963,0.025939999999999998,0.03934916666666667,0.048845
1964,0.02682,0.04040166666666667,0.05001
1965,0.0277,0.04145416666666667,0.051175
1966,0.028579999999999998,0.042506666666666665,0.05234
1967,0.029459999999999997,0.04355916666666666,0.053505000000000004
1968,0.03034,0.04461166666666666,0.05467
1969,0.031219999999999998,0.045664166666666665,0.055835
1970,0.0321,0.04671666666666666,0.057
1971,0.030339999999999995,0.047599999999999996,0.060430000000000005
1972,0.028579999999999998,0.04848333333333333,0.06386
1973,0.026819999999999997,0.04936666666666666,0.06729
1974,0.02506,0.050249999999999996,0.07072
1975,0.023299999999999998,0.05113333333333333,0.07415000000000001
1976,0.021539999999999997,0.05201666666666666,0.07758000000000001
1977,0.01978,0.052899999999999996,0.08101
1978,0.018019999999999998,0.05378333333333333,0.08444
1979,0.016259999999999997,0.05466666666666666,0.08787
1980,0.014499999999999999,0.055549999999999995,0.0913
1981,0.009080000000000001,0.05429166666666666,0.09388
1982,0.003660000000000002,0.05303333333333333,0.09646
1983,-0.001759999999999996,0.051775,0.09904
1984,-0.007179999999999997,0.05051666666666667,0.10162
1985,-0.012599999999999998,0.049258333333333335,0.1042
1986,-0.018019999999999994,0.048,0.10678
1987,-0.023439999999999996,0.04674166666666667,0.10936
1988,-0.028859999999999997,0.045483333333333334,0.11194
1989,-0.03428,0.04422500000000001,0.11452
1990,-0.0397,0.042966666666666674,0.1171
1991,-0.03782,0.04282500000000001,0.11415
1992,-0.03594,0.04268333333333334,0.1112
1993,-0.03406,0.04254166666666667,0.10825
1994,-0.03218,0.04240000000000001,0.10529999999999999
1995,-0.0303,0.04225833333333334,0.10235
1996,-0.028419999999999997,0.04211666666666667,0.09939999999999999
1997,-0.026539999999999998,0.041975000000000005,0.09645
1998,-0.024659999999999998,0.04183333333333334,0.0935
1999,-0.022779999999999998,0.04169166666666667,0.09054999999999999
2000,-0.0209,0.041550000000000004,0.0876
2001,-0.020857142857142855,0.04209047619047619,0.09082857142857143
2002,-0.020814285714285712,0.04263095238095239,0.09405714285714285
2003,-0.02077142857142857,0.043171428571428576,0.09728571428571428
2004,-0.02072857142857143,0.043711904761904764,0.10051428571428572
2005,-0.020685714285714286,0.04425238095238095,0.10374285714285715
2006,-0.020642857142857143,0.04479285714285715,0.10697142857142858
2007,-0.0206,0.04533333333333334,0.1102
2008,-0.0194,0.04756666666666667,0.1134
2009,-0.0182,0.0498,0.11660000000000001
2010,-0.017,0.05203333333333333,0.1198
2011,-0.014000000000000002,0.05503333333333333,0.1228
2012,-0.011000000000000003,0.058033333333333326,0.1258
2013,-0.008000000000000004,0.06103333333333333,0.1288
2014,-0.0050000000000000044,0.06403333333333333,0.1318
2015,-0.005800000000000009,0.06323333333333332,0.131
2016,-0.006600000000000013,0.06243333333333332,0.13019999999999998
2017,-0.007400000000000018,0.06163333333333331,0.1294
2018,-0.0052333333333333485,0.06379999999999998,0.13156666666666667
2019,-0.00306666666666668,0.06596666666666665,0.13373333333333332
2020,-0.0009000000000000119,0.06813333333333332,0.1359
