year,CanESM5,E3SM,GFDL-ESM4,GFDL-CM4,GISS-E2-1-G,HadGEM3-GC31-LL,IPSL-CM6A-LR,MIROC6,MRI-ESM2-0,NorESM2-LM,UKESM1-0-LL
1750,0.12440885807282967,0.15008668405353462,0.09878801493806144,0.03919320286479779,0.20797240344777712,0.06376185376093087,0.016942271835935593,0.11585001671840911,0.07132702055614817,0.06460897519021447,0.055457324985849085
1751,0.1343920055430894,0.16189257840139276,0.10866618620384785,0.04193814125367594,0.22911909753568754,0.06752857382637274,0.016773977500236795,0.1259507182157016,0.07642636852786065,0.06915889943673992,0.05708116497656781
1752,0.14025543482909925,0.1687934217193351,0.11503863675577965,0.0436242692395304,0.24237839550661244,0.06964992801275045,0.01628432325745148,0.13201295278943434,0.07937236756351404,0.07175183749862446,0.05787265959639093
1753,0.13457933062343821,0.16213073870460562,0.10884999500645076,0.04197314126256265,0.22954877913470764,0.06757645139611115,0.016780488544472668,0.12615860345934488,0.07652162298829895,0.0692467993855614,0.0570510705231652
1754,0.12005199546199127,0.14495942982270763,0.09371415613772786,0.037791205024850054,0.19796268185566687,0.06206513752977812,0.017511299218021806,0.11133307794454732,0.0690971439870747,0.06267500929037345,0.054580669890629915
1755,0.12758005964036614,0.1539068279527567,0.10298488836113705,0.04021502629436194,0.21608130652886534,0.06483745565943638,0.01625110406690046,0.11934834606160921,0.07293214964109127,0.06598440015007286,0.055710348409768816
1756,0.13395955303129475,0.16144867298672486,0.10793182692929995,0.041703997732140494,0.22794080128367641,0.06730192381728599,0.017013443075105706,0.12551824086616042,0.0762150445615146,0.06900035293412121,0.056817140480917995
1757,0.11397114300231731,0.13772786199521797,0.09096375538438203,0.0366408392406105,0.18941608898931045,0.05944208052954879,0.015486905558570373,0.10591904795015337,0.06584422896967601,0.059571413527487904,0.05301722641987898
1758,0.12126427997088075,0.14647950615915634,0.09746322298627075,0.038529833560694934,0.20381705048362708,0.062286878093782916,0.015908048955609867,0.11318980348330332,0.06966311820758814,0.06303271569947404,0.05431437643408495
1759,0.11926397956870678,0.14403158207487457,0.09449698260525623,0.03784545202885833,0.19828381017811356,0.06164978212554171,0.016525522316177176,0.11088474404074469,0.06864900913215494,0.06217890378183897,0.054254237995544026
1760,0.11016002546170567,0.1330737159374954,0.08406252894768021,0.03506687260754364,0.17743355899963564,0.05823880043609428,0.01746351480015289,0.10129140307159792,0.06392493154562455,0.058038990634734625,0.05286433285134508
1761,0.11442135477594209,0.13831350762723932,0.09066450159633394,0.03659475843195919,0.189493049958566,0.059613695961673666,0.01598604094631103,0.10626072167935427,0.06610180199108195,0.059855241584765705,0.05303211867732126
1762,0.12114027828698007,0.14629498095273716,0.09539537829154418,0.038171495597885206,0.20106684492084534,0.062401351643950984,0.01713407098840846,0.11260637498506464,0.06964665215179507,0.06313401812871547,0.05459087501110274
1763,0.12084641924668538,0.1460138818276585,0.09572667990958944,0.038143293732456854,0.20134394554448415,0.06216746659541322,0.016776153757210532,0.11251483333155189,0.06948104675969125,0.06295815379535777,0.054257466259464815
1764,0.1425738416217574,0.1716656076656337,0.11897795382172147,0.04442065678618308,0.24967133281544,0.07022064395369462,0.015258887753058397,0.13487123103395188,0.08050334401056877,0.0726812904931367,0.05756734986500252
1765,0.11507820897721728,0.13908045768580635,0.09005919585783664,0.03657104289711254,0.18925345214578,0.05997637583187695,0.016775104574043208,0.10663303052669332,0.066478130165782,0.060266624783121614,0.05334712108085249
1766,0.12679197529794056,0.1531868246679841,0.10367717013944014,0.04008169165015205,0.21662065125968755,0.06419337428340825,0.01543600296533022,0.11909122105097544,0.07249842972451367,0.06553906792057403,0.054751405428588584
1767,0.12531585859115776,0.15139903099749152,0.10195283821004603,0.03965644001371902,0.21311364615770728,0.06369061615517778,0.01560593794357223,0.11750197408454086,0.07174526412916288,0.06487756273649228,0.05464431486669165
1768,0.10004478444834077,0.12098845755526356,0.07713420191386625,0.0325948621347591,0.16068513728304717,0.0538019335622865,0.015545948215975504,0.09184020267077492,0.05846932024444358,0.052990820191230886,0.050018131563753176
1769,0.11232530517252548,0.13595995287822427,0.0884781460694268,0.03584424875983583,0.18525189500389172,0.05860770058012521,0.016154008818321026,0.104276506182391,0.06501221258842939,0.05891401665821085,0.052131993807440796
1770,0.11191241157042403,0.13550066884266038,0.08822977077417654,0.03572477171981489,0.18465418350775264,0.05839136961382381,0.0160726077624794,0.10393023512448778,0.06479243051430844,0.05871338567594983,0.05191958449602964
1771,0.12863460850926364,0.1552505744412375,0.10470476407905503,0.040547657382324395,0.2193187129736991,0.06508284239175408,0.015852802742008516,0.120660332990123,0.0734585952291275,0.06642686498292788,0.05551595589885279
1772,0.13664501648596308,0.16468481184594375,0.11315375899082579,0.0428515272208126,0.23696441526652384,0.06807431188222006,0.015358796927520112,0.1288573954685221,0.07752008134827718,0.07001437825575425,0.056793572948273294
1773,0.13323387107002263,0.16065050771802145,0.10947509157688658,0.041880692870182576,0.2292876320222063,0.06684242810543774,0.015613197223164302,0.12532445707561096,0.07579792395598092,0.06849469521944433,0.056349865998801575
