year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,aerosol,chapter2_other_anthro,total_anthropogenic,total_natural,total
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999780663005404,0.09759026199288964,0.0,0.0,0.0,0.0,0.29756832829343005,0.29756832829343005
1751,0.001571133349413203,0.000543355387092612,9.25022883899418e-05,7.95800959438715e-10,-0.0002531717556753779,4.965148078900956e-05,0.0,0.0006008075764663077,0.004742961543970891,1.743846258563708e-05,-0.0002290738886122979,0.19999036840457465,0.07924397293038964,0.0006358584712835132,0.005343769120437199,-0.00016198394523765126,0.007135605240220886,0.2792343413349643,0.28636994657518516
1752,0.0031418515100640615,0.0010863583642373308,0.00018499312992652028,1.59160191887743e-09,-0.00016763429001038913,9.927075857392026e-05,0.0,0.001246775462043803,0.007398976031656569,3.48896546686984e-05,-0.0004581477772245958,0.1999945078831076,0.04916604324288964,0.00127135308576577,0.008645751493700372,-0.0003239873639819771,0.012567334435537836,0.24916055112599725,0.2617278855615351
1753,0.004712154722442406,0.0016290095374276448,0.00027747253126825364,2.387402878341742e-09,8.192528512667742e-05,0.00014885788873004405,0.0,0.0005365216160033958,0.004818998707251027,5.229220839872424e-05,-0.0006872216658368925,0.19999589157701825,0.012988284453827144,0.0019064844560987768,0.005355520323254423,-0.0004860715687081242,0.011570013218214159,0.21298417603084538,0.22455418924905954
1754,0.006282043226836185,0.00217130951091752,0.00036994049906200567,3.1832038377804574e-09,0.000785900644774468,0.00019841292647373635,0.0,-0.0008746644225832361,-0.002025613164016387,6.970749162616952e-05,-0.0009162955544491916,0.1999963568370048,-0.021426608124297853,0.0025412531931833632,-0.002900277586599623,-0.0006481751363492857,0.0060607443418451085,0.17856974871270695,0.18463049305455206
1755,0.007851517263319558,0.0027132588872292454,0.00046239703994044,3.979004797219172e-09,0.0010673710863754464,0.000247935926863113,0.0,0.0005845575643701339,0.0013185949076772532,8.710482042580036e-05,-0.0011453694430614884,0.17302788395006144,-0.04590392746023535,0.0031756599061744826,0.0019031524720473873,-0.000810328695772575,0.013187372032144299,0.1271239564898261,0.1403113285219704
1756,0.009420577071760425,0.0032548582671601644,0.0005548421605229282,4.774805756657887e-09,0.0005270702922747542,0.0002974269447986655,0.0,0.00018181644727221474,0.004544665096055989,0.00010985388170947841,-0.0013744433316737873,-0.07767257582571102,-0.05348581222586035,0.003809705202488849,0.004726481543328204,-0.0009671625051656434,0.017516671604686593,-0.13115838805157137,-0.11364171644688478
1757,0.010989222891813387,0.003796108249789142,0.0006472758674177557,5.5706067160966024e-09,0.00243746821825547,0.00034688603502385163,0.0,0.00045048159064516025,-0.005568662818157886,0.0001272153016535605,-0.0016035172202860841,0.06635119460703175,-0.034343893280547856,0.004443389687813614,-0.005118181227512726,-0.001129415883608672,0.011622483686761071,0.03200730132648389,0.043629785013244965
1758,0.012557454962932108,0.004337009432484158,0.0007396981672178457,6.366407675560915e-09,0.002199947786774818,0.0003963132521257897,0.0,0.00046380782407902,-0.0018530881936994067,0.00014455876716981211,-0.001832591108898383,0.15326806622029782,0.017013235625702144,0.005076713966109679,-0.0013892803696203867,-0.0012917190896027811,0.017153117256593443,0.17028130184599996,0.1874344191025934
1759,0.014125273524358654,0.0048775624109083995,0.0008321090665051247,7.162208634999629e-09,0.002090479704749514,0.00044570865053581506,0.0,-0.00016043803529499807,-0.00267900411288402,0.00016188427825827972,-0.00206166499751068,0.1842164991664947,0.06751233230538964,0.005709678639622159,-0.002839442148179018,-0.0014540720687165852,0.017631917651834726,0.25172883147188435,0.2693607491237191
1760,0.015692678815124927,0.005417767779027962,0.0009245085718475418,7.958009594438344e-09,0.0024217275861050437,0.000495072284530184,0.0,-0.0014011841583781548,-0.006882048199153129,0.0001791611509937407,-0.002290738886122979,0.1946920959819668,0.09239526687570214,0.006342284308885098,-0.008283232357531284,-0.0016165054505990542,0.014556952901984737,0.28708736285766895,0.30164431575965367
1761,0.017259671074058985,0.005957626129117445,0.0010168966898012736,8.753810553877059e-09,0.0029840248991406006,0.0005444042082305844,0.0,-5.0953745276339244e-05,-0.005214870341164519,0.00020152721638016483,-0.0025198127747352757,0.19821458874580505,0.08624863601632714,0.006974531572729272,-0.0052658240864408585,-0.0017738813501245263,0.020178522109363474,0.2844632247621322,0.3046417468714957
1762,0.018826250539779207,0.006497138051767886,0.0011092734269090394,9.549611513315775e-09,0.0022509882205026597,0.0005937044756048624,0.0,-0.0006703174534328984,-0.001593674258712542,0.00021589765261490057,-0.0027488866633475747,-0.8062714455214892,0.06415820632882714,0.007606421028288439,-0.0022639917121454406,-0.0019392845351278117,0.024480383541297054,-0.742113239192662,-0.717632855651365
1763,0.02039241745070179,0.00703630413589273,0.0012016387897010104,1.0345412472780087e-08,0.002684675233018029,0.0006429731404675654,0.0,-0.00045277482044848733,-0.0018506733593957104,0.0002302502802525884,-0.0029779605519598715,-0.4952505953099832,0.03081975418038964,0.008237953271006213,-0.0023034481798441977,-0.0021047371312397176,0.026906860643642116,-0.4644308411295936,-0.4375239804859515
