year,co2,ch4,n2o,other_wmghg,o3_tropospheric,o3_stratospheric,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,nonco2_wmghg,ozone,aerosol,ch2_other_anthro,total_anthropogenic,total
1750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25868401408619995,0.11051906559519085,0.0,0.0,0.0,0.0,0.0,0.3441929738228113
1751,0.001759923150994989,0.0006510699531566681,0.00010559352622520273,9.463889147557812e-10,0.0004512134223976121,0.0,9.871178226278786e-05,0.0,0.0021063627003815436,0.017592936221642423,3.910145854606865e-05,-0.00011325854698072058,0.25869938966931877,0.08294494100364007,0.0007443251032026053,0.0004512134223976121,0.01827729614331148,-3.332467232311399e-05,0.020636913008224365,0.329618840856881
1752,0.0035193812235068843,0.001301717634750898,0.0002111739855994999,1.8927778295115625e-09,0.0009024268447952242,0.0,0.00019735954194501418,0.0,0.0035013994562656313,0.027756270955732593,7.82314598557784e-05,-0.00022651709396144117,0.2587045633287247,0.037866280913376654,0.0014882158791869066,0.0009024268447952242,0.029062121463945163,-6.666325333835498e-05,0.03379271139713581,0.3018338472626498
1753,0.005278374486923144,0.0019519437709080978,0.0003167413857237458,2.8391667442977854e-09,0.0013536402671928366,0.0,0.0002959433891379723,0.0,0.002120427048020423,0.018000496543127742,0.00011725240163483137,-0.00033977564094216117,0.2587062927158829,-0.005317504240155926,0.002231673061816179,0.0013536402671928366,0.018642828563120776,-0.00010010543595858701,0.025681040633395387,0.261646133875247
1754,0.007036903210405087,0.0026017490856693106,0.0004222957341854909,3.785555659053567e-09,0.0018048536895904485,0.0,0.00039446343361693506,0.0,-0.00022856107082953596,-0.0002388020432575736,0.00015630188617751466,-0.00045303418792288233,0.25870687421345223,-0.022464829956323394,0.0029746973828545607,0.0018048536895904485,-0.0008497748467380194,-0.00013356916922021273,0.008988198599729614,0.22402385748391834
1755,0.008794967662874555,0.003251134301000616,0.0005278370385560759,4.731944573809349e-09,0.002256067111988061,0.0,0.0004929197848425804,0.0,0.001024753775734102,0.005314208348644484,0.00019531111233667036,-0.0005662927349036023,0.22500077033843416,-0.03465892016288321,0.0037172895719739295,0.002256067111988061,0.005941282195029285,-0.00016708641651186644,0.017854892213755445,0.18074887371556833
1756,0.01055256811302234,0.0039001001368011946,0.0006333653063916685,5.67833348856513e-09,0.002707280534385673,0.0,0.0005913125519622142,0.0,0.0018454122432391474,0.017246267101841146,0.00024632028085582375,-0.0006795512818843235,-0.05292715268302027,-0.03838432742052162,0.004459450356762886,0.002707280534385673,0.017624556561597393,-0.000193413235317815,0.03178627752884228,-0.0849690205673604
1757,0.012309704829300312,0.004548647310911079,0.0007388805452357808,6.624722403320911e-09,0.0031584939567832855,0.0,0.0006896418438109446,0.0,0.002514322849234585,-0.000630598976283147,0.0002852489902481038,-0.0007928098288650436,0.0916726583940601,-0.028762172954118034,0.005201180462736718,0.0031584939567832855,0.0006776685904914963,-0.00022717644575660325,0.017659218192551254,0.06202819703398489
1758,0.014066378079935256,0.00519677653912025,0.000844382762614389,7.571111318107134e-09,0.003609707379180897,0.0,0.0007879077689130624,0.0,0.001275974778565044,-0.0003144316471708579,0.00032413744125682037,-0.0009060683758457647,0.20030428597526911,-0.0024403850631462805,0.005942479934439815,0.003609707379180897,0.0004708163088296381,-0.0002608305338423251,0.020480753227580147,0.21102021177196592
1759,0.01582258813291693,0.005844488535175941,0.0009498719660409163,8.517500232862916e-09,0.004060920801578509,0.0,0.0008861104354831472,0.0,0.0008284629477158383,-0.0003451655189696987,0.0003629856338820775,-0.0010193269228264846,0.23898467770625895,0.06579139161830025,0.006683349514304846,0.004060920801578509,-0.00011432113116610195,-0.00029472768456944133,0.02228074270306693,0.3061372893805486
