Model,Run,ERF,ERF_SW,ERF_LW,ERFariSW_sca,ERFariSW_abs,ERFaciSW_sca,ERFaciSW_abs,ERFaciSW_clt,ERFariLW,ERFaciLW,ERFariaciLW,ERFariSW,ERFaciSW,ERFariaciSW,ERFari,ERFaci,ERFariaci,od550aer,ghanERFariSW,ghanERFaciSW,ghanERFariLW,ghanERFaciLW,ghanERFari,ghanERFaci
ACCESS-CM2,r1i1p1f1,-1.0931099914462747,-1.3952349615435546,0.3021249702348535,-0.785361380257023,0.30098583758843056,-0.7983239073045671,-0.008777075412747082,-0.12459393707051276,0.26031924984460786,0.041805720423413496,0.3021249702680214,-0.4843755426685924,-0.931694919787827,-1.4160704624564193,-0.22405629282398454,-0.8898891993644136,-1.1139454921883982,,,,,,,
ACCESS-ESM1-5,r1i1p1f1,-1.1437406811812743,-1.2897107783556185,0.14597009770189823,-0.4281365219564778,0.19643985881729703,-1.0143939544555964,0.03888217279522896,-0.13153232746297572,0.16832633748293485,-0.02235624003829895,0.1459700974446359,-0.23169666313918075,-1.1070441091233432,-1.338740772262524,-0.0633703256562459,-1.1294003491616422,-1.1927706748178881,,,,,,,
BCC-ESM1,r1i1p1f1,-1.473334367733318,-1.694332010291253,0.22099764314903464,-1.1241196435363348,0.21546272272707012,-0.5750910725633221,-0.06588085675290381,-0.08457135398352274,0.15624154376825036,0.06475609933692962,0.22099764310518,-0.9086569208092646,-0.7255432832997487,-1.6342002041090133,-0.7524153770410142,-0.6607871839628191,-1.4132025610038332,,,,,,,
CanESM5,r1i1p2f1,-0.8512934518345339,-0.8322691599326124,-0.019024291332298687,-0.5991523864908352,0.5188316381066385,-0.8833473409799769,0.05738630017070559,-0.13603052659519563,0.05934940071594672,-0.0783736919607909,-0.01902429124484418,-0.08032074838419678,-0.961991567404467,-1.0423123157886638,-0.02097134766825006,-1.040365259365258,-1.061336607033508,,0.3264263588660252,-1.2246735601052428,0.03555068563010409,-0.04857640338370819,0.36197704444948725,-1.273249963312983
CESM2,r1i1p1f1,-1.371577649225043,-1.5273079829774114,0.15573033376467724,-0.2572113830162933,0.3510712875964826,-1.7015529912973617,0.030856421124588453,-0.006555685440523287,0.05246426157956264,0.10326607204820364,0.15573033362776628,0.09385990458018928,-1.6772522556132965,-1.5833923510331072,0.1463241661597519,-1.5739861835650928,-1.427662017405341,0.012937180559517302,,,,,,
CNRM-CM6-1,r1i1p1f2,-1.154830040092244,-1.2477114525327144,0.09288141219145843,-0.6110404205183453,0.20298890952099616,-0.7686772576942353,-0.052504316578918,0.05458540220982326,0.14551079320693086,-0.052629381000627924,0.09288141220630294,-0.40805151099734915,-0.7665961720633301,-1.1746476830606793,-0.2625407177904183,-0.8192255530639581,-1.0817662708543763,0.021006999593153147,-0.4244473048820556,-0.7390040488203948,0.0027959385606358468,-0.05130178044127741,-0.42165136628209393,-0.7903058301558528
CNRM-ESM2-1,r1i1p1f2,-0.7405640273631431,-0.8214504843570698,0.08088645665957822,-0.42080599677447733,0.17907563284974445,-0.517682822058366,-0.042614005157460035,-0.027339808965937015,0.09993221656574233,-0.019045759878032413,0.08088645668770991,-0.24173036392473288,-0.5876366361817631,-0.829367000106496,-0.14179814735899055,-0.6066823960597955,-0.748480543418786,0.016143436904827405,-0.21764564872117872,-0.5905749368278546,0.004484598899982196,-0.016657455102395156,-0.21316104981459447,-0.607232391378295
EC-Earth3,r1i1p1f1,-0.7988899995207206,-0.8419349345908769,0.04304493515628743,-0.7496445326460477,0.31763990883226334,-0.3441109507487291,-0.037547045269856645,-0.07919711431701662,0.06154236803314044,-0.018497432931913922,0.04304493510122652,-0.43200462381378435,-0.46085511033560234,-0.8928597341493867,-0.3704622557806439,-0.47935254326751625,-0.8498147990481602,,,,,,,
GFDL-CM4,r1i1p1f1,-0.7317061681967655,-0.7986405233755798,0.06693435547226363,-0.647860271752874,0.4094767773095039,-0.5393513336433896,0.00018588161631501602,-0.08571247711518165,0.1259532511348565,-0.059018895617441544,0.06693435551741496,-0.2383834944433701,-0.6248779291422561,-0.8632614235856262,-0.11243024330851359,-0.6838968247596977,-0.7963270680682113,0.03979907175354966,0.05772148139663977,-0.7633681139619491,0.01728415610030732,-0.04422721200445114,0.0750056375223511,-0.8075953260158063
GFDL-ESM4,r1i1p1f1,-0.6979206213087578,-0.5884900785915831,-0.10943054275360392,-0.6477656957105451,0.5320490119826051,-0.587167045681462,0.00870494596869283,-0.05559424173463428,0.06050179785549147,-0.16993234065590135,-0.10943054280040987,-0.11571668372793997,-0.6340563414474034,-0.7497730251753434,-0.0552148858724485,-0.8039886821033048,-0.8592035679757533,0.0409514702770768,0.23514864094103147,-0.7700938929235368,0.02095924402815956,-0.1535077470880585,0.256107884947959,-0.9236016398925034
