Model,Run,ERF,IRF,ERF_SW,ERF_LW,RA,ts,tatr,tast,hus,hus_lw,hus_sw,alb,cl,clisccp_sw,clisccp_lw,clw
ACCESS-CM2,r1i1p1f1,-1.0931099914462747,,-1.3952349615435546,0.3021249702348535,,0.07005011119834667,0.10854304790215927,0.013124911894960256,-0.0027368102212389045,0.0014200209418024274,-0.004156831163041331,-0.026217405315908545,,,,
CanESM5,r1i1p2f1,-0.8512934518345339,-0.5097248100638361,-0.8322691599326124,-0.019024291332298687,-0.34156864177069785,0.0196441852824682,-0.1640537693780032,-0.09796916958154264,0.17649833226775635,0.15258747902490838,0.023910853242847963,0.007861186818442662,-0.2835494071798192,-1.0899260953058998,-0.102486461211862,-0.05708880399829708
CESM2,r1i1p1f1,-1.371577649225043,-1.4293625966616361,-1.5273079829774114,0.15573033376467724,0.05778494743659292,-0.017551879346574473,-0.00012134151234126695,-0.06649889160853913,0.09987032712538972,0.08931493371437288,0.010555393411016835,-0.010233240594239832,0.0523199733728979,-1.526774899437858,0.00016852696475485018,-0.09962241007385284
CNRM-CM6-1,r1i1p1f2,-1.154830040092244,-1.1945578754958126,-1.2477114525327144,0.09288141219145843,0.03972783540356861,0.07207959385045995,0.14586080821618677,-0.0036757425802056484,-0.0847083464960846,-0.07156601488346775,-0.013142331612616813,-0.06477854424656618,-0.02504993334022168,-0.3598386254806607,-0.12237906337971159,0.0061742610241378604
CNRM-ESM2-1,r1i1p1f2,-0.7405640273631431,-0.7513393839876061,-0.8214504843570698,0.08088645665957822,0.010775356624463064,0.05879276483043346,0.0979584834940722,-0.005980440334801313,-0.06414070671330231,-0.05337964000116601,-0.010761066712136301,-0.019405418621481072,-0.05644932603045791,-0.34373215608963276,-0.07448516190496596,0.002799940521817532
EC-Earth3,r1i1p1f1,-0.8035758305713915,-0.6608380438985852,-0.8382533697365859,0.03467753921626879,-0.1427377866728062,0.06459202049775782,-0.01754980846234526,0.005159145053743231,-0.018876826895536502,-0.010425760384214913,-0.008451066511321591,-0.0393827834279019,-0.1366795334385236,,,-0.038984986189593056
GFDL-CM4,r1i1p1f1,-0.7317061681967655,-0.5636056831456688,-0.7986405233755798,0.06693435547226363,-0.1681004850510967,0.049273230202494814,-0.03296537011419563,-0.015338916628794521,0.07099135894619972,0.06653420142797778,0.0044571575182219434,-0.07492422861075841,-0.16513655884604267,-0.7259370945280211,-0.029869809721107792,-0.039628260514900704
GFDL-ESM4,r1i1p1f1,-0.6979206213087578,-0.3713128732087341,-0.5884900785915831,-0.10943054275360392,-0.3266077481000237,0.03921213919844836,-0.15041122891052708,-0.007745167805566706,0.09519140592432768,0.08931310438810547,0.005878301536222188,-0.04740344008104505,-0.2554514564256609,,,-0.06285930927905448
GISS-E2-1-G,r1i1p1f1,-1.3186315678724043,-0.4592240019129952,-1.6097532143691644,0.291121646213161,-0.8594075659594091,0.05524945915394462,0.22301247868727353,-0.032482911509512026,-0.08610601860442339,-0.06904241114803962,-0.01706360745638378,-0.08800266870777003,-0.9310779049789218,,,-0.06963480483697265
GISS-E2-1-G,r1i1p3f1,-0.9274393807010018,-1.0014716976797882,-1.058489836599905,0.1310504561278671,0.07403231697878637,0.05346313585824345,0.13035379386726006,-0.029508184553456503,-0.0633186228782475,-0.052745850037111415,-0.01057277284113607,-0.004921760712265871,-0.012036044602747271,,,-0.0040122114696801835
HadGEM3-GC31-LL,r1i1p1f3,-1.1028390962378898,-1.0420741340792088,-1.294915552052653,0.19207645587082395,-0.060764962158681074,0.05401049125047063,0.10028515833067378,0.013531658208838927,-0.04948267883858536,-0.04055084585486997,-0.008931832983715407,-0.03758866350310742,-0.14152092760697163,-0.8253712820700577,-0.072110271423428,-0.019711642465750114
IPSL-CM6A-LR,r1i1p1f1,-0.5934905039358019,-0.6085227283030012,-0.6002761524601133,0.006785648579167123,0.015032224367199285,0.053202165969905665,0.06743543126016704,-0.10448522926830485,0.009952909150228078,0.014519115531832834,-0.004566206381604755,-0.0034306910509773153,-0.007642361693819336,-0.2192924559263467,-0.13139804989262413,0.0029820226403113204
IPSL-CM6A-LR,r2i1p1f1,-0.7062585334377612,-0.6032763545127086,-0.6846519824813446,-0.021606550704469388,-0.1029821789250527,0.06265003741686474,0.024907765998101086,-0.12315077269659264,0.01752404717024909,0.023152858680644057,-0.005628811510394961,-0.010653863961652462,-0.07425939285202252,-0.31342242795231584,-0.12179301476494728,-0.0014501999296362854
IPSL-CM6A-LR,r3i1p1f1,-0.5923231647937933,-0.5776498649197092,-0.5685774191821729,-0.023745745699135477,-0.014673299874084188,0.04132697049911107,0.06031024051072965,-0.11502923828630368,-0.00439285675742357,-0.0019059079817697812,-0.0024869487756537917,-0.0007160650673654973,0.0038276492271678425,-0.1991411443949268,-0.12451631718968323,0.003776324267513574
