Model,Run,ERF,IRF,ERF_SW,ERF_LW,RA,ts,tatr,tast,hus,hus_lw,hus_sw,alb,cl,clisccp_sw,clisccp_lw,clw
ACCESS-CM2,r1i1p1f1,7.947338514527991,4.6506289799753215,2.029185874935908,5.918152638610699,3.2967095345526696,-0.4092519830601438,-1.017687428188276,2.8205377520659876,0.3179539276676541,0.2297218615198159,0.08823206614783821,0.09204106416592112,1.4931162019015267,,,0.0
CanESM5,r1i1p2f1,7.607362652672368,4.8304845514202395,1.9123115905248746,5.695051062098308,2.776878101252129,-0.42653758881044956,-1.3267426241546045,2.867221681717673,0.42695375910498085,0.32416543267525383,0.10278832642972702,0.21347992283259326,1.0225029505619359,1.4183756262649792,-0.39587267570304363,0.0
CESM2,r1i1p1f1,8.912767832985665,4.63993316104612,2.2612874835607273,6.6514803493925925,4.272834671939545,-0.5111734486166192,-1.258730693874111,2.832010911979421,0.5052577998466145,0.4066789456271955,0.09857885421941893,0.3915355007593584,2.313934601844882,2.06351400034234,0.2760337447774272,0.0
CNRM-CM6-1,r1i1p1f2,7.99911379840334,6.00509322570748,2.1553356730218325,5.843778125510104,1.9940205726958609,-0.43431134568902946,-1.2589208415493045,2.387734001398598,0.6272190062464276,0.5218937256112665,0.10532528063516106,0.20652750734093192,0.4657722449482372,0.5071366028844175,-0.24706884565775725,0.0
CNRM-ESM2-1,r1i1p1f2,7.9263129381103,6.034396345310003,1.9484155524471614,5.977897386182273,1.8919165928002968,-0.35779510686714566,-1.251989549148995,2.3579970389207103,0.6659504804247999,0.5558469890400641,0.11010349138473587,0.2094203983985537,0.2683333310723737,0.23799491922780822,-0.15544578443384854,0.0
EC-Earth3,r1i1p1f1,8.08787798237281,,1.4773727229077893,6.610505259157305,,-0.4054137073611665,-1.1744520184275107,3.0996067088431287,0.47603081778730855,0.3815804591704543,0.09445035861685437,0.21411107050083505,,,,0.0
GFDL-CM4,r1i1p1f1,8.236141393946994,5.626499805910337,2.296735860753795,5.939405533773764,2.609641588036658,-0.3826741581858734,-1.219799244750711,2.0409016252417724,0.5743512990198216,0.4594249677163921,0.11492633130342954,0.4102937117382095,1.186568354973439,1.519529015973715,-0.4897612103893904,0.0
GFDL-ESM4,r1i1p1f1,7.743826983327879,4.4050846351595006,2.288311920425544,5.455515062632013,3.3387423481683784,-0.342468576505862,-1.1336714034387654,2.4696560047662266,0.560107481777292,0.4545091196018233,0.10559836217546882,0.47033330279821295,1.3147855387712744,,,0.0
GISS-E2-1-G,r1i1p1f1,7.349846380808316,5.051679473961437,0.3268776419783265,7.0229687385296256,2.298166906846878,-0.40092855008313383,-0.9998719781539749,2.888578875767444,0.3252746551454144,0.25131088552955555,0.07396376961585889,0.22786264952141175,0.2572512546497166,,,0.0
GISS-E2-1-G,r1i1p3f1,,,,,,,,,,,,,,,,0.0
