Model,Run,ERF,IRF,ERF_SW,ERF_LW,RA,ts,tatr,tast,hus,hus_lw,hus_sw,alb,cl,clisccp_sw,clisccp_lw,clw
HadGEM3-GC31-LL,r1i1p1f3,8.089091209294017,4.7662902393311,2.453767768353156,5.635323440361207,3.3228009699629166,-0.4677447833329009,-1.0095471811936523,2.82554537096714,0.2287566306469156,0.1564562815915042,0.0723003490554114,0.13902199916885005,1.6067689337065643,2.1469321567476323,-0.5828461288724964,0.0
IPSL-CM6A-LR,r1i1p1f1,8.041436671648231,5.312440643922893,2.69867560705634,5.342761065699227,2.728996027725338,-0.4947875975241677,-1.3682662662257652,2.7600137166605387,0.6206614747302542,0.5128897557710187,0.10777171895923561,0.1854384627248397,1.025936237359638,1.804214113970744,-0.755481585002289,0.0
IPSL-CM6A-LR,r2i1p1f1,7.943249682068367,5.299625718863487,2.666204358593617,5.277045323287749,2.6436239632048797,-0.4902038922438474,-1.3924588094190702,2.742835657380562,0.6127750204032211,0.5082698318886283,0.10450518851459274,0.17345214618644877,0.9972238408975653,1.7982605593496814,-0.7854126852039267,0.0
IPSL-CM6A-LR,r3i1p1f1,8.043620132511764,5.2873448076059795,2.749125803914181,5.29449432839572,2.756275324905784,-0.49176806264731204,-1.3648780135710508,2.7667617427346647,0.5935931478731812,0.4891530116274444,0.1044401362457367,0.17690189799129566,1.0756646125250053,1.9017611609003544,-0.8109147081998328,0.0
IPSL-CM6A-LR,r4i1p1f1,7.976533193124078,5.300433261070213,2.689226587433697,5.28730660683635,2.676099932053865,-0.50192358560857,-1.4100134001081734,2.754818638047088,0.6348589315213545,0.5303681830178727,0.10449074850348192,0.1869150129200262,1.0114443352821398,1.809689935237916,-0.7802118905784082,0.0
MIROC6,r1i1p1f1,7.323934862461696,4.824637921764038,1.5661608548339088,5.757774007907368,2.4992969406976586,-0.43308525242078494,-1.1458910766808172,2.8021683488407696,0.3181446010471709,0.24002949155701953,0.0781151094901514,0.21828559536482756,0.7396747245464929,,,0.0
MIROC6,r11i1p1f1,,,,,,,,,,,,,,,,0.0
MPI-ESM1-2-LR,r1i1p1f1,8.345835043496498,4.938528430965837,1.5629956602401294,6.782839382836256,3.4073066125306615,-0.4723513609207825,-1.354873480920642,2.924077004174217,0.6060562289684966,0.4833223441493008,0.12273388481919581,0.20417791400262428,1.5002203072267482,,,0.0
MRI-ESM2-0,r1i1p1f1,7.650561396449386,5.311487830296787,1.9583575757407843,5.692203820630106,2.3390735661525985,-0.33874058112332583,-1.2500829966077804,2.580844436197342,0.5714515605762428,0.4590245983000203,0.11242696227622265,0.15488884304507988,0.6207123040650397,0.5805911472043972,-0.06033829969743192,0.0
NorESM2-LM,r1i1p1f1,8.151879002144954,4.703715448990366,1.185124850331367,6.9667541502361425,3.448163553154588,-0.4703770495743001,-1.2300163782381164,2.8150608871051697,0.536661662750056,0.44426379001441296,0.09239787273564311,0.2621273094770054,1.5347071216347732,,,0.0
NorESM2-MM,r1i1p1f1,8.378076082141586,4.760167014658144,1.3410253305999134,7.037050751767434,3.617909067483442,-0.4903228899632317,-1.3216539724120506,2.8443984899515944,0.602998375407528,0.5042696102074662,0.09872876520006182,0.32451913831521995,1.657969926184382,,,0.0
UKESM1-0-LL,r1i1p1f4,7.940786425492852,4.816586577168926,2.6304745779289695,5.310311847187448,3.1241998483239257,-0.4805349086920917,-1.008945336922056,2.514701340193505,0.21968263121841747,0.1505335928693039,0.06914903834911358,0.15119767010413204,1.7280984524220189,2.096145006049139,-0.4411556838151157,0.0
