Model,ERF,ERF_LW,ERF_SW,ERFaci,ERFaciLW,ERFaciSW,ERFaciSW_abs,ERFaciSW_clt,ERFaciSW_sca,ERFari,ERFariLW,ERFariSW,ERFariSW_abs,ERFariSW_sca,ERFariaci,ERFariaciLW,ERFariaciSW,Run,ghanERFaci,ghanERFaciLW,ghanERFaciSW,ghanERFari,ghanERFariLW,ghanERFariSW,od550aer
HadGEM3-GC31-LL,-1.1028390962378898,0.19207645587082395,-1.294915552052653,-0.8331501652166424,-0.0033924408811151657,-0.8297577243355273,-0.01071162174069118,-0.06692010949364477,-0.7521259931011913,-0.2765458294089149,0.19546889672662493,-0.47201472613553985,0.2994287054858311,-0.771443431621371,-1.1096959946255573,0.19207645584550975,-1.3017724504710673,r1i1p1f3,,,,,,,0.03729393180367058
IPSL-CM6A-LR,-0.5934905039358019,0.006785648579167123,-0.6002761524601133,-0.2506567923719455,-0.06751931108536627,-0.18313748128657925,-0.006908901453154672,0.0850346880307299,-0.2612632678641545,-0.3598814971163712,0.0743049598563035,-0.43418645697267466,0.16516695679099258,-0.5993534137636672,-0.6105382894883167,0.006785648770937236,-0.6173239382592539,r1i1p1f1,,,,,,,0.029559468949973258
IPSL-CM6A-LR,-0.7062585334377612,-0.021606550704469388,-0.6846519824813446,-0.3453840240864919,-0.08308395879887832,-0.26230006528761357,-0.006588227635753909,0.01964820106658205,-0.2753600387184417,-0.37264545218847794,0.06147740809797817,-0.43412286028645614,0.16560472160661316,-0.5997275818930693,-0.7180294762749698,-0.021606550700900153,-0.6964229255740697,r2i1p1f1,,,,,,,0.029582764842173554
IPSL-CM6A-LR,-0.5923231647937933,-0.023745745699135477,-0.5685774191821729,-0.21399745993294444,-0.05352154192069846,-0.16047591801224598,-0.008806948564831796,0.09341648642353452,-0.24508545587094868,-0.4019350291155223,0.029775796408468874,-0.4317108255239912,0.16728174709855903,-0.5989925726225502,-0.6159324890484668,-0.023745745512229587,-0.5921867435362371,r3i1p1f1,,,,,,,0.029558035806550736
IPSL-CM6A-LR,-0.6394198321517301,0.016492925885104124,-0.6559127574512684,-0.3093032524880907,-0.0660948736429528,-0.2432083788451379,-0.008061266599242209,0.03783055508735266,-0.27297766733324835,-0.3508826702897523,0.0825877994405809,-0.4334704697303332,0.16585942372183152,-0.5993298934521647,-0.660185922777843,0.016492925797628094,-0.6766788485754711,r4i1p1f1,,,,,,,0.029587232531616502
MIROC6,-1.0593336515856724,0.5344992509717965,-1.5938329021025315,-0.7434030321920448,0.36085760524440996,-1.1042606374364548,-0.06239873346603299,-0.007605893617659741,-1.034256010352762,-0.21885830298934786,0.17364164553973419,-0.39249994852908204,0.09034440896536998,-0.48284435749445204,-0.9622613351813927,0.5344992507841442,-1.4967605859655368,r1i1p1f1,,,,,,,0.024884040000238115
MIROC6,-1.0140393282470617,0.6003724669676028,-1.6144117947798904,-0.7187590139854527,0.4091227169291784,-1.1278817309146312,-0.06592724411394854,-0.020525544676612707,-1.0414289421240701,-0.19528002528847085,0.19124974987082524,-0.3865297751592961,0.08309544229888252,-0.4696252174581786,-0.9140390392739236,0.6003724668000037,-1.5144115060739272,r11i1p1f1,,,,,,,-0.024884040000238115
MPI-ESM1-2-LR,,,,,,,,,,,,,,,,,,r1i1p1f1,,,,,,,
MRI-ESM2-0,-1.2060284668404722,1.5213979864105884,-2.727426453128938,-0.7035080872160875,1.4744320587383335,-2.177940145954421,-0.09106117358134638,-0.38164322899972497,-1.7052357433733494,-0.4586222721396294,0.04696592750625312,-0.5055881996458825,0.1906737827918925,-0.696261982437775,-1.1621303593557168,1.5213979862445866,-2.6835283456003034,r1i1p1f1,-0.9764793490512979,1.479633457661329,-2.456112806467389,-0.31609901886605435,0.003443676636432651,-0.3195426954992644,0.03439408091673454
NorESM2-LM,-1.2066236779581385,0.20746919405822714,-1.4140928715084358,-1.0297403319473832,0.14257053464822167,-1.172310866595605,-0.0003942425319541231,-0.1044581633836863,-1.0674584606799646,-0.14099161216895317,0.06517678307540259,-0.20616839524435576,0.21206457192170358,-0.41823296716605934,-1.1707319441163364,0.20774731772362426,-1.3784792618399608,r1i1p1f1,-1.205347878502205,0.15978320686819175,-1.3651310853738918,0.030496883161841657,0.03641333542980998,-0.005916452312310452,
NorESM2-MM,-1.2612947718184968,0.19874830245467862,-1.460043074125867,-1.2046515295303624,0.04482212591890218,-1.2494736554492645,0.015298540365351372,-0.16940331107234843,-1.0953688847422673,-0.025496815021535668,0.15392617646352993,-0.1794229914850656,0.22210641227594155,-0.40152940376100715,-1.230148344551898,0.19874830238243213,-1.42889664693433,r1i1p1f1,-1.3694077371318818,0.0602212081775892,-1.429628944992348,0.06258969720191766,0.03408678728028401,0.028502909917716795,0.020998172049255567
UKESM1-0-LL,-1.1054352552819202,0.17267463885747672,-1.2781098940120048,-0.9391755096638026,-0.011328972701123851,-0.9278465369626787,-0.006504739951854115,-0.09986368851254478,-0.8214781084982798,-0.19003635189491347,0.18400361170528623,-0.3740399636001997,0.33570564849374457,-0.7097456120939443,-1.1292118615587161,0.17267463900416238,-1.3018865005628784,r1i1p1f4,-1.0104747787983956,0.00848997206906109,-1.0189647509533886,-0.15049767890599933,0.050010146682721475,-0.20050782557544097,0.03289669259364753
