Model,ERF,ERF_LW,ERF_SW,ERFaci,ERFaciLW,ERFaciSW,ERFaciSW_abs,ERFaciSW_clt,ERFaciSW_sca,ERFari,ERFariLW,ERFariSW,ERFariSW_abs,ERFariSW_sca,ERFariaci,ERFariaciLW,ERFariaciSW,Run,ghanERFaci,ghanERFaciLW,ghanERFaciSW,ghanERFari,ghanERFariLW,ghanERFariSW,od550aer
ACCESS-CM2,-1.0931099914462747,0.3021249702348535,-1.3952349615435546,-0.8898891993644136,0.041805720423413496,-0.931694919787827,-0.008777075412747082,-0.12459393707051276,-0.7983239073045671,-0.22405629282398454,0.26031924984460786,-0.4843755426685924,0.30098583758843056,-0.785361380257023,-1.1139454921883982,0.3021249702680214,-1.4160704624564193,r1i1p1f1,,,,,,,
CanESM5,-0.8512934518345339,-0.019024291332298687,-0.8322691599326124,-1.040365259365258,-0.0783736919607909,-0.961991567404467,0.05738630017070559,-0.13603052659519563,-0.8833473409799769,-0.02097134766825006,0.05934940071594672,-0.08032074838419678,0.5188316381066385,-0.5991523864908352,-1.061336607033508,-0.01902429124484418,-1.0423123157886638,r1i1p2f1,-1.273249963312983,-0.04857640338370819,-1.2246735601052428,0.36197704444948725,0.03555068563010409,0.3264263588660252,
CESM2,-1.371577649225043,0.15573033376467724,-1.5273079829774114,-1.5739861835650928,0.10326607204820364,-1.6772522556132965,0.030856421124588453,-0.006555685440523287,-1.7015529912973617,0.1463241661597519,0.05246426157956264,0.09385990458018928,0.3510712875964826,-0.2572113830162933,-1.427662017405341,0.15573033362776628,-1.5833923510331072,r1i1p1f1,,,,,,,0.012937180559517302
CNRM-CM6-1,-1.154830040092244,0.09288141219145843,-1.2477114525327144,-0.8192255530639581,-0.052629381000627924,-0.7665961720633301,-0.052504316578918,0.05458540220982326,-0.7686772576942353,-0.2625407177904183,0.14551079320693086,-0.40805151099734915,0.20298890952099616,-0.6110404205183453,-1.0817662708543763,0.09288141220630294,-1.1746476830606793,r1i1p1f2,-0.7903058301558528,-0.05130178044127741,-0.7390040488203948,-0.42165136628209393,0.0027959385606358468,-0.4244473048820556,0.021006999593153147
CNRM-ESM2-1,-0.7405640273631431,0.08088645665957822,-0.8214504843570698,-0.6066823960597955,-0.019045759878032413,-0.5876366361817631,-0.042614005157460035,-0.027339808965937015,-0.517682822058366,-0.14179814735899055,0.09993221656574233,-0.24173036392473288,0.17907563284974445,-0.42080599677447733,-0.748480543418786,0.08088645668770991,-0.829367000106496,r1i1p1f2,-0.607232391378295,-0.016657455102395156,-0.5905749368278546,-0.21316104981459447,0.004484598899982196,-0.21764564872117872,0.016143436904827405
EC-Earth3,-0.7988899995207206,0.04304493515628743,-0.8419349345908769,-0.47935254326751625,-0.018497432931913922,-0.46085511033560234,-0.037547045269856645,-0.07919711431701662,-0.3441109507487291,-0.3704622557806439,0.06154236803314044,-0.43200462381378435,0.31763990883226334,-0.7496445326460477,-0.8498147990481602,0.04304493510122652,-0.8928597341493867,r1i1p1f1,,,,,,,
GFDL-CM4,-0.7317061681967655,0.06693435547226363,-0.7986405233755798,-0.6838968247596977,-0.059018895617441544,-0.6248779291422561,0.00018588161631501602,-0.08571247711518165,-0.5393513336433896,-0.11243024330851359,0.1259532511348565,-0.2383834944433701,0.4094767773095039,-0.647860271752874,-0.7963270680682113,0.06693435551741496,-0.8632614235856262,r1i1p1f1,-0.8075953260158063,-0.04422721200445114,-0.7633681139619491,0.0750056375223511,0.01728415610030732,0.05772148139663977,0.03979907175354966
GFDL-ESM4,-0.6979206213087578,-0.10943054275360392,-0.5884900785915831,-0.8039886821033048,-0.16993234065590135,-0.6340563414474034,0.00870494596869283,-0.05559424173463428,-0.587167045681462,-0.0552148858724485,0.06050179785549147,-0.11571668372793997,0.5320490119826051,-0.6477656957105451,-0.8592035679757533,-0.10943054280040987,-0.7497730251753434,r1i1p1f1,-0.9236016398925034,-0.1535077470880585,-0.7700938929235368,0.256107884947959,0.02095924402815956,0.23514864094103147,0.0409514702770768
GISS-E2-1-G,-1.3186315678724043,0.291121646213161,-1.6097532143691644,-0.7705348953917581,0.09623444792749655,-0.8667693433192547,0.013001799960992082,-0.9359662337756165,0.05619509049536977,-0.5227910237286915,0.19488719829630333,-0.7176782220249948,0.1914754346447025,-0.9091536566696973,-1.2933259191204496,0.2911216462237999,-1.5844475653442496,r1i1p1f1,,,,,,,
GISS-E2-1-G,-0.9274393807010018,0.1310504561278671,-1.058489836599905,-0.3679125810285435,-0.05233008182111996,-0.31558249920742354,-0.0072879404546853455,-0.0617744867678662,-0.246520071984872,-0.6070606270702787,0.18338053808139645,-0.7904411651516752,0.17503668450353585,-0.965477849655211,-0.9749732080988223,0.1310504562602765,-1.1060236643590988,r1i1p3f1,,,,,,,0.046235646074631445
