Name,CASRN,Acronym,Formula,Molar mass,Lifetime (yr),RE (W m-2 ppb-1),AGWP 20-yr,GWP 20-yr,AGWP 100-yr,GWP 100-yr,AGWP 500-yr,GWP 500-yr,AGTP 20-yr,GTP 20-yr,AGTP 50-yr,GTP 50-yr,AGTP 100-yr,GTP 100-yr,Column1
(E)-1:2-Dichlorohexafluorocyclobutane,3832-15-3,E-R316c,trans cyc (-CClFCF2CF2CClF-),0.23294,75,0.26963,1.14637E-10,5006,3.60654E-10,4472,4.89128E-10,1816,2.88261E-12,5325,2.15579E-12,4729,1.36323E-12,3288,
(Z)-1:2-Dichlorohexafluorocyclobutane,3934-26-7,Z-R316c,cis cyc (-CClFCF2CF2CClF-),0.23294,114,0.29969,1.33142E-10,5814,4.83259E-10,5993,8.17124E-10,3033,3.43967E-12,6354,2.91034E-12,6384,2.1943E-12,5293,
1:2-dichloro-1:2-difluoroethene,598-88-9,CFC 1112,CClF=CClF,0.13292,0.0194,0.01296,1.06507E-14,0,1.06507E-14,0,1.06507E-14,0,2.47496E-17,0,1.27977E-17,0,1.04638E-17,0,
1:1-dichloro-2:2-difluoroethene,79-35-6,CFC 1112a,CCl2=CF2,0.13292,0.0063,0.00665,1.77832E-15,0,1.77832E-15,0,1.77832E-15,0,4.12675E-18,0,2.13668E-18,0,1.74703E-18,0,
1:1:2-trichloro-2-fluoroethene,359-29-5,,CCl2=CClF,,,0.12958,,,,,,,,,,,,,
Chlorotrifluoroethylene,79-38-9,,CF2=CClF,,,0.11429,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Hydrochlorofluorocarbons,,,,,,,,,,,,,,,,,,,
Dichlorofluoromethane,75-43-4,HCFC-21,CHCl2F,0.10292,1.7,0.14509,1.35198E-11,590,1.35199E-11,168,1.35199E-11,50,4.06927E-14,75,1.63616E-14,36,1.33729E-14,32,
Chlorodifluoromethane,75-45-6,HCFC-22,CHClF2,0.08647,11.9,0.21385,1.35108E-10,5900,1.65994E-10,2058,1.66031E-10,616,2.16389E-12,3998,3.71039E-13,814,1.73713E-13,419,
Chlorofluoromethane,593-70-4,HCFC-31,CH2ClF,0.06848,1.2,0.068,6.72229E-12,294,6.72229E-12,83,6.72229E-12,25,1.83163E-14,34,8.1176E-15,18,6.63581E-15,16,
1:1:2:2-Tetrachloro-1-fluoroethane,354-14-3,HCFC-121,CHCl2CCl2F,0.18583,1.11,0.14641,4.93373E-12,215,4.93373E-12,61,4.93373E-12,18,1.32381E-14,24,5.9555E-15,13,4.86849E-15,12,
