Name,CASRN,Acronym,Formula,Molar mass,Lifetime (yr),RE (W m-2 ppb-1),AGWP 20-yr,GWP 20-yr,AGWP 100-yr,GWP 100-yr,AGWP 500-yr,GWP 500-yr,AGTP 20-yr,GTP 20-yr,AGTP 50-yr,GTP 50-yr,AGTP 100-yr,GTP 100-yr,Column1
1-Chloro-2-methylbenzene,95-49-8,,o-Cl-C6H4-CH3,,,0.03597,,,,,,,,,,,,,
1:2-Dichloropropene,563-54-2,,CHCl=CClCH3,,,0.02539,,,,,,,,,,,,,
1-Chloropentane,543-59-9,,CH3(CH2)3CH2Cl,,,0.01572,,,,,,,,,,,,,
1-Chlorobutane,109-69-3,,CH3(CH2)2CH2Cl,0.09258,0.0124,0.00076,5.76258E-16,0,5.76258E-16,0,5.76258E-16,0,1.33811E-18,0,6.924E-19,0,5.66131E-19,0,
1-Chloro-2-methylpropane,513-36-0,,(CH3)2CHCH2Cl,,,0.02037,,,,,,,,,,,,,
Chloroethene,75-01-4,,CH2=CHCl,,,0.04143,,,,,,,,,,,,,
1:2-Dichloroethene (E),156-60-5,,(E)-CHCl=CHCl,,,0.0912,,,,,,,,,,,,,
Hexachloro-1:3-butadiene,87-68-3,,CCl2=CClCCl=CCl2,,,0.14446,,,,,,,,,,,,,
1:3-Dichloropropene (E),10061-02-6,,(E)-CHCl=CHCH2Cl,,,0.05624,,,,,,,,,,,,,
1:3-Dichloropropene (Z),10061-01-5,,(Z)-CHCl=CHCH2Cl,,,0.06071,,,,,,,,,,,,,
1:3-Dichloropropane,142-28-9,,CH2ClCH2CH2Cl,,,0.02883,,,,,,,,,,,,,
Chlorobenzene,108-90-7,,C6H5-Cl,,,0.03895,,,,,,,,,,,,,
1:4-Dichlorobenzene,106-46-7,,p-Cl-C6H4-Cl,,,0.07502,,,,,,,,,,,,,
1:3-Dichlorobenzene,541-73-1,,m-Cl-C6H4-Cl,,,0.08049,,,,,,,,,,,,,
1:2-Dichlorobenzene,95-50-1,,o-Cl-C6H4-Cl,,,0.046,,,,,,,,,,,,,
1:2-Dichloroethylene (Z),156-59-2,,(Z)-CHCl=CHCl,,,0.04325,,,,,,,,,,,,,
Hexachloro-1:3-cyclopentadiene,77-47-4,,C5Cl6,,,0.10958,,,,,,,,,,,,,
3-Chloro-1-propyne,624-65-7,,CH2ClC≡CH,,,0.0235,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Bromocarbons: Hydrobromocarbons and Halons,,,,,,,,,,,,,,,,,,,
Bromomethane,74-83-9,Methyl bromide,CH3Br,0.09494,0.8,0.00432,2.05481E-13,9,2.05481E-13,3,2.05481E-13,1,5.25464E-16,1,2.47709E-16,1,2.0251E-16,0,
Dibromomethane,74-95-3,Methylene bromide,CH2Br2,0.17383,0.411,0.0096,1.27991E-13,6,1.27991E-13,2,1.27991E-13,0,3.10859E-16,1,1.54043E-16,0,1.25944E-16,0,
Bromodifluoromethane,1511-62-2,Halon-1201,CHBrF2,0.13092,4.9,0.15213,3.15798E-11,1379,3.2122E-11,398,3.2122E-11,119,2.36896E-13,438,4.00128E-14,88,3.21894E-14,78,
Dibromodifluoromethane,75-61-6,Halon-1202,CBr2F2,0.20981,2.5,0.27171,1.82586E-11,797,1.82647E-11,226,1.82647E-11,68,6.81343E-14,126,2.21855E-14,49,1.81249E-14,44,
Bromochlorodifluoromethane,353-59-3,Halon-1211,CBrClF2,0.16536,16,0.30014,1.16895E-10,5105,1.63518E-10,2028,1.63834E-10,608,2.15823E-12,3987,5.13167E-13,1126,1.8531E-13,447,
Bromotrifluoromethane,75-63-8,Halon-1301,CBrF3,0.14891,72,0.29943,1.98092E-10,8650,6.13096E-10,7603,8.15968E-10,3029,4.96465E-12,9172,3.65792E-12,8024,2.26637E-12,5466,
2-Bromo-1:1:1-trifluoroethane,421-06-7,Halon-2301,CH2BrCF3,0.16294,3.2,0.13542,1.49747E-11,654,1.50037E-11,186,1.50037E-11,56,6.97485E-14,129,1.8294E-14,40,1.49312E-14,36,
2-Bromo-2-chloro-1:1:1-trifluoroethane,151-67-7,Halon-2311 (Halothane),CHBrClCF3,0.19738,1,0.13327,3.80904E-12,166,3.80904E-12,47,3.80904E-12,14,1.00393E-14,19,4.59572E-15,10,3.757E-15,9,
2-Bromo-1:1:1:2-tetrafluoroethane,124-72-1,Halon-2401,CHBrFCF3,0.18093,2.9,0.18856,1.70333E-11,744,1.70505E-11,211,1.70505E-11,63,7.20647E-14,133,2.07534E-14,46,1.69475E-14,41,
1:2-Dibromo-1:1:2:2-tetrafluoroethane,124-73-2,Halon-2402,CBrF2CBrF2,0.25982,28,0.31169,9.67309E-11,4224,1.8417E-10,2284,1.89498E-10,703,2.12084E-12,3918,8.94473E-13,1962,3.1674E-13,764,
Tribromomethane,75-25-2,,CHBr3,0.25272,0.1562,0.00607,2.11542E-14,1,2.11542E-14,0,2.11542E-14,0,4.98838E-17,0,2.54329E-17,0,2.07944E-17,0,
Bromochloromethane,74-97-5,Halon-1011,CH2BrCl,0.12938,0.4521,0.02034,4.00934E-13,18,4.00934E-13,5,4.00934E-13,1,9.78699E-16,2,4.82623E-16,1,3.94585E-16,1,
Bromoethane,74-96-4,,CH3CH2Br,0.10897,0.137,0.00581,4.11693E-14,2,4.11693E-14,1,4.11693E-14,0,9.68775E-17,0,4.94923E-17,0,4.0466E-17,0,
1:2-Dibromoethane,106-93-4,EDB,CH2BrCH2Br,0.18786,0.2438,0.01179,8.63354E-14,4,8.63354E-14,1,8.63354E-14,0,2.05598E-16,0,1.03836E-16,0,8.48971E-17,0,
1-Bromopropane,106-94-5,,CH3CH2CH2Br,0.123,0.0411,0.00234,4.41715E-15,0,4.41715E-15,0,4.41715E-15,0,1.02878E-17,0,5.30804E-18,0,4.34003E-18,0,
2-Bromopropane,75-26-3,,CH3CHBrCH3,0.123,0.0548,0.00423,1.06334E-14,0,1.06334E-14,0,1.06334E-14,0,2.48016E-17,0,1.27787E-17,0,1.04483E-17,0,
Bromomethyl benzene,100-39-0,,C6H5-CH2Br,,,0.03229,,,,,,,,,,,,,
3-Bromo-1-propene,106-95-6,,CH2=CHCH2Br,,,0.04044,,,,,,,,,,,,,
Bromine Nitrate,40423-14-1,,BrONO2,,,0.10169,,,,,,,,,,,,,
Bromoethene,593-60-2,,CH2=CHBr,,,0.0413,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Fully Fluorinated Species,,,,,,,,,,,,,,,,,,,
Nitrogen trifluoride,7783-54-2,,NF3,0.07101,569,0.20448,3.19255E-10,13941,1.48975E-09,18474,5.40452E-09,20061,8.59231E-12,15873,8.81787E-12,19342,8.92086E-12,21517,
Pentadecafluorotriethylamine,359-70-6,,N(C2F5)3,0.37107,1000,0.61,1.83637E-10,8019,8.82534E-10,10944,3.64902E-09,13545,4.96398E-12,9170,5.20266E-12,11412,5.44061E-12,13123,
Perfluorotripropylamine,338-83-0,PTPA,N(CF2CF2CF3)3,0.5211,1000,0.75,1.60778E-10,7021,7.72676E-10,9582,3.19479E-09,11859,4.34606E-12,8029,4.55503E-12,9991,4.76337E-12,11489,
Heptacosafluorotributylamine,311-89-7,PFTBA,N(CF2CF2CF2CF3)3,0.67113,1000,0.90742,1.51038E-10,6596,7.25868E-10,9001,3.00125E-09,11141,4.08278E-12,7543,4.27909E-12,9386,4.4748E-12,10793,
Perfluorotripentylamine,338-84-1,,N(CF2CF2CF2CF2CF3)3,0.82116,1000,0.95,1.29235E-10,5643,6.21088E-10,7702,2.56802E-09,9532,3.49343E-12,6454,3.6614E-12,8031,3.82886E-12,9235,
Heptafluoroisobutyronitrile,42532-60-5,,(CF3)2CFCN,0.19505,34.5,0.248,1.0887E-10,4754,2.3383E-10,2900,2.47466E-10,919,2.4892E-12,4599,1.23864E-12,2717,4.91994E-13,1187,
Sulfur hexafluoride,2551-62-4,,SF6,0.14607,3200,0.56657,4.36274E-10,19051,2.15436E-09,26716,1.0129E-08,37598,1.18399E-11,21873,1.2649E-11,27745,1.36337E-11,32884,
(Trifluoromethyl)sulfur pentafluoride,373-80-8,,SF5CF3,0.19608,800,0.58479,3.32333E-10,14512,1.58161E-09,19613,6.25547E-09,23220,8.97054E-12,16572,9.33673E-12,20480,9.65741E-12,23293,
Sulfuryl fluoride,2699-79-8,,SO2F2,0.10205,36,0.21074,1.78765E-10,7806,3.93318E-10,4877,4.19394E-10,1557,4.11789E-12,7607,2.11231E-12,4633,8.61549E-13,2078,
Tetrafluoromethane,75-73-0,PFC-14,CF4,0.08801,50000,0.09859,1.26372E-10,5518,6.31355E-10,7829,3.14418E-09,11671,3.43534E-12,6346,3.70013E-12,8116,4.04006E-12,9744,
Hexafluoroethane,76-16-4,PFC-116,C2F6,0.13802,10000,0.26105,2.13192E-10,9310,1.06171E-09,13166,5.20395E-09,19317,5.79284E-12,10702,6.22543E-12,13655,6.77335E-12,16337,
Octafluoropropane,76-19-7,PFC-218,C3F8,0.18803,2600,0.26999,1.61387E-10,7047,7.94663E-10,9854,3.68458E-09,13677,4.37802E-12,8088,4.6678E-12,10239,5.01521E-12,12096,
Hexafluorocyclobutene,697-11-0,,cyc (-CF=CFCF2CF2-),0.16204,1.02,0.3,1.06535E-11,465,1.06535E-11,132,1.06535E-11,40,2.81682E-14,52,1.28548E-14,28,1.05088E-14,25,
Pentafluoro-2-(trifluoromethyl)-1-propene,382-21-8,PFIB,(CF3)2C=CF2,,,0.33573,,,,,,,,,,,,,
Octafluorocyclobutane,115-25-3,PFC-C-318,cyc (-CF2CF2CF2CF2-),0.20004,3200,0.31392,1.76508E-10,7708,8.7161E-10,10809,4.09801E-09,15212,4.79019E-12,8849,5.11752E-12,11225,5.51592E-12,13304,
Decafluorobutane,355-25-9,PFC-31-10,n-C4F10,0.23804,2600,0.36874,1.74111E-10,7603,8.57315E-10,10631,3.97508E-09,14755,4.72319E-12,8726,5.03581E-12,11046,5.41061E-12,13050,
Octafluorocyclopentene,559-40-0,,cyc (-CF2CF2CFCF2CF2-),0.23105,1.1,0.246,6.60713E-12,289,6.60713E-12,82,6.60713E-12,25,1.76986E-14,33,7.97512E-15,17,6.5195E-15,16,
Dodecafluoropentane,678-26-2,PFC-41-12,n-C5F12,0.28805,4100,0.4076,1.59268E-10,6955,7.88628E-10,9780,3.75764E-09,13948,4.32404E-12,7988,4.62835E-12,10152,5.00379E-12,12069,
Hexafluorobenzene,392-56-3,,C6F6,,,0.15251,,,,,,,,,,,,,
Tetradecafluorohexane,355-42-0,PFC-51-14,n-C6F14,0.33806,3100,0.44888,1.49335E-10,6521,7.37132E-10,9141,3.45898E-09,12840,4.05252E-12,7487,4.32822E-12,9494,4.6631E-12,11247,
Hexadecafluoroheptane,335-57-9,PFC-61-16,n-C7F16,0.38807,3000,0.50312,1.45793E-10,6367,7.19343E-10,8920,3.36849E-09,12504,3.95617E-12,7309,4.22405E-12,9265,4.54871E-12,10971,
Octadecafluorooctane,307-34-6,PFC-71-18,n-C8F18,0.43808,3000,0.55787,1.43203E-10,6253,7.06561E-10,8762,3.30864E-09,12282,3.88587E-12,7179,4.14899E-12,9101,4.46788E-12,10776,
Perfluorodecalin (mixed),306-94-5,PFC-91-18,C10F18,0.4621,2000,0.53742,1.30565E-10,5702,6.3996E-10,7936,2.90254E-09,10774,3.53954E-12,6539,3.76171E-12,8251,4.02118E-12,9699,
Perfluorodecalin (cis),60433-11-6,,Z-C10F18,0.4621,2000,0.56036,1.3614E-10,5945,6.67288E-10,8275,3.02649E-09,11234,3.69068E-12,6818,3.92234E-12,8604,4.19289E-12,10113,
Perfluorodecalin (trans),60433-12-7,,E-C10F18,0.4621,2000,0.51177,1.24333E-10,5429,6.09416E-10,7557,2.76401E-09,10260,3.3706E-12,6227,3.58217E-12,7857,3.82925E-12,9236,
Perfluoroethene,116-14-3,PFC-1114,CF2=CF2,0.10002,0.0033,0.0018,3.33186E-16,0,3.33186E-16,0,3.33186E-16,0,7.72944E-19,0,4.00322E-19,0,3.27318E-19,0,
Perfluoropropene,116-15-4,PFC-1216,CF3CF=CF2,0.15003,0.0151,0.0134,7.59434E-15,0,7.59434E-15,0,7.59434E-15,0,1.76394E-17,0,9.12505E-18,0,7.46097E-18,0,
Hexafluorobuta-1:3-diene,685-63-2,,CF2=CFCF=CF2,0.16204,0.003,0.00321,3.36508E-16,0,3.36508E-16,0,3.36508E-16,0,7.80629E-19,0,4.04314E-19,0,3.30582E-19,0,
Octafluoro-1-butene,357-26-6,,CF3CF2CF=CF2,0.20004,0.0164,0.0186,8.62458E-15,0,8.62458E-15,0,8.62458E-15,0,2.00352E-17,0,1.0363E-17,0,8.47316E-18,0,
Octafluoro-2-buene,360-89-4,,CF3CF=CFCF3,0.20004,0.0849,0.06964,1.66797E-13,7,1.66797E-13,2,1.66797E-13,1,3.90294E-16,1,2.00474E-16,0,1.63914E-16,0,
,,,,,,,,,,,,,,,,,,,
Halogenated Alcohols and Ethers,,,,,,,,,,,,,,,,,,,
(Difluoromethoxy)trifluoromethane,3822-68-2,HFE-125,CHF2OCF3,0.13602,135,0.41655,3.21154E-10,14024,1.22037E-09,15134,2.27488E-09,8444,8.36371E-12,15451,7.34528E-12,16112,5.85235E-12,14116,
(Difluoromethoxy)difluoromethane,1691-17-4,HFE-134,CHF2OCHF2,0.11803,26.9,0.44854,3.0251E-10,13210,5.62692E-10,6978,5.76703E-10,2141,6.57202E-12,12141,2.67655E-12,5871,9.31343E-13,2246,
Trifluoro(methoxy)methane,421-14-7,HFE-143a,CH3OCF3,0.10004,4.9,0.18872,5.12658E-11,2239,5.21461E-11,647,5.21461E-11,194,3.84571E-13,710,6.49557E-14,142,5.22555E-14,126,
1:1:1:2-Tetrafluoro-2-(trifluoromethoxy)ethane,2356-62-9,HFE-227ea,CF3CHFOCF3,0.18603,54.8,0.45905,2.33267E-10,10186,6.39853E-10,7935,7.62779E-10,2831,5.6952E-12,10521,3.73681E-12,8197,1.98979E-12,4799,
2-Chloro-1-(difluoromethoxy)-1:1:2-trifluoroethane,13838-16-9,HCFE-235ca2 (enflurane),CHF2OCF2CHFCl,0.18449,4.42,0.40942,5.47366E-11,2390,5.53362E-11,686,5.53362E-11,205,3.6505E-13,674,6.82938E-14,150,5.53434E-14,133,
2-Chloro-2-(difluoromethoxy)-1:1:1-trifluoroethane,26675-46-7,HCFE-235da2 (isoflurane),CHF2OCHClCF3,0.18449,3.5,0.42591,4.54329E-11,1984,4.55832E-11,565,4.55832E-11,169,2.32639E-13,430,5.56935E-14,122,4.54184E-14,110,
2-(Difluoromethoxy)-1:1:1:2-tetrafluoroethane,57041-67-5,HFE-236ea2 (desflurane),CHF2OCHFCF3,0.16804,14.1,0.46439,1.66607E-10,7275,2.19642E-10,2724,2.19824E-10,816,2.91054E-12,5377,5.99209E-13,1314,2.38125E-13,574,
1:1:1-Trifluoro-2-(trifluoromethoxy)ethane,20193-67-3,HFE-236fa,CF3CH2OCF3,0.16804,7.5,0.37096,8.6915E-11,3795,9.3405E-11,1158,9.34051E-11,347,1.00364E-12,1854,1.33559E-13,293,9.46317E-14,228,
1:1:1:2:2-Pentafluoro-2-methoxy-ethane,22410-44-2,HFE-245cb2,CF3CF2OCH3,0.15005,5,0.33643,6.20864E-11,2711,6.32448E-11,784,6.32448E-11,235,4.76444E-13,880,7.89719E-14,173,6.34035E-14,153,
1:1-Difluoro-2-(trifluoromethoxy)ethane,84011-15-4,HFE-245fa1,CHF2CH2OCF3,0.15005,6.7,0.31384,7.50621E-11,3278,7.90573E-11,980,7.90573E-11,293,7.82055E-13,1445,1.06481E-13,234,7.98168E-14,193,
2-(Difluoromethoxy)-1:1:1-trifluoroethane,1885-48-9,HFE-245fa2,CHF2OCH2CF3,0.15005,5.5,0.35952,7.23848E-11,3161,7.43436E-11,922,7.43436E-11,276,6.16905E-13,1140,9.4248E-14,207,7.46835E-14,180,
2:2:3:3:3-Pentafluoropropan-1-ol,422-05-9,,CF3CF2CH2OH,0.15005,0.4712,0.16377,2.90157E-12,127,2.90157E-12,36,2.90157E-12,11,7.09979E-15,13,3.49303E-15,8,2.85584E-15,7,
1:1:2:2-Tetrafluoro-1-methoxyethane,425-88-7,HFE-254cb1,CH3OCF2CHF2,0.13206,2.5,0.25973,2.77293E-11,1211,2.77386E-11,344,2.77386E-11,103,1.03475E-13,191,3.3693E-14,74,2.75261E-14,66,
1:1:1-Trifluoro-2-methoxyethane,460-43-5,HFE-263mf,CF3CH2OCH3,0.11407,0.0767,0.046,1.74503E-13,8,1.74503E-13,2,1.74503E-13,1,4.07967E-16,1,2.09729E-16,0,1.71481E-16,0,
1:1:2:2-Tetrafluoro-1-(trifluoromethoxy)ethane,690-22-2,HFE-263m1,CF3OCH2CH3,0.11407,0.3973,0.12571,2.46984E-12,108,2.46984E-12,31,2.46984E-12,9,5.98864E-15,11,2.97238E-15,7,2.43019E-15,6,
3:3:3-Trifluoropropan-1-ol,2240-88-2,,CF3CH2CH2OH,0.11407,0.0411,0.02582,5.24785E-14,2,5.24785E-14,1,5.24785E-14,0,1.22225E-16,0,6.30627E-17,0,5.15622E-17,0,
1:1:1:2:2-Pentafluoro-2-(1:1:2:2-tetrafluoroethoxy)ethane,134769-21-4,HFE-329mcc2,CHF2CF2OCF2CF3,0.23604,25,0.54542,1.79462E-10,7837,3.19928E-10,3967,3.25897E-10,1210,3.82995E-12,7075,1.45931E-12,3201,4.94512E-13,1193,
2-(Difluoromethoxy)-1:1:1:3:3:3-hexafluoropropane,26103-08-2,HFE-338mmz1,(CF3)2CHOCHF2,0.21805,22.3,0.45247,1.54584E-10,6750,2.58109E-10,3201,2.61055E-10,969,3.19909E-12,5910,1.09114E-12,2393,3.61019E-13,871,
1:1:1:2:2-Pentafluoro-2-(2:2:2-trifluoroethoxy)ethane,156053-88-2,HFE-338mcf2,CF3CH2OCF2CF3,0.21805,7.5,0.45353,8.18899E-11,3576,8.80047E-11,1091,8.80048E-11,327,9.45614E-13,1747,1.25837E-13,276,8.91604E-14,215,
1:1:1:3:3:3-Hexafluoro-2-(fluoromethoxy)propane,28523-86-6,Sevoflurane (HFE-347mmz1),(CF3)2CHOCH2F,0.20006,1.9,0.3083,1.65175E-11,721,1.65179E-11,205,1.65179E-11,61,5.21315E-14,96,2.00076E-14,44,1.63516E-14,39,
1:1:1:2:2:3:3-Heptafluoro-3-methoxypropane,375-03-1,HFE-347mcc3 (HFE-7000),CH3OCF2CF2CF3,0.20006,5.1,0.33902,4.77901E-11,2087,4.87559E-11,605,4.87559E-11,181,3.74938E-13,693,6.10394E-14,134,4.88983E-14,118,
1-(2:2-Difluoroethoxy)-1:1:2:2:2-pentafluoroethane,171182-95-9,HFE-347mcf2,CHF2CH2OCF2CF3,0.20006,6.7,0.43147,7.73985E-11,3380,8.1518E-11,1011,8.1518E-11,303,8.06398E-13,1490,1.09795E-13,241,8.23012E-14,199,
1:1:2:2-Tetrafluoro-1-(2:2:2-trifluoroethoxy)ethane,406-78-0,HFE-347pcf2,CHF2CF2OCH2CF3,0.20006,6.1,0.482,7.97863E-11,3484,8.29102E-11,1028,8.29102E-11,308,7.57918E-13,1400,1.07853E-13,237,8.34962E-14,201,
1:1:1:2:3:3:3-Heptafluoro-2-methoxypropane,22052-84-2,HFE-347mmy1,(CF3)2CFOCH3,0.20006,3.7,0.31824,3.30548E-11,1443,3.3204E-11,412,3.3204E-11,123,1.79962E-13,332,4.06338E-14,89,3.31109E-14,80,
1:1:1:2:3:3-Hexafluoro-3-methoxypropane,382-34-3,HFE-356mec3,CH3OCF2CHFCF3,0.18207,2.5,0.28845,2.23367E-11,975,2.23442E-11,277,2.23442E-11,83,8.33522E-14,154,2.71407E-14,60,2.21731E-14,53,
Bis(2:2:2-trifluoroethyl)ether,333-36-8,HFE-356mff2,CF3CH2OCH2CF3,0.18207,0.3507,0.19032,2.06802E-12,90,2.06802E-12,26,2.06802E-12,8,4.98638E-15,9,2.48831E-15,5,2.03444E-15,5,
1-(2:2-Difluoroethoxy)-1:1:2:2-tetrafluoroethane,50807-77-7,HFE-356pcf2,CHF2CH2OCF2CHF2,0.18207,6,0.37839,6.78372E-11,2962,7.03467E-11,872,7.03467E-11,261,6.3362E-13,1171,9.10618E-14,200,7.08145E-14,171,
3-(Difluoromethoxy)-1:1:2:2-tetrafluoropropane,35042-99-0,HFE-356pcf3,CHF2OCH2CF2CHF2,0.18207,3.5,0.3775,4.08036E-11,1782,4.09386E-11,508,4.09386E-11,152,2.08935E-13,386,5.00188E-14,110,4.07906E-14,98,
1:1:2:2:3:3-Hexafluoro-1-methoxypropane,160620-20-2,HFE-356pcc3,CH3OCF2CF2CHF2,0.18207,2.5,0.30271,2.34406E-11,1024,2.34485E-11,291,2.34485E-11,87,8.74715E-14,162,2.8482E-14,62,2.32689E-14,56,
1:1:1:3:3:3-Hexafluoro-2-methoxypropane,13171-18-1,HFE-356mmz1,(CF3)2CHOCH3,0.18207,0.1781,0.12472,6.88165E-13,30,6.88165E-13,9,6.88165E-13,3,1.62671E-15,3,8.2743E-16,2,6.76522E-16,2,
1:1:1:2:2-Pentafluoro-3-methoxypropane,378-16-5,HFE-365mcf3,CF3CF2CH2OCH3,0.16408,0.0685,0.05758,1.35599E-13,6,1.35599E-13,2,1.35599E-13,1,3.16735E-16,1,1.62966E-16,0,1.33246E-16,0,
1-Ethoxy-1:1:2:2-tetrafluoroethane,512-51-6,HFE-374pc2,CHF2CF2OCH2CH3,0.14609,0.2082,0.1316,1.05819E-12,46,1.05819E-12,13,1.05819E-12,4,2.50981E-15,5,1.27249E-15,3,1.04041E-15,3,
4:4:4-Trifluorobutan-1-ol,461-18-7,,CF3(CH2)2CH2OH,0.1281,0.0148,0.00642,4.18274E-15,0,4.18274E-15,0,4.18274E-15,0,9.715E-18,0,5.0258E-18,0,4.10927E-18,0,
1:1:1:3:3:3-Hexafluoro-2-(trifluoromethyl)-2-propanol, 2378-02-01,,(CF3)3COH,,,0.38178,,,,,,,,,,,,,
2:2:3:3:4:4:5:5-Octafluorocyclopentanol,16621-87-7,,cyc (-(CF2)4CH(OH)-),0.23006,0.3014,0.15616,1.15406E-12,50,1.15406E-12,14,1.15406E-12,4,2.76654E-15,5,1.38832E-15,3,1.13509E-15,3,
1-(Difluoromethoxy)-2-((difluoromethoxy)difluoromethoxy)-1:1:2:2-tetrafluoroethane,188690-77-9,HFE-43-10pccc124 (H-Galden 1040x: HG-11),CHF2OCF2OCF2CF2OCHF2,0.30004,14.1,1.03008,2.06975E-10,9038,2.72859E-10,3384,2.73086E-10,1014,3.61575E-12,6680,7.44394E-13,1633,2.95821E-13,714,
1:1:1:2:2:3:3:4:4-Nonafluoro-4-methoxybutane,219484-64-7,HFE-449s1 (HFE-7100),C4F9OCH3,0.25007,4.8,0.35965,3.83414E-11,1674,3.89452E-11,483,3.89452E-11,145,2.80988E-13,519,4.84036E-14,106,3.9011E-14,94,
na,163702-07-6,n-HFE-7100,CF3CF2CF2CF2OCH3,0.25007,4.8,0.42497,4.53046E-11,1978,4.60181E-11,571,4.60181E-11,171,3.32019E-13,613,5.71942E-14,125,4.60958E-14,111,
na,163702-08-7,i-HFE-7100,(CF3)2CFCF2OCH3,0.25007,4.8,0.34118,3.63726E-11,1588,3.69454E-11,458,3.69454E-11,137,2.66559E-13,492,4.5918E-14,101,3.70078E-14,89,
1-Ethoxy-1:1:2:2:3:3:4:4:4-nonafluorobutane,,HFE-569sf2 (HFE-7200),C4F9OC2H5,0.2641,0.8,0.3007,5.13857E-12,224,5.13857E-12,64,5.13857E-12,19,1.31406E-14,24,6.19459E-15,14,5.06429E-15,12,
na,163702-06-5,i-HFE-7200,(CF3)2CFCF2OCH2CH3,0.2641,0.63,0.21579,2.90401E-12,127,2.90401E-12,36,2.90401E-12,11,7.25307E-15,13,3.4983E-15,8,2.86007E-15,7,
3-Methoxyperfluoro(2-methylpentane),132182-92-4,HFE-7300,(CF3)2CFCFOC2H5CF2CF2CF3,0.41413,5.24,0.48,3.35094E-11,1463,3.42631E-11,425,3.42631E-11,127,2.70904E-13,500,4.30671E-14,94,3.4383E-14,83,
3-Ethoxyperfluoro(2-methylhexane),297730-93-9,HFE-7500,n-C3F7CFOC2H5CF(CF3)2,0.41413,0.3,0.27,1.10342E-12,48,1.10342E-12,14,1.10342E-12,4,2.64472E-15,5,1.32739E-15,3,1.08528E-15,3,
Bis(difluoromethoxy)difluoromethane,78522-47-1,HFE-236ca12 (HG-10),CHF2OCF2OCHF2,0.18403,26.5,0.64763,2.78763E-10,12173,5.14026E-10,6374,5.26111E-10,1953,6.03478E-12,11149,2.42519E-12,5320,8.38806E-13,2023,
1:2-Bis(difluoromethoxy)-1:1:2:2-tetrafluoroethane,188690-78-0,HFE-338pcc13 (HG-01),CHF2OCF2CF2OCHF2,0.23404,13.4,0.87037,2.17933E-10,9517,2.80971E-10,3484,2.81132E-10,1044,3.71517E-12,6863,7.22544E-13,1585,3.00651E-13,725,
1:1:1:3:3:3-Hexafluoropropan-2-ol,920-66-1,HFIP,(CF3)2CHOH,0.16804,1.9,0.27363,1.74537E-11,762,1.74542E-11,216,1.74542E-11,65,5.50864E-14,102,2.11417E-14,46,1.72784E-14,42,
1-(Difluoromethoxy)-2-(2-(difluoromethoxy)-1:1:2:2-tetrafluoroethoxy)-1:1:2:2-tetrafluoroethane,205367-61-9,HG-02,CHF2(OCF2CF2)2OCHF2,0.35005,26.9,1.15,2.61516E-10,11420,4.8644E-10,6032,4.98553E-10,1851,5.68143E-12,10496,2.31385E-12,5075,8.05134E-13,1942,
1:1:3:3:4:4:6:6:7:7:9:9:10:10:12:12-Hexadecafluoro-2:5:8:11-tetraoxadodecane,173350-37-3,HG-03,CHF2(OCF2CF2)3OCHF2,0.46606,26.9,1.429,2.44074E-10,10658,4.53996E-10,5630,4.65301E-10,1727,5.3025E-12,9796,2.15952E-12,4737,7.51434E-13,1812,
(2:2:2-Trifluoroethoxy)ethene,406-90-6,Fluroxene,CF3CH2OCH=CH2,0.12608,0.0099,0.011,4.85453E-15,0,4.85453E-15,0,4.85453E-15,0,1.12695E-17,0,5.83288E-18,0,4.76917E-18,0,
2-Ethoxy-3:3:4:4:5-pentafluorotetrahydro-2:5-bis[1:2:2:2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan,920979-28-8,,C12H5F19O2,0.54215,0.81,0.489,4.1216E-12,180,4.1216E-12,51,4.1216E-12,15,1.05552E-14,19,4.96883E-15,11,4.06218E-15,10,
Difluoro(methoxy)methane,359-15-9,,CH3OCHF2,0.08205,1.1,0.15251,1.15345E-11,504,1.15345E-11,143,1.15345E-11,43,3.08976E-14,57,1.39227E-14,31,1.13815E-14,27,
1:1:2:2-Tetrafluoro-1:2-dimethoxyethane,73287-23-7,HG'-01,CH3OCF2CF2OCH3,0.16208,1.7,0.28919,1.71113E-11,747,1.71114E-11,212,1.71114E-11,64,5.15029E-14,95,2.07081E-14,45,1.69255E-14,41,
1:1:2:2-Tetrafluoro-1-methoxy-2-(1:1:2:2-tetrafluoro-2-methoxyethoxy)ethane,485399-46-0,HG'-02,CH3O(CF2CF2O)2CH3,0.27809,1.7,0.56162,1.93685E-11,846,1.93686E-11,240,1.93686E-11,72,5.82967E-14,108,2.34398E-14,51,1.91581E-14,46,
3:3:4:4:6:6:7:7:9:9:10:10-Dodecafluoro-2:5:8:11-tetraoxadodecane,485399-48-2,HG'-03,CH3O(CF2CF2O)3CH3,0.3941,1.7,0.76238,1.85525E-11,810,1.85527E-11,230,1.85527E-11,69,5.58408E-14,103,2.24523E-14,49,1.8351E-14,44,
