Model,1920,1930,1940,1950,1960,1970,1980,1990,2000,2007,2010,2014,2017,2020
BCC-ESM1,0.0076,0.0092,0.0143,0.0239,0.0359,0.0496,0.0367,0.0085,0.0147,0.0189,0.0207,,,
CESM2(CAM6),0.0252,0.0272,0.0386,0.0396,0.046,0.0552,0.0473,0.0273,0.042,0.0553,0.0603,,,
CESM2(WACCM6),0.0202,0.0221,0.04,0.0346,0.0446,0.0533,0.053,0.0282,0.0468,0.0456,0.0578,,,
CNRM-CM6-1,-0.0063,-0.0109,-0.0127,-0.0144,-0.0186,-0.0148,-0.0407,-0.0686,-0.1044,-0.1136,-0.1126,,,
CNRM-ESM2-1,0.0204,0.0161,0.0132,0.0055,-0.0132,-0.015,-0.0639,-0.135,-0.1696,-0.1651,-0.1613,,,
E3SM-1-0,0.016,0.0214,0.0227,0.0344,0.049,0.05,0.0352,-0.0003,-0.0107,-0.0027,0.0012,,,
GFDL-ESM4,0.0138,0.0126,0.0226,0.0315,0.036,0.0331,0.0145,-0.0397,-0.0209,-0.0206,-0.017,,,
GISS-E2-1-H,0.0182,0.0122,-0.0003,0.0248,0.0233,0.0321,0.0913,0.1171,0.0737,0.0776,0.0898,,,
MRI-ESM2-0,0.0072,0.0144,0.0123,0.0198,0.032,0.057,0.0668,0.0618,0.0474,0.0403,0.0411,,,
UKESM1-0-LL,0.0092,-0.0028,0.0105,-0.0015,-0.0112,-0.0323,-0.0927,-0.1823,-0.2449,-0.2611,-0.2604,,,
OsloCTM3,,,,0.0355,,0.0552,0.071,0.0819,0.0876,0.1102,0.1198,0.1318,0.1294,0.1359
input4MIPs,0.0064,0.0097,0.014,0.0238,0.0347,0.046,0.0268,-0.0038,0.0047,0.0035,0.0048,,,
