year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2341,1.4676051562518528,0.3238513504503626,0.26558835171164097,0.18372090290324303,0.31090219506368505,0.029766679967759817,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9396343135110252,0.07963773109163622,1.9549854811132967
2342,1.4639862195559086,0.32384238913526,0.26557440282193423,0.18365732601053442,0.3109765267945565,0.029765856291717154,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9360880250566743,0.07963773109163622,1.951587284271071
2343,1.4605929912401885,0.32383063995954264,0.2655603800777729,0.18359403400521,0.3110403295468979,0.029764776370472496,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9328735510250439,0.07963773109163622,1.9483867757306363
2344,1.4574408995668875,0.3238292210512327,0.26554604053152286,0.18353231424237765,0.3110969063696028,0.029764645952027408,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9298700559017883,0.07963773109163622,1.9453325202477334
2345,1.4544876189867035,0.3238497478436171,0.2655312961426778,0.18347346526345246,0.31114957265378307,0.02976653266473934,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9270371011508296,0.07963773109163622,1.942459058278785
2346,1.4516089948643631,0.32389232229787035,0.26551629725360876,0.18341758052084658,0.31120468855012284,0.029770445880332837,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9242894984675443,0.07963773109163622,1.9396928115402452
2347,1.4486668979763666,0.3239485002818288,0.2655013201888186,0.1833638857268526,0.3112663814589977,0.02977560945944838,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9215356897006501,0.07963773109163622,1.936941757310239
2348,1.4455919443403185,0.32401217612090144,0.26548652815652796,0.18331174634715658,0.31133381971138563,0.029781462201210047,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9186936777196515,0.07963773109163622,1.9341085064687427
2349,1.4423818433670137,0.32408029541522715,0.2654720059225923,0.1832609156905371,0.31140508310335274,0.029787723361557245,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9156777198529473,0.07963773109163622,1.9310674288445626
2350,1.4390387992996474,0.3241475347669809,0.2654578148456192,0.18321084078525468,0.31148018145084483,0.02979390364230058,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.912562632969763,0.07963773109163622,1.9278954385692753
2351,1.4355076681135703,0.3241914175921419,0.2654443919106767,0.18315916949172037,0.3115631771573005,0.029797937116333748,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9092743728045043,0.07963773109163622,1.9245916397183693
2352,1.431848120197283,0.3242005686712025,0.26543180200902294,0.18310456140616665,0.31164749202889247,0.02979877823446211,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9057923920873687,0.07963773109163622,1.921157203930722
2353,1.4282831060263101,0.32419129374233074,0.2654195277054661,0.18304860325652217,0.3117211837093855,0.029797925732723066,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.9024419343492913,0.07963773109163622,1.9178289743493286
2354,1.4249432616732147,0.3241792564460683,0.2654071672925309,0.18299283407836683,0.31178434897416357,0.029796819328982517,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.899265250016165,0.07963773109163622,1.9146100178348384
2355,1.4218468695773907,0.32417751478495554,0.26539450487092037,0.1829386030334322,0.3118402670435682,0.029796659244830066,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.8962470100940576,0.07963773109163622,1.911512130245042
2356,1.41894628845769,0.3241977565388249,0.26538142125611225,0.18288711479100198,0.31189227513155277,0.029798519758329783,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.8935312181561545,0.07963773109163622,1.9087215821034702
2357,1.4161191015515895,0.3242400370788945,0.2653680353459522,0.18283849996507662,0.31194673210376384,0.029802405958907197,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.8909015967181468,0.07963773109163622,1.9060418848291683
2358,1.4132267628855777,0.32429589691946575,0.2653546876566867,0.1827919771621051,0.31200778657631273,0.029807540295988158,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.8881615744962266,0.07963773109163622,1.9033590751985505
2359,1.4102034450880983,0.3243591992520676,0.2653415341681455,0.18274696825259656,0.3120745941138629,0.029813358707037392,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.8853021094929512,0.07963773109163622,1.9005699591922074
2360,1.4070422214358194,0.32442706311053104,0.2653285906822519,0.18270315667262502,0.31214528012623916,0.029819596389089514,0.005532596461306244,-0.05834843418418613,-0.08150622071862389,0.03485342229123955,-0.2364270939078683,0.0,0.07963773109163622,1.8823661739115805,0.07963773109163622,1.8976029923344735
