# Metric,RE_err,Chemistry_err,Lifetime_err,CO2_err,C-cycle_err,Fossil_err,IRF_err,Total_err
       GWP20,    19,     0,    10,    18,     3,     0,     0,    28
      GWP100,    19,     0,    19,    26,     5,     0,     0,    38
      GWP500,    19,     0,    19,    29,     5,     0,     0,    40
       GTP50,    19,     0,    47,    22,    14,     0,    25,    62
      GTP100,    19,     0,    30,    28,     9,     0,    37,    59
