# Name,CASRN,Acronym,Formula,Lifetime,Radiative_efficiency,AGWP20,GWP20,AGWP100,GWP100,AGWP500,GWP500,AGTP50,GTP50,AGTP100,GTP100,CGTP50,CGTP100
                  Chloroethane,              75-00-3,                     ,                       CH3CH2Cl, 0.132, 0.004, 4.21693e-14, 1.733, 4.30284e-14, 0.481, 4.30324e-14, 0.137, 4.51179e-17, 0.105, 3.42027e-17, 0.087, 49.363, 58.412
            1:2-Dichloroethane,             107-06-2,                     ,                     CH2ClCH2Cl, 0.225, 0.009, 1.13991e-13, 4.684, 1.16324e-13, 1.300, 1.16335e-13, 0.371, 1.22074e-16, 0.285, 9.24974e-17, 0.234, 133.420, 157.886
         1:1:2-Trichloroethene,              79-01-6,                     ,                      CHCl=CCl2, 0.015, 0.006, 3.85171e-15, 0.158, 3.92948e-15, 0.044, 3.93026e-15, 0.013, 4.11440e-18, 0.010, 3.12277e-18, 0.008, 4.511, 5.337
     1:1:2:2-Tetrachloroethene,             127-18-4,                     ,                      CCl2=CCl2, 0.301, 0.052, 5.55965e-13, 22.845, 5.67386e-13, 6.342, 5.67437e-13, 1.808, 5.95825e-16, 1.393, 4.51302e-16, 1.144, 650.657, 770.011
               2-Chloropropane,              75-29-6,                     ,                     CH3CHClCH3, 0.060, 0.004, 1.58381e-14, 0.651, 1.61595e-14, 0.181, 1.61613e-14, 0.052, 1.69322e-17, 0.040, 1.28420e-17, 0.033, 18.543, 21.941
                1-Chlorobutane,             109-69-3,                     ,                 CH3(CH2)2CH2Cl, 0.012, 0.001, 5.94815e-16, 0.024, 6.06819e-16, 0.007, 6.06945e-16, 0.002, 6.35330e-19, 0.001, 4.82246e-19, 0.001, 0.697, 0.824
                  Bromomethane,              74-83-9,       Methyl bromide,                          CH3Br, 0.800, 0.004, 2.12630e-13, 8.737, 2.17103e-13, 2.427, 2.17128e-13, 0.692, 2.28967e-16, 0.535, 1.73030e-16, 0.438, 248.697, 294.414
                Dibromomethane,              74-95-3,    Methylene bromide,                         CH2Br2, 0.411, 0.010, 1.32633e-13, 5.450, 1.35372e-13, 1.513, 1.35385e-13, 0.431, 1.42291e-16, 0.333, 1.07723e-16, 0.273, 155.202, 183.685
          Bromodifluoromethane,            1511-62-2,           Halon-1201,                         CHBrF2, 4.900, 0.152, 3.25404e-11, 1337.116, 3.39534e-11, 379.516, 3.39665e-11, 108.242, 3.76252e-14, 87.970, 2.75376e-14, 69.787, 38535.983, 45763.913
        Dibromodifluoromethane,              75-61-6,           Halon-1202,                         CBr2F2, 2.500, 0.272, 1.88688e-11, 775.336, 1.93081e-11, 215.817, 1.93123e-11, 61.543, 2.06824e-14, 48.357, 1.54968e-14, 39.272, 22036.156, 26118.077
    Bromochlorodifluoromethane,             353-59-3,           Halon-1211,                        CBrClF2, 16.000, 0.300, 1.19777e-10, 4921.755, 1.72678e-10, 1930.120, 1.73296e-10, 552.248, 4.57846e-13, 1070.475, 1.60316e-13, 406.278, 181621.806, 228660.193
         Bromotrifluoromethane,              75-63-8,           Halon-1301,                          CBrF3, 72.000, 0.299, 2.02406e-10, 8317.067, 6.43796e-10, 7196.061, 8.63931e-10, 2753.119, 3.23287e-12, 7558.676, 1.99709e-12, 5061.087,   nan,   nan
