# Name,CASRN,Acronym,Formula,Lifetime,Radiative_efficiency,AGWP20,GWP20,AGWP100,GWP100,AGWP500,GWP500,AGTP50,GTP50,AGTP100,GTP100,CGTP50,CGTP100
1-Chloro-1:1:2:2-tetrafluoroet,             354-25-6,            HCFC-124a,                      CHF2CClF2, 17.000, 0.250, 1.24444e-10, 5113.532, 1.84930e-10, 2067.064, 1.85781e-10, 592.035, 5.21142e-13, 1218.465, 1.76817e-13, 448.094, 192349.133, 244478.954
1:2-Dichloro-1:2-difluoroethan,             431-06-1,             HCFC-132,                     CHClFCHClF, 1.730, 0.143, 1.07093e-11, 440.056, 1.09453e-11, 122.341, 1.09472e-11, 34.886, 1.16396e-14, 27.214, 8.75658e-15, 22.191, 12512.907, 14822.608
1:1-Dichloro-2:2-difluoroethan,             471-43-2,            HCFC-132a,                      CHCl2CHF2, 1.120, 0.127, 6.16582e-12, 253.360, 6.29754e-12, 70.391, 6.29838e-12, 20.071, 6.66037e-15, 15.572, 5.02563e-15, 12.736, 7209.012, 8536.087
1:1-Dichloro-1:2-difluoroethan,            1842-05-3,            HCFC-132c,                      CH2FCCl2F, 4.100, 0.169, 2.96337e-11, 1217.678, 3.06049e-11, 342.088, 3.06150e-11, 97.562, 3.33941e-14, 78.078, 2.47335e-14, 62.680, 34802.830, 41300.544
2-Chloro-1:1:1-trifluoroethane,              75-88-7,            HCFC-133a,                       CH2ClCF3, 4.600, 0.150, 3.34136e-11, 1372.996, 3.47142e-11, 388.019, 3.47268e-11, 110.665, 3.82120e-14, 89.342, 2.81167e-14, 71.254, 39428.633, 46810.524
 1:2-Dichloro-1-difluoroethane,             430-57-9,             HCFC-141,                     CH2ClCHClF, 1.140, 0.072, 4.07935e-12, 167.625, 4.16658e-12, 46.572, 4.16715e-12, 13.280, 4.40742e-15, 10.305, 3.32533e-15, 8.427, 4769.426, 5647.485
   1:1-Dichloro-1-fluoroethane,            1717-00-6,            HCFC-141b,                       CH3CCl2F, 9.400, 0.161, 6.58941e-11, 2707.652, 7.69775e-11, 860.419, 7.70385e-11, 245.501, 1.15176e-13, 269.290, 6.39662e-14, 162.105, 85837.852, 103034.776
   1-Chloro-1:1-difluoroethane,              75-68-3,            HCFC-142b,                       CH3CClF2, 18.000, 0.193, 1.34189e-10, 5513.961, 2.05389e-10, 2295.743, 2.06591e-10, 658.352, 6.11246e-13, 1429.135, 2.02786e-13, 513.907, 211199.145, 271078.059
3:3-Dichloro-1:1:1:2:2-pentafl,             422-56-0,           HCFC-225ca,                    CHCl2CF2CF3, 1.900, 0.219, 1.19592e-11, 491.416, 1.22253e-11, 136.649, 1.22275e-11, 38.966, 1.30212e-14, 30.444, 9.78751e-15, 24.804, 13971.047, 16551.881
1:3-Dichloro-1:1:2:2:3-pentafl,             507-55-1,           HCFC-225cb,                  CHClFCF2CClF2, 5.900, 0.293, 4.77844e-11, 1963.507, 5.07764e-11, 567.555, 5.07997e-11, 161.885, 5.81655e-14, 135.995, 4.13719e-14, 104.846, 57474.494, 68334.697
