yr	CERES	CESM2	CanESM5	EC-Earth3	ECHAM	GFDL	HadGEM3	IPSL	multimodel
2001	-0.641684199	-0.248402588	0.122983333	-0.245626662	-0.067548088	-0.082236427	-0.320034734	-0.008643046	-0.121358316
2002	0.018472698	0.205061728	0.026301667	0.101032967	0.384011312	0.21173759	0.094807832	-0.019618677	0.143333488
2003	0.209573495	0.021277152	-0.076035833	0.204703866	0.169919486	0.073571408	0.244989518	0.070225541	0.101235877
2004	0.090626982	-0.004332773	-0.113544167	0.094924172	0.218786271	0.236859805	-0.106450941	-0.103061009	0.031883051
2005	-0.099245702	0.045950813	0.008469167	0.009309073	0.001185203	-0.058564631	0.099885615	-0.005196451	0.014434113
2006	-0.122204929	-0.006457414	0.041831667	0.093924323	0.09783178	0.048953061	-0.04227412	0.114770013	0.049797044
2007	0.249584086	-0.178098646	-0.074033333	-0.195679181	0.13948852	0.113098971	-0.10774213	-0.214049002	-0.073859257
2008	-0.118456569	-0.472955201	-0.15355	-0.309964009	0.018499476	-0.392638729	-0.542611226	0.059557509	-0.256237454
2009	-0.497149891	-0.22904475	-0.169975	-0.430115556	-0.251520009	-0.120850279	-0.158049289	-0.22850067	-0.226865079
2010	0.165462631	-0.032011585	-0.188283333	-0.095844394	-0.198877374	0.174965164	-0.299442336	0.058141925	-0.083050276
2011	-0.17602852	-0.041368663	-0.2598975	-0.000806735	0.053036955	-0.249053537	-0.222258986	-0.371120707	-0.155924168
2012	-0.154175888	-0.218020396	-0.293145	-0.319431271	-0.329635995	-0.490619086	-0.188594283	-0.310208575	-0.307093515
2013	-0.150664901	-0.136012314	0.091201667	-0.004041188	-0.130584326	-0.30379891	-0.16404773	-0.058800477	-0.10086904
2014	-0.017272478	-0.154343245	0.133140833	0.308823091	-0.084632014	-0.032339276	0.068387008	0.302395737	0.077347448
2015	0.152913081	0.532138711	-0.0998875	0.097341736	-0.017277217	-0.026790957	0.220738919	0.137736244	0.120571419
2016	0.548428131	0.582790316	0.294249167	0.389384724	-0.220814077	0.486664923	0.489520647	0.329368553	0.335880608
2017	0.447155931	0.280527136	0.541858333	0.371721435	0.075436569	0.427892598	0.810859869	0.087092547	0.370769784
