Date,xncna,xncnb,xncnc,xncnd,xncne,xncnf,xncng,xncnh,xncni,xncnj,xncnk,xncnl,xncnm,xncnn,xncno,xncnp,xncnq,xncnr,xncns,xncnt,xncnu,xncnv,xncnw,xncnx,xncny,xncnz,xncoa,xncob,xncoc,xncod,xncoe,xncog,xncoh,xncoi,xncoj,xncok,xncol,xncom,xncon,xncoo,xncop,xnqha,xnqhb,xnqhc,xnqhd,xnqhe,xnqhf,xnqhg,xnqhh,xnqhi,xnqhj,xnqhk,xnqhl,xnqhm,xnqhn,xnqho,xnqhp,xnqhq,xnqhr,xnqhs,xnqht,xnqhu,xnqhv,xnqhw,xnqhx,xnqhy,xnqhz,xnqia,xnqib,xnqic,xnqid,xnqie,xnqig,xnqih,xnqii,xnqij,xnqik,xnqil,xnqim,xnqin,xnqio,xnqip
1990-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008416709112056798,-0.017144874577122382,-0.018585985068500576,-0.014055889795029789,-0.01359554291851922,-0.001739612066990104,0.004632141749742027,-0.0074118320489448,0.01516845959117527,-0.021252144566634237,-0.010801473798507691,0.017696901182269315,-0.009613116133040589,0.012094727510905838,0.029840027409642218,-0.005909031450913667,0.010329551770184981,-0.024468409057582647,-0.00403254659502143,0.018710200654287235,0.01363271808403986,0.001143276114237486,-0.01282970233547275,0.010655540516385816,0.017592663259119495,0.013516092016464315,0.019547943978006393,0.01440699523722804,-0.010948776210398975,-0.02059180751821134,-0.018873825913769363,-0.0340936912901683,0.001414106157317738,-0.0018275777389435155,0.03722127997209663,0.022213538158552246,-0.008895998831942684,-0.02192053121488598,-0.0027201691866987894,0.0050957068467754356,-0.008427960454678978
1991-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07529890521420894,-0.26807975180398447,-0.159861413964804,-0.17157071025704332,-0.11529181306217602,-0.025293310577072365,-0.18252657217779858,-0.1386149940532819,0.0368722422081655,-0.2827042149294257,-0.015655437587267618,-0.03468226534889046,-0.17160135717819336,-0.05470945829890284,-0.047504907341362805,-0.057252582762869465,-0.017434633039402236,-0.225632444028712,-0.02641481299831072,-0.006307698715867699,-0.036670549913646024,0.05868882839539067,-0.254815876431618,0.03502469890828828,-0.02827829915115354,0.03758940901712599,0.02910119864359831,-0.02604715720959026,-0.05980758929701974,-0.3749526977478723,-0.3269982902307289,-0.21939600460785313,-0.06142012100806989,-0.03025990493889073,0.1362697818949103,-0.06364690948815505,-0.09728578496262708,-0.09834033021611692,-0.08327760981285233,0.024168590608914187,-0.17060095928814067
1991-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1476918432559301,-0.5525306559835127,-0.29140409408954465,-0.4077815597492367,-0.25515670228089365,-0.13353553351854167,-0.5115675091041013,-0.33151143508970365,-0.00020282021097667302,-0.49781150518917877,-0.12952226447860196,-0.19855228321233984,-0.360557869551839,-0.2218464846184056,-0.2221930071273683,-0.0929353349978506,-0.16169098176912486,-0.6149214381004713,-0.21833947494614456,-0.16578219738022718,-0.06797741898999252,0.06993865084835309,-0.5646051747111461,-0.0026292443211201797,-0.29769152676284133,-0.0020554205512097654,-0.08502182687127763,-0.09993956740382394,-0.1977657146886518,-0.7083557656514281,-0.8310654714857187,-0.3815552949268323,-0.27009617270849745,-0.16630786487133617,-0.09611907426687011,-0.2627943339757413,-0.24218983974939387,-0.17381202363278514,-0.2654170914436465,0.019527214741870084,-0.36591716245772027
1991-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1495300769276808,-0.6595815097614334,-0.27300396611597766,-0.5397854498005915,-0.3297811046097982,-0.18489703563578042,-0.7054889190869554,-0.5178782492653746,-0.0787108586919177,-0.635134777542207,-0.22542218382736304,-0.34800931433256405,-0.36563383228833174,-0.3004314922218345,-0.33294080786620756,-0.21728429822896014,-0.33208126033163426,-0.765574805036222,-0.3779867618423869,-0.3226761364830336,-0.13244438332673739,-0.014533084143944497,-0.6131366061583032,-0.024075163874503914,-0.5127856471616794,-0.014240687497197398,-0.1643747800008811,-0.09379686935079447,-0.19954748353556961,-0.760441636627634,-1.0399667298875896,-0.47925116431218456,-0.37434381240863007,-0.26283559571102294,-0.2597330198404319,-0.45116908414835555,-0.3565247970392771,-0.23545252659753524,-0.42285784565127166,0.02891032767304318,-0.48021631565266193
1991-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24670094299905354,-0.7708740490764793,-0.33159757061930445,-0.5914839877043928,-0.5093229548195932,-0.2704522521599933,-0.9304224543513858,-0.678401024933272,-0.23781298423541578,-0.7549995574395627,-0.3939028217709921,-0.3898881801726451,-0.41659209220423726,-0.35213590794366234,-0.40094169569902277,-0.4250499751800416,-0.49484005343371185,-0.8627549501400601,-0.49483902103073296,-0.5096882255546703,-0.14719429552036906,-0.2338930587512895,-0.6740380480375183,-0.05037894385575994,-0.6117902157627645,-0.07970380490133258,-0.3184651450928295,-0.09261471066054983,-0.21462300619687957,-0.8686217012656802,-1.122733440116109,-0.662860062451511,-0.5266038154579166,-0.294417572446485,-0.36786990178333157,-0.6558307828713291,-0.5271058754989569,-0.2868822566762101,-0.4954133484631203,-0.026228112549273055,-0.5563494259935929
1991-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29460458272421663,-0.842739217146791,-0.374428283855825,-0.6946308670019339,-0.6988676238577535,-0.3042212356607682,-1.0773361882090955,-0.8430886132294103,-0.4288558564487314,-0.8265021937852453,-0.5652110648157278,-0.39541083456289167,-0.4720549876484743,-0.37443320817889475,-0.4153382675140302,-0.5815441680580661,-0.6971604055073325,-0.9037967040215397,-0.6479995873300367,-0.6845064804223532,-0.19058597347329598,-0.5079173015991308,-0.7208412399248924,-0.07991664568206104,-0.5972699387784058,-0.14692458417819906,-0.4042261542269964,-0.13894556212323586,-0.1772883182260342,-1.050363349155362,-1.1043632278168387,-0.8574220664033549,-0.6693444275186256,-0.27298798732141755,-0.4494533273006625,-0.8332548537378685,-0.8022338385609603,-0.31201581968838704,-0.4584356913080669,-0.053550332337366786,-0.6436933788949525
1991-07-15,-0.005484990583774986,-0.047233982772444644,-0.016942118150823155,-0.01767932079735725,-0.0506078119554069,-0.011976622295620106,-0.01789187168635561,-0.02977613894741329,0.0032154677433017427,-0.010140177067258928,-0.020782901412186496,-0.00031397602801565977,-0.04127136708498576,-0.01802421210236878,-0.014246447986184886,-0.005590738906611306,-0.03434645948049279,-0.01501021354433068,-0.024949792732867418,-0.022166542475984152,0.0003221712653334226,-0.0007831499752605225,-0.013463735142881265,-0.022186438120140484,-0.004696491038383945,-0.029302894614793625,-0.009755388095168092,-0.016321429801900694,0.00026114292659664746,-0.040094611515047826,-0.020199060906433513,-0.02813007332590038,-0.026269905182416786,0.007003637218103743,-0.008300561089482957,-0.04003594201008278,-0.023171128673663045,-0.03238738247288513,-0.019365488073650603,2.4112966133088786e-05,-0.0008728853147112215,-0.37978891135964693,-0.8927075265362684,-0.39073680623731466,-0.7427640920483549,-0.8844880464180577,-0.32112677903049774,-1.1092601240157642,-1.0300677904763937,-0.6639713405877496,-0.8607935125084415,-0.7501255125670309,-0.36603431212322063,-0.5076028788855896,-0.453798986950114,-0.4061671781827778,-0.6711074532245025,-0.8881479111806024,-0.8438768904236462,-0.7641524214972888,-0.7227193344006144,-0.24004543996035033,-0.8286164466282591,-0.7559708112225064,-0.1048601797087979,-0.5327674196495524,-0.2181871261677415,-0.4604794924456033,-0.2163416949601394,-0.15623617312554464,-1.238649117371906,-1.088303058733608,-1.0216297916066928,-0.7889955485657886,-0.24184359341052167,-0.4916519593369386,-1.025180109196171,-1.032518219417764,-0.3160087698583406,-0.4434029856121395,-0.09131624605084088,-0.6793922111677811
1991-08-15,-0.05815731429769964,-0.36310967908337033,-0.12947798368175809,-0.2428427155034841,-0.21758749817913656,-0.11244166674268241,-0.2831680423499976,-0.2984838280297883,-0.04695101005592447,-0.1216250156477694,-0.10254692252019355,-0.04055210781873585,-0.23261341070734057,-0.1972271223756015,-0.20436500111539382,-0.07892725051201953,-0.33905737634958116,-0.22518049060046466,-0.1382735669983223,-0.1988759793494053,-0.04794498586534996,-0.08211808753923908,-0.23257497177193212,-0.10591758409594876,-0.022723239194436983,-0.26297637656292755,-0.009447332119562106,-0.05194436900617117,-0.047839929107517325,-0.44875811581152264,-0.29061173064626894,-0.29078623860664427,-0.24198830993521772,-0.041295681104676206,-0.10739321952842541,-0.3400398080499715,-0.1312621206630916,-0.19889895136230348,-0.18624191582995672,0.018141717772136207,-0.08549055423884555,-0.4229630608431101,-0.9702718316087191,-0.40901335468399536,-0.8061886160555108,-1.036505903707657,-0.3223535373854153,-1.1038968118642891,-1.1596860866387642,-0.8473823278708479,-0.9072678346543065,-0.8835295725533568,-0.3285532118791932,-0.6028297072164716,-0.5089557855789836,-0.4065550837816832,-0.7725270750581124,-0.9901301675088362,-0.7820670184167328,-0.870780238890524,-0.7284324994978619,-0.2483453352220374,-1.018365627884687,-0.7960522611968099,-0.1419881590543641,-0.47105500954549234,-0.21892287285841028,-0.4964624357755109,-0.27819846954459093,-0.1695639593608473,-1.369895055132696,-1.068740637920772,-1.1926274940714496,-0.8513142098882892,-0.23495536072576476,-0.4925961073128596,-1.1376863090482143,-1.187412487559078,-0.364516316184533,-0.4518975566636183,-0.14952807647956473,-0.7008191416440844
1991-09-15,-0.21451262427206794,-0.5621546702365081,-0.2768122155370199,-0.5178984120048573,-0.29100905533535903,-0.2674487779539773,-0.6797169765940385,-0.5036203267261952,-0.22037209595494156,-0.42329960637046243,-0.21410435838237296,-0.21231702152012852,-0.34222152519579413,-0.42024462504372323,-0.4901578584652209,-0.30443509073011615,-0.7276053477440021,-0.6827950044926304,-0.23769933289433234,-0.39258993586436763,-0.1522551232256016,-0.24801728492265082,-0.505720377277645,-0.18742205949017476,-0.08965852249213424,-0.5359746002130651,-0.006288678076543316,-0.03604877784428578,-0.14404744423279517,-0.8747607983357439,-0.722675909446108,-0.6287568365898983,-0.5395455756497448,-0.1662087072609638,-0.218435280216018,-0.6954844851451506,-0.21068451003203512,-0.23454065833844903,-0.4611844721522178,-0.053280930295110544,-0.3397881004499312,-0.4379419816015351,-1.0353514253900336,-0.4452965070779839,-0.7993782599435253,-1.1550705303429836,-0.29404508138405283,-1.0920579179830414,-1.1488597281352322,-0.9012337982521196,-0.9338981462377216,-0.9559370919793508,-0.3001972053808396,-0.664656676703447,-0.4985447915587177,-0.39028208951831345,-0.8231075819101185,-0.988694681986806,-0.728867523966039,-0.8872141542347006,-0.7068955782353142,-0.2318489231796298,-1.0775489310835358,-0.8320355364304904,-0.1391085360279232,-0.4135148914553009,-0.18554671108411655,-0.46499174927214576,-0.2584242902550195,-0.1532546527857904,-1.416941089354211,-1.0573392732763243,-1.255003344417866,-0.8782538252027795,-0.22195405341161442,-0.45646312327843747,-1.1379035990347424,-1.1962698145814696,-0.4270646921067118,-0.4331500996003231,-0.14355470024749142,-0.7152909745256778
