species,mean,u90
CH4,0.00017475672916757873,6.207207761387641e-05
N2O,0.0007100176652551478,0.0004707586412175701
ODS,-0.00012500512605803356,-0.00011302006242177078
CO,0.00015486441650972913,0.00013103040974940267
VOC,0.0003293805536946262,0.00032758074092083077
NOx,0.001796619335549982,0.0009827412018403123
