# Time,AGWP_Ccycle,AGWP_fossilCO2,AGWP_bioCO2,AGTP_Ccycle,AGTP_fossilCO2,AGTP_bioCO2
0.000, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00, 0.000e+00
0.100, 0.000e+00, 3.611e-18, -4.635e-16, 0.000e+00, 4.652e-19, -5.971e-17
0.200, 4.695e-19, 1.077e-17, -9.201e-16, 6.048e-20, 1.374e-18, -1.168e-16
0.300, 1.844e-18, 2.142e-17, -1.370e-15, 2.359e-19, 2.707e-18, -1.714e-16
0.400, 4.528e-18, 3.549e-17, -1.813e-15, 5.749e-19, 4.443e-18, -2.237e-16
0.500, 8.895e-18, 5.293e-17, -2.250e-15, 1.121e-18, 6.563e-18, -2.735e-16
0.600, 1.529e-17, 7.368e-17, -2.680e-15, 1.913e-18, 9.049e-18, -3.212e-16
0.700, 2.403e-17, 9.769e-17, -3.104e-15, 2.985e-18, 1.188e-17, -3.666e-16
0.800, 3.542e-17, 1.249e-16, -3.522e-15, 4.366e-18, 1.505e-17, -4.100e-16
0.900, 4.971e-17, 1.552e-16, -3.934e-15, 6.082e-18, 1.853e-17, -4.514e-16
1.000, 6.715e-17, 1.886e-16, -4.340e-15, 8.157e-18, 2.230e-17, -4.909e-16
1.100, 8.798e-17, 2.251e-16, -4.741e-15, 1.061e-17, 2.637e-17, -5.284e-16
1.200, 1.124e-16, 2.645e-16, -5.135e-15, 1.345e-17, 3.069e-17, -5.642e-16
1.300, 1.406e-16, 3.069e-16, -5.524e-15, 1.670e-17, 3.528e-17, -5.982e-16
1.400, 1.727e-16, 3.522e-16, -5.908e-15, 2.036e-17, 4.010e-17, -6.306e-16
1.500, 2.089e-16, 4.003e-16, -6.286e-15, 2.444e-17, 4.515e-17, -6.613e-16
1.600, 2.493e-16, 4.511e-16, -6.658e-15, 2.895e-17, 5.042e-17, -6.905e-16
1.700, 2.941e-16, 5.047e-16, -7.026e-15, 3.390e-17, 5.589e-17, -7.182e-16
1.800, 3.433e-16, 5.610e-16, -7.389e-15, 3.927e-17, 6.155e-17, -7.445e-16
1.900, 3.971e-16, 6.199e-16, -7.746e-15, 4.508e-17, 6.738e-17, -7.693e-16
2.000, 4.555e-16, 6.815e-16, -8.099e-15, 5.132e-17, 7.339e-17, -7.929e-16
2.100, 5.186e-16, 7.456e-16, -8.447e-15, 5.798e-17, 7.956e-17, -8.151e-16
2.200, 5.864e-16, 8.122e-16, -8.790e-15, 6.507e-17, 8.587e-17, -8.361e-16
2.300, 6.590e-16, 8.812e-16, -9.128e-15, 7.257e-17, 9.232e-17, -8.559e-16
2.400, 7.365e-16, 9.527e-16, -9.462e-15, 8.048e-17, 9.890e-17, -8.746e-16
2.500, 8.188e-16, 1.027e-15, -9.792e-15, 8.879e-17, 1.056e-16, -8.922e-16
2.600, 9.060e-16, 1.103e-15, -1.012e-14, 9.750e-17, 1.124e-16, -9.087e-16
2.700, 9.981e-16, 1.181e-15, -1.044e-14, 1.066e-16, 1.193e-16, -9.241e-16
2.800, 1.095e-15, 1.262e-15, -1.075e-14, 1.160e-16, 1.263e-16, -9.386e-16
2.900, 1.197e-15, 1.345e-15, -1.107e-14, 1.259e-16, 1.334e-16, -9.522e-16
3.000, 1.304e-15, 1.430e-15, -1.137e-14, 1.360e-16, 1.406e-16, -9.648e-16
3.100, 1.415e-15, 1.518e-15, -1.168e-14, 1.465e-16, 1.479e-16, -9.766e-16
3.200, 1.532e-15, 1.607e-15, -1.198e-14, 1.574e-16, 1.552e-16, -9.876e-16
3.300, 1.653e-15, 1.699e-15, -1.228e-14, 1.685e-16, 1.626e-16, -9.977e-16
3.400, 1.780e-15, 1.792e-15, -1.257e-14, 1.800e-16, 1.700e-16, -1.007e-15
3.500, 1.910e-15, 1.888e-15, -1.286e-14, 1.917e-16, 1.775e-16, -1.016e-15
3.600, 2.046e-15, 1.986e-15, -1.314e-14, 2.037e-16, 1.850e-16, -1.024e-15
3.700, 2.186e-15, 2.085e-15, -1.342e-14, 2.160e-16, 1.926e-16, -1.031e-15
3.800, 2.331e-15, 2.187e-15, -1.370e-14, 2.286e-16, 2.002e-16, -1.037e-15
3.900, 2.481e-15, 2.290e-15, -1.398e-14, 2.413e-16, 2.078e-16, -1.043e-15
4.000, 2.635e-15, 2.395e-15, -1.425e-14, 2.543e-16, 2.154e-16, -1.049e-15
4.100, 2.794e-15, 2.502e-15, -1.452e-14, 2.675e-16, 2.231e-16, -1.053e-15
4.200, 2.957e-15, 2.611e-15, -1.478e-14, 2.809e-16, 2.308e-16, -1.058e-15
4.300, 3.124e-15, 2.722e-15, -1.504e-14, 2.945e-16, 2.384e-16, -1.061e-15
4.400, 3.296e-15, 2.834e-15, -1.530e-14, 3.082e-16, 2.461e-16, -1.064e-15
4.500, 3.472e-15, 2.948e-15, -1.555e-14, 3.222e-16, 2.538e-16, -1.067e-15
4.600, 3.653e-15, 3.063e-15, -1.581e-14, 3.362e-16, 2.615e-16, -1.069e-15
4.700, 3.837e-15, 3.181e-15, -1.606e-14, 3.504e-16, 2.692e-16, -1.071e-15
4.800, 4.025e-15, 3.300e-15, -1.630e-14, 3.647e-16, 2.769e-16, -1.073e-15
4.900, 4.218e-15, 3.420e-15, -1.654e-14, 3.791e-16, 2.845e-16, -1.073e-15
5.000, 4.414e-15, 3.542e-15, -1.678e-14, 3.937e-16, 2.922e-16, -1.074e-15
5.100, 4.615e-15, 3.666e-15, -1.702e-14, 4.083e-16, 2.998e-16, -1.074e-15
5.200, 4.819e-15, 3.791e-15, -1.726e-14, 4.230e-16, 3.074e-16, -1.074e-15
5.300, 5.026e-15, 3.918e-15, -1.749e-14, 4.377e-16, 3.150e-16, -1.073e-15
5.400, 5.238e-15, 4.046e-15, -1.772e-14, 4.525e-16, 3.225e-16, -1.073e-15
5.500, 5.453e-15, 4.175e-15, -1.794e-14, 4.674e-16, 3.301e-16, -1.071e-15
5.600, 5.672e-15, 4.306e-15, -1.817e-14, 4.822e-16, 3.376e-16, -1.070e-15
5.700, 5.894e-15, 4.439e-15, -1.839e-14, 4.971e-16, 3.450e-16, -1.068e-15
5.800, 6.119e-15, 4.572e-15, -1.861e-14, 5.121e-16, 3.525e-16, -1.066e-15
5.900, 6.348e-15, 4.707e-15, -1.882e-14, 5.270e-16, 3.599e-16, -1.064e-15
6.000, 6.580e-15, 4.844e-15, -1.904e-14, 5.419e-16, 3.672e-16, -1.062e-15
6.100, 6.815e-15, 4.981e-15, -1.925e-14, 5.568e-16, 3.745e-16, -1.059e-15
6.200, 7.053e-15, 5.120e-15, -1.946e-14, 5.717e-16, 3.818e-16, -1.056e-15
6.300, 7.295e-15, 5.261e-15, -1.966e-14, 5.866e-16, 3.890e-16, -1.053e-15
6.400, 7.539e-15, 5.402e-15, -1.987e-14, 6.014e-16, 3.962e-16, -1.049e-15
6.500, 7.786e-15, 5.545e-15, -2.007e-14, 6.162e-16, 4.034e-16, -1.046e-15
6.600, 8.036e-15, 5.688e-15, -2.027e-14, 6.309e-16, 4.105e-16, -1.042e-15
6.700, 8.289e-15, 5.834e-15, -2.047e-14, 6.455e-16, 4.175e-16, -1.038e-15
6.800, 8.545e-15, 5.980e-15, -2.067e-14, 6.601e-16, 4.245e-16, -1.034e-15
6.900, 8.803e-15, 6.127e-15, -2.086e-14, 6.747e-16, 4.315e-16, -1.030e-15
7.000, 9.064e-15, 6.276e-15, -2.105e-14, 6.891e-16, 4.384e-16, -1.026e-15
7.100, 9.327e-15, 6.425e-15, -2.124e-14, 7.035e-16, 4.452e-16, -1.022e-15
7.200, 9.593e-15, 6.576e-15, -2.143e-14, 7.178e-16, 4.520e-16, -1.017e-15
7.300, 9.861e-15, 6.727e-15, -2.162e-14, 7.319e-16, 4.587e-16, -1.012e-15
7.400, 1.013e-14, 6.880e-15, -2.180e-14, 7.460e-16, 4.654e-16, -1.008e-15
7.500, 1.040e-14, 7.034e-15, -2.198e-14, 7.600e-16, 4.720e-16, -1.003e-15
7.600, 1.068e-14, 7.189e-15, -2.216e-14, 7.739e-16, 4.786e-16, -9.977e-16
7.700, 1.096e-14, 7.345e-15, -2.234e-14, 7.876e-16, 4.851e-16, -9.926e-16
7.800, 1.124e-14, 7.501e-15, -2.252e-14, 8.013e-16, 4.916e-16, -9.875e-16
7.900, 1.152e-14, 7.659e-15, -2.269e-14, 8.148e-16, 4.980e-16, -9.823e-16
8.000, 1.180e-14, 7.818e-15, -2.286e-14, 8.282e-16, 5.043e-16, -9.770e-16
8.100, 1.208e-14, 7.977e-15, -2.304e-14, 8.414e-16, 5.106e-16, -9.716e-16
8.200, 1.237e-14, 8.138e-15, -2.320e-14, 8.545e-16, 5.169e-16, -9.662e-16
8.300, 1.266e-14, 8.299e-15, -2.337e-14, 8.675e-16, 5.230e-16, -9.608e-16
8.400, 1.295e-14, 8.462e-15, -2.354e-14, 8.804e-16, 5.291e-16, -9.553e-16
8.500, 1.324e-14, 8.625e-15, -2.370e-14, 8.931e-16, 5.352e-16, -9.497e-16
8.600, 1.354e-14, 8.789e-15, -2.387e-14, 9.056e-16, 5.412e-16, -9.441e-16
8.700, 1.383e-14, 8.954e-15, -2.403e-14, 9.181e-16, 5.471e-16, -9.385e-16
8.800, 1.413e-14, 9.119e-15, -2.419e-14, 9.303e-16, 5.530e-16, -9.328e-16
8.900, 1.443e-14, 9.286e-15, -2.435e-14, 9.424e-16, 5.588e-16, -9.271e-16
9.000, 1.473e-14, 9.453e-15, -2.450e-14, 9.544e-16, 5.646e-16, -9.214e-16
9.100, 1.503e-14, 9.621e-15, -2.466e-14, 9.662e-16, 5.703e-16, -9.157e-16
9.200, 1.533e-14, 9.790e-15, -2.481e-14, 9.779e-16, 5.759e-16, -9.100e-16
9.300, 1.564e-14, 9.960e-15, -2.497e-14, 9.894e-16, 5.815e-16, -9.042e-16
9.400, 1.594e-14, 1.013e-14, -2.512e-14, 1.001e-15, 5.870e-16, -8.984e-16
9.500, 1.625e-14, 1.030e-14, -2.527e-14, 1.012e-15, 5.925e-16, -8.926e-16
9.600, 1.656e-14, 1.047e-14, -2.542e-14, 1.023e-15, 5.979e-16, -8.869e-16
9.700, 1.686e-14, 1.065e-14, -2.556e-14, 1.034e-15, 6.032e-16, -8.811e-16
9.800, 1.717e-14, 1.082e-14, -2.571e-14, 1.044e-15, 6.085e-16, -8.753e-16
9.900, 1.749e-14, 1.099e-14, -2.585e-14, 1.055e-15, 6.137e-16, -8.695e-16
10.000, 1.780e-14, 1.117e-14, -2.600e-14, 1.065e-15, 6.189e-16, -8.637e-16
10.100, 1.811e-14, 1.134e-14, -2.614e-14, 1.076e-15, 6.240e-16, -8.580e-16
10.200, 1.842e-14, 1.152e-14, -2.628e-14, 1.086e-15, 6.291e-16, -8.522e-16
10.300, 1.874e-14, 1.170e-14, -2.642e-14, 1.095e-15, 6.341e-16, -8.465e-16
10.400, 1.905e-14, 1.187e-14, -2.656e-14, 1.105e-15, 6.390e-16, -8.408e-16
