Name,CAS,Acronym,Formula,Lifetime (yr),Radiative efficiency (W m-2 ppb-1),AGWP20 (W m-2 yr kg-1),GWP20,AGWP100 (W m-2 yr kg-1),GWP100,AGWP500 (W m-2 yr kg-1),GWP500,AGTP50 (K kg-1),GTP50,AGTP100 (K kg-1),GTP100,CGTP50 (yr),CGTP100 (yr)
"(e)-1,2-dichloro-1,2-difluoroethene","=""598-88-9""",CFC 1112,CClF=CClF,0.019,0.013,1.11e-14,0.454,1.13e-14,0.126,1.13e-14,0.036,1.18e-17,0.028,8.96e-18,0.023,12.9,15.3
"1,1-dichloro-2,2-difluoroethene","=""79-35-6""",CFC 1112a,CCl2=CF2,0.006,0.007,1.84e-15,0.076,1.88e-15,0.021,1.88e-15,0.006,1.97e-18,0.005,1.49e-18,0.004,2.16,2.55
Dichlorofluoromethane,"=""75-43-4""",HCFC-21,CHCl2F,1.7,0.145,1.4e-11,575.0,1.43e-11,160.0,1.43e-11,45.6,1.52e-14,35.5,1.14e-14,29.0,16300.0,19400.0
Chlorodifluoromethane,"=""75-45-6""",HCFC-22,CHClF2,11.9,0.214,1.39e-10,5690.0,1.75e-10,1960.0,1.76e-10,560.0,3.36e-13,785.0,1.49e-13,379.0,192000.0,234000.0
Chlorofluoromethane,"=""593-70-4""",HCFC-31,CH2ClF,1.2,0.068,6.96e-12,286.0,7.11e-12,79.4,7.11e-12,22.6,7.52e-15,17.6,5.67e-15,14.4,8130.0,9630.0
"1,1,2,2-tetrachloro-1-fluoroethane","=""354-14-3""",HCFC-121,CHCl2CCl2F,1.11,0.146,5.11e-12,210.0,5.22e-12,58.3,5.22e-12,16.6,5.52e-15,12.9,4.16e-15,10.5,5970.0,7070.0
"1,2,2-trichloro-1,1-difluoroethane","=""354-21-2""",HCFC-122,CHCl2CClF2,0.9,0.159,4.94e-12,203.0,5.05e-12,56.4,5.05e-12,16.1,5.33e-15,12.5,4.03e-15,10.2,5780.0,6850.0
"1,1,2-trichloro-1,2-difluoroethane","=""354-15-4""",HCFC-122a,CHClFCCl2F,3.1,0.201,2.14e-11,879.0,2.19e-11,245.0,2.19e-11,69.9,2.36e-14,55.3,1.76e-14,44.7,25000.0,29600.0
"2,2-dichloro-1,1,1-trifluoroethane","=""306-83-2""",HCFC-123,CHCl2CF3,1.3,0.16,7.92e-12,325.0,8.09e-12,90.4,8.09e-12,25.8,8.57e-15,20.0,6.46e-15,16.4,9260.0,11000.0
"1,2-dichloro-1,1,2-trifluoroethane","=""354-23-4""",HCFC-123a,CHClFCClF2,4.0,0.227,3.42e-11,1410.0,3.53e-11,395.0,3.53e-11,113.0,3.85e-14,90.0,2.85e-14,72.3,40200.0,47700.0
"2-chloro-1,1,1,2-tetrafluoroethane","=""2837-89-0""",HCFC-124,CHClFCF3,5.9,0.207,5.03e-11,2070.0,5.34e-11,597.0,5.34e-11,170.0,6.12e-14,143.0,4.35e-14,110.0,60500.0,71900.0
"1-chloro-1,1,2,2-tetrafluoroethane","=""354-25-6""",HCFC-124a,CHF2CClF2,17.0,0.25,1.24e-10,5110.0,1.85e-10,2070.0,1.86e-10,592.0,5.21e-13,1220.0,1.77e-13,448.0,192000.0,244000.0
"1,2-dichloro-1,2-difluoroethane","=""431-06-1""",HCFC-132,CHClFCHClF,1.73,0.143,1.07e-11,440.0,1.09e-11,122.0,1.09e-11,34.9,1.16e-14,27.2,8.76e-15,22.2,12500.0,14800.0
"1,1-dichloro-2,2-difluoroethane","=""471-43-2""",HCFC-132a,CHCl2CHF2,1.12,0.127,6.17e-12,253.0,6.3e-12,70.4,6.3e-12,20.1,6.66e-15,15.6,5.03e-15,12.7,7210.0,8540.0
"1,1-dichloro-1,2-difluoroethane","=""1842-05-3""",HCFC-132c,CH2FCCl2F,4.1,0.169,2.96e-11,1220.0,3.06e-11,342.0,3.06e-11,97.6,3.34e-14,78.1,2.47e-14,62.7,34800.0,41300.0
"2-chloro-1,1,1-trifluoroethane","=""75-88-7""",HCFC-133a,CH2ClCF3,4.6,0.15,3.34e-11,1370.0,3.47e-11,388.0,3.47e-11,111.0,3.82e-14,89.3,2.81e-14,71.3,39400.0,46800.0
"1,2-dichloro-1-fluoroethane","=""430-57-9""",HCFC-141,CH2ClCHClF,1.14,0.072,4.08e-12,168.0,4.17e-12,46.6,4.17e-12,13.3,4.41e-15,10.3,3.33e-15,8.43,4770.0,5650.0
"1,1-dichloro-1-fluoroethane","=""1717-00-6""",HCFC-141b,CH3CCl2F,9.4,0.161,6.59e-11,2710.0,7.7e-11,860.0,7.7e-11,246.0,1.15e-13,269.0,6.4e-14,162.0,85800.0,103000.0
"1-chloro-1,1-difluoroethane","=""75-68-3""",HCFC-142b,CH3CClF2,18.0,0.193,1.34e-10,5510.0,2.05e-10,2300.0,2.07e-10,658.0,6.11e-13,1430.0,2.03e-13,514.0,211000.0,271000.0
"3,3-dichloro-1,1,1,2,2-pentafluoropropane","=""422-56-0""",HCFC-225ca,CHCl2CF2CF3,1.9,0.219,1.2e-11,491.0,1.22e-11,137.0,1.22e-11,39.0,1.3e-14,30.4,9.79e-15,24.8,14000.0,16600.0
"1,3-dichloro-1,1,2,2,3-pentafluoropropane","=""507-55-1""",HCFC-225cb,CHClFCF2CClF2,5.9,0.293,4.78e-11,1960.0,5.08e-11,568.0,5.08e-11,162.0,5.82e-14,136.0,4.14e-14,105.0,57500.0,68300.0
"(e)-1-chloro-3,3,3-trifluoroprop-1-ene","=""102687-65-0""",HCFO-1233zd(E),(E)-CF3CH=CHCl,0.116,0.065,3.4e-13,14.0,3.47e-13,3.88,3.47e-13,1.11,3.64e-16,0.851,2.76e-16,0.7,398.0,471.0
"1-chloro-3,3,3-trifluoroprop-1-ene","=""99728-16-2""",HCFO-1233zd(Z),(Z)-CF3CH=CHCl,0.036,0.025,3.98e-14,1.64,4.06e-14,0.454,4.06e-14,0.129,4.25e-17,0.099,3.23e-17,0.082,46.6,55.2
(e)-1-chloro-2-fluoroethene,"=""460-16-2""",,(E/Z)-CHCl=CHF,0.005,0.001,3.2e-16,0.013,3.27e-16,0.004,3.27e-16,0.001,3.42e-19,0.001,2.6e-19,0.001,0.375,0.444
Trifluoromethane,"=""75-46-7""",HFC-23,CHF3,228.0,0.191,3.01e-10,12400.0,1.31e-09,14600.0,3.3e-09,10500.0,6.6e-12,15400.0,5.95e-12,15100.0,,
Difluoromethane,"=""75-10-5""",HFC-32,CH2F2,5.4,0.111,6.55e-11,2690.0,6.9e-11,771.0,6.9e-11,220.0,7.75e-14,181.0,5.61e-14,142.0,78200.0,92900.0
Fluoromethane,"=""593-53-3""",HFC-41,CH3F,2.8,0.025,1.18e-11,485.0,1.21e-11,135.0,1.21e-11,38.6,1.3e-14,30.4,9.72e-15,24.6,13800.0,16400.0
