Name,CAS,Acronym,Formula,Lifetime (yr),Radiative efficiency (W m-2 ppb-1),AGWP20 (W m-2 yr kg-1),GWP20,AGWP100 (W m-2 yr kg-1),GWP100,AGWP500 (W m-2 yr kg-1),GWP500,AGTP50 (K kg-1),GTP50,AGTP100 (K kg-1),GTP100,CGTP50 (yr),CGTP100 (yr)
"2-bromo-1,1,1-trifluoroethane","=""421-06-7""",Halon-2301,CH2BrCF3,3.2,0.135,1.55e-11,635.0,1.59e-11,177.0,1.59e-11,50.6,1.71e-14,40.0,1.28e-14,32.4,18100.0,21400.0
"2-bromo-2-chloro-1,1,1-trifluoroethane","=""151-67-7""",Halon-2311,CHBrClCF3,1.0,0.133,3.94e-12,162.0,4.03e-12,45.0,4.03e-12,12.8,4.25e-15,9.95,3.21e-15,8.14,4610.0,5460.0
"2-bromo-1,1,1,2-tetrafluoroethane","=""124-72-1""",Halon-2401,CHBrFCF3,2.9,0.189,1.76e-11,723.0,1.8e-11,201.0,1.8e-11,57.5,1.94e-14,45.3,1.45e-14,36.7,20600.0,24400.0
"1,2-dibromo-1,1,2,2-tetrafluoroethane","=""124-73-2""",Halon-2402,CBrF2CBrF2,28.0,0.312,9.9e-11,4070.0,1.94e-10,2170.0,2e-10,639.0,7.91e-13,1850.0,2.77e-13,702.0,,
Tribromomethane,"=""75-25-2""",,CHBr3,0.156,0.006,2.19e-14,0.901,2.24e-14,0.25,2.24e-14,0.071,2.35e-17,0.055,1.78e-17,0.045,25.7,30.4
Bromochloromethane,"=""74-97-5""",Halon-1011,CH2BrCl,0.452,0.02,4.15e-13,17.1,4.24e-13,4.74,4.24e-13,1.35,4.46e-16,1.04,3.37e-16,0.855,486.0,575.0
Bromoethane,"=""74-96-4""",,CH3CH2Br,0.137,0.006,4.27e-14,1.75,4.36e-14,0.487,4.36e-14,0.139,4.57e-17,0.107,3.46e-17,0.088,50.0,59.1
"1,2-dibromoethane","=""106-93-4""",EDB,CH2BrCH2Br,0.244,0.012,8.94e-14,3.67,9.13e-14,1.02,9.13e-14,0.291,9.58e-17,0.224,7.26e-17,0.184,105.0,124.0
1-bromopropane,"=""106-94-5""",,CH3CH2CH2Br,0.041,0.002,4.57e-15,0.188,4.66e-15,0.052,4.66e-15,0.015,4.88e-18,0.011,3.71e-18,0.009,5.35,6.33
2-bromopropane,"=""75-26-3""",,CH3CHBrCH3,0.055,0.004,1.1e-14,0.453,1.12e-14,0.126,1.12e-14,0.036,1.18e-17,0.028,8.93e-18,0.023,12.9,15.3
Nitrogen trifluoride,"=""7783-54-2""",,NF3,569.0,0.204,3.26e-10,13400.0,1.56e-09,17400.0,5.72e-09,18200.0,7.81e-12,18200.0,7.89e-12,20000.0,,
Pentadecafluorotriethylamine,"=""359-70-6""",,N(C2F5)3,1000.0,0.61,1.87e-10,7700.0,9.23e-10,10300.0,3.86e-09,12300.0,4.61e-12,10800.0,4.81e-12,12200.0,,
Perfluorotripropylamine,"=""338-83-0""",PTPA,N(CF2CF2CF3)3,1000.0,0.75,1.64e-10,6750.0,8.08e-10,9030.0,3.38e-09,10800.0,4.03e-12,9430.0,4.21e-12,10700.0,,
Heptacosafluorotributylamine,"=""311-89-7""",PFTBA,N(CF2CF2CF2CF3)3,1000.0,0.907,1.54e-10,6340.0,7.59e-10,8490.0,3.17e-09,10100.0,3.79e-12,8860.0,3.96e-12,10000.0,,
Perfluorotripentylamine,"=""338-84-1""",,N(CF2CF2CF2CF2CF3)3,1000.0,0.95,1.32e-10,5420.0,6.5e-10,7260.0,2.72e-09,8650.0,3.24e-12,7580.0,3.39e-12,8580.0,,
Heptafluoroisobutyronitrile,"=""42532-60-5""",,(CF3)2CFCN,34.5,0.248,1.11e-10,4580.0,2.46e-10,2750.0,2.62e-10,835.0,1.09e-12,2560.0,4.31e-13,1090.0,,
Sulfur hexafluoride,"=""2551-62-4""",,SF6,3200.0,0.567,4.45e-10,18300.0,2.25e-09,25200.0,1.07e-08,34100.0,1.12e-11,26200.0,1.21e-11,30600.0,,
Pentafluoro(trifluoromethyl)-lambda6-sulfane,"=""373-80-8""",,SF5CF3,800.0,0.585,3.39e-10,13900.0,1.65e-09,18500.0,6.61e-09,21100.0,8.27e-12,19300.0,8.54e-12,21600.0,,
Sulfuryl fluoride,"=""2699-79-8""",,SO2F2,36.0,0.211,1.83e-10,7510.0,4.14e-10,4630.0,4.44e-10,1410.0,1.87e-12,4360.0,7.56e-13,1920.0,,
Tetrafluoromethane,"=""75-73-0""",PFC-14,CF4,50000.0,0.099,1.29e-10,5300.0,6.6e-10,7380.0,3.32e-09,10600.0,3.28e-12,7660.0,3.57e-12,9050.0,,
Hexafluoroethane,"=""76-16-4""",PFC-116,C2F6,10000.0,0.261,2.18e-10,8940.0,1.11e-09,12400.0,5.5e-09,17500.0,5.51e-12,12900.0,5.99e-12,15200.0,,
Octafluoropropane,"=""76-19-7""",PFC-218,C3F8,2600.0,0.27,1.65e-10,6770.0,8.31e-10,9290.0,3.89e-09,12400.0,4.13e-12,9660.0,4.44e-12,11200.0,,
Hexafluorocyclobutene,"=""697-11-0""",,cyc (-CF=CFCF2CF2-),1.02,0.3,1.1e-11,453.0,1.13e-11,126.0,1.13e-11,35.9,1.19e-14,27.8,8.98e-15,22.8,12900.0,15300.0
Octafluorocyclobutane,"=""115-25-3""",PFC-C-318,cyc (-CF2CF2CF2CF2-),3200.0,0.314,1.8e-10,7400.0,9.12e-10,10200.0,4.33e-09,13800.0,4.53e-12,10600.0,4.88e-12,12400.0,,
Decafluorobutane,"=""355-25-9""",PFC-31-10,n-C4F10,2600.0,0.369,1.78e-10,7300.0,8.97e-10,10000.0,4.2e-09,13400.0,4.46e-12,10400.0,4.78e-12,12100.0,,
Octafluorocyclopentene,"=""559-40-0""",,cyc (-CF2CF2CFCF2CF2-),1.1,0.246,6.84e-12,281.0,6.98e-12,78.1,6.99e-12,22.3,7.39e-15,17.3,5.57e-15,14.1,8000.0,9470.0
Dodecafluoropentane,"=""678-26-2""",PFC-41-12,n-C5F12,4100.0,0.408,1.63e-10,6680.0,8.25e-10,9220.0,3.97e-09,12700.0,4.1e-12,9580.0,4.43e-12,11200.0,,
Tetradecafluorohexane,"=""355-42-0""",PFC-51-14,n-C6F14,3100.0,0.449,1.52e-10,6260.0,7.71e-10,8620.0,3.66e-09,11600.0,3.83e-12,8960.0,4.12e-12,10500.0,,
Hexadecafluoroheptane,"=""335-57-9""",PFC-61-16,n-C7F16,3000.0,0.503,1.49e-10,6120.0,7.52e-10,8410.0,3.56e-09,11300.0,3.74e-12,8740.0,4.02e-12,10200.0,,
Octadecafluorooctane,"=""307-34-6""",PFC-71-18,n-C8F18,3000.0,0.558,1.46e-10,6010.0,7.39e-10,8260.0,3.5e-09,11100.0,3.67e-12,8590.0,3.95e-12,10000.0,,
"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene","=""306-94-5""",PFC-91-18,C10F18,2000.0,0.537,1.33e-10,5480.0,6.69e-10,7480.0,3.07e-09,9780.0,3.33e-12,7790.0,3.56e-12,9010.0,,
"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene","=""60433-11-6""",,Z-C10F18,2000.0,0.56,1.39e-10,5710.0,6.98e-10,7800.0,3.2e-09,10200.0,3.47e-12,8120.0,3.71e-12,9400.0,,
"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene","=""60433-12-7""",,E-C10F18,2000.0,0.512,1.27e-10,5220.0,6.37e-10,7120.0,2.92e-09,9310.0,3.17e-12,7420.0,3.39e-12,8580.0,,
"1,1,2,2-tetrafluoroethene","=""116-14-3""",PFC-1114,CF2=CF2,0.003,0.002,3.47e-16,0.014,3.54e-16,0.004,3.54e-16,0.001,3.71e-19,0.001,2.81e-19,0.001,0.406,0.481
"1,1,2,3,3,3-hexafluoroprop-1-ene","=""116-15-4""",PFC-1216,CF3CF=CF2,0.015,0.013,7.88e-15,0.324,8.04e-15,0.09,8.04e-15,0.026,8.42e-18,0.02,6.39e-18,0.016,9.23,10.9
"1,1,2,3,4,4-hexafluorobuta-1,3-diene","=""685-63-2""",,CF2=CFCF=CF2,0.003,0.003,3.47e-16,0.014,3.54e-16,0.004,3.54e-16,0.001,3.71e-19,0.001,2.82e-19,0.001,0.407,0.481
Octafluoro-1-butene,"=""357-26-6""",,CF3CF2CF=CF2,0.016,0.019,8.91e-15,0.366,9.09e-15,0.102,9.09e-15,0.029,9.52e-18,0.022,7.22e-18,0.018,10.4,12.3
Octafluoro-2-buene,"=""360-89-4""",,CF3CF=CFCF3,0.085,0.07,1.73e-13,7.1,1.76e-13,1.97,1.76e-13,0.562,1.85e-16,0.432,1.4e-16,0.355,202.0,239.0
Difluoromethoxy(trifluoro)methane,"=""3822-68-2""",HFE-125,CHF2OCF3,135.0,0.417,3.28e-10,13500.0,1.28e-09,14300.0,2.41e-09,7680.0,6.5e-12,15200.0,5.17e-12,13100.0,,
Difluoromethoxy(difluoro)methane,"=""1691-17-4""",HFE-134,CHF2OCHF2,26.9,0.449,3.1e-10,12700.0,5.93e-10,6630.0,6.1e-10,1940.0,2.37e-12,5530.0,8.14e-13,2060.0,,
Trifluoro(methoxy)methane,"=""421-14-7""",HFE-143a,CH3OCF3,4.9,0.189,5.28e-11,2170.0,5.51e-11,616.0,5.51e-11,176.0,6.11e-14,143.0,4.47e-14,113.0,62600.0,74300.0
"1,1,1,2-tetrafluoro-2-(trifluoromethoxy)ethane","=""2356-62-9""",HFE-227ea,CF3CHFOCF3,54.8,0.459,2.38e-10,9800.0,6.73e-10,7520.0,8.07e-10,2570.0,3.3e-12,7720.0,1.75e-12,4440.0,,
"2-chloro-1-(difluoromethoxy)-1,1,2-trifluoroethane","=""13838-16-9""",HCFE-235ca2,CHF2OCF2CHFCl,4.42,0.409,5.64e-11,2320.0,5.85e-11,654.0,5.85e-11,186.0,6.42e-14,150.0,4.73e-14,120.0,66500.0,78900.0
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoroethane","=""26675-46-7""",HCFE-235da2,CHF2OCHClCF3,3.5,0.426,4.69e-11,1930.0,4.82e-11,539.0,4.82e-11,154.0,5.22e-14,122.0,3.88e-14,98.4,54900.0,65100.0
"2-(difluoromethoxy)-1,1,1,2-tetrafluoroethane","=""57041-67-5""",HFE-236ea2,CHF2OCHFCF3,14.1,0.464,1.71e-10,7020.0,2.32e-10,2590.0,2.33e-10,741.0,5.37e-13,1260.0,2.06e-13,521.0,249000.0,308000.0
"1,1,1-trifluoro-2-(trifluoromethoxy)ethane","=""20193-67-3""",HFE-236fa,CF3CH2OCF3,7.5,0.371,8.94e-11,3670.0,9.87e-11,1100.0,9.88e-11,315.0,1.25e-13,291.0,8.11e-14,205.0,111000.0,133000.0
"1,1,1,2,2-pentafluoro-2-methoxyethane","=""22410-44-2""",HFE-245cb2,CF3CF2OCH3,5.0,0.336,6.4e-11,2630.0,6.69e-11,747.0,6.69e-11,213.0,7.43e-14,174.0,5.42e-14,137.0,75900.0,90100.0
"1,1-difluoro-2-(trifluoromethoxy)ethane","=""84011-15-4""",HFE-245fa1,CHF2CH2OCF3,6.7,0.314,7.72e-11,3170.0,8.36e-11,934.0,8.36e-11,266.0,9.98e-14,233.0,6.83e-14,173.0,94300.0,112000.0
"2-(difluoromethoxy)-1,1,1-trifluoroethane","=""1885-48-9""",HFE-245fa2,CHF2OCH2CF3,5.5,0.36,7.45e-11,3060.0,7.86e-11,878.0,7.86e-11,251.0,8.86e-14,207.0,6.39e-14,162.0,89000.0,106000.0
"2,2,3,3,3-pentafluoropropan-1-ol","=""422-05-9""",,CF3CF2CH2OH,0.471,0.164,3e-12,123.0,3.07e-12,34.3,3.07e-12,9.78,3.23e-15,7.54,2.44e-15,6.19,3520.0,4160.0
"1,1,2,2-tetrafluoro-1-methoxyethane","=""425-88-7""",HFE-254cb1,CH3OCF2CHF2,2.5,0.26,2.87e-11,1180.0,2.93e-11,328.0,2.93e-11,93.5,3.14e-14,73.4,2.35e-14,59.6,33500.0,39700.0
"1,1,1-trifluoro-2-methoxyethane","=""460-43-5""",HFE-263mf,CF3CH2OCH3,0.077,0.046,1.81e-13,7.43,1.84e-13,2.06,1.84e-13,0.588,1.93e-16,0.452,1.47e-16,0.371,212.0,250.0
Trifluoromethoxyethane,"=""690-22-2""",HFE-263m1,CF3OCH2CH3,0.397,0.126,2.56e-12,105.0,2.61e-12,29.2,2.61e-12,8.32,2.74e-15,6.42,2.08e-15,5.27,2990.0,3540.0
"3,3,3-trifluoropropan-1-ol","=""2240-88-2""",,CF3CH2CH2OH,0.041,0.026,5.44e-14,2.23,5.55e-14,0.62,5.55e-14,0.177,5.81e-17,0.136,4.41e-17,0.112,63.7,75.3
"1,1,1,2,2-pentafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane","=""134769-21-4""",HFE-329mcc2,CHF2CF2OCF2CF3,25.0,0.545,1.84e-10,7550.0,3.37e-10,3770.0,3.45e-10,1100.0,1.29e-12,3020.0,4.32e-13,1090.0,,
"2-(difluoromethoxy)-1,1,1,3,3,3-hexafluoropropane","=""26103-08-2""",HFE-338mmz1,(CF3)2CHOCHF2,22.3,0.452,1.58e-10,6500.0,2.72e-10,3040.0,2.76e-10,880.0,9.67e-13,2260.0,3.14e-13,797.0,,
"1,1,1,2,2-pentafluoro-2-(2,2,2-trifluoroethoxy)ethane","=""156053-88-2""",HFE-338mcf2,CF3CH2OCF2CF3,7.5,0.454,8.42e-11,3460.0,9.3e-11,1040.0,9.31e-11,297.0,1.17e-13,274.0,7.64e-14,194.0,105000.0,125000.0
"1,1,1,3,3,3-hexafluoro-2-(fluoromethoxy)propane","=""28523-86-6""",HFE-347mmz1,(CF3)2CHOCH2F,1.9,0.308,1.71e-11,702.0,1.75e-11,195.0,1.75e-11,55.7,1.86e-14,43.5,1.4e-14,35.4,20000.0,23600.0
"1,1,1,2,2,3,3-heptafluoro-3-methoxypropane","=""375-03-1""",HFE-347mcc3,CH3OCF2CF2CF3,5.1,0.339,4.92e-11,2020.0,5.15e-11,576.0,5.16e-11,164.0,5.74e-14,134.0,4.18e-14,106.0,58500.0,69400.0
"1-(2,2-difluoroethoxy)-1,1,2,2,2-pentafluoroethane","=""171182-95-9""",HFE-347mcf2,CHF2CH2OCF2CF3,6.7,0.431,7.96e-11,3270.0,8.62e-11,963.0,8.62e-11,275.0,1.03e-13,241.0,7.05e-14,179.0,97300.0,116000.0
"1,1,2,2-tetrafluoro-1-(2,2,2-trifluoroethoxy)ethane","=""406-78-0""",HFE-347pcf2,CHF2CF2OCH2CF3,6.1,0.482,8.21e-11,3370.0,8.76e-11,980.0,8.77e-11,279.0,1.01e-13,237.0,7.15e-14,181.0,99100.0,118000.0
"1,1,1,2,3,3,3-heptafluoro-2-methoxypropane","=""22052-84-2""",HFE-347mmy1,(CF3)2CFOCH3,3.7,0.318,3.41e-11,1400.0,3.51e-11,392.0,3.51e-11,112.0,3.81e-14,89.0,2.83e-14,71.8,40000.0,47400.0
"1,1,1,2,3,3-hexafluoro-3-methoxypropane","=""382-34-3""",HFE-356mec3,CH3OCF2CHFCF3,2.5,0.288,2.31e-11,949.0,2.36e-11,264.0,2.36e-11,75.3,2.53e-14,59.2,1.9e-14,48.0,27000.0,32000.0
"1,1,1-trifluoro-2-(2,2,2-trifluoroethoxy)ethane","=""333-36-8""",HFE-356mff2,CF3CH2OCH2CF3,0.351,0.19,2.14e-12,88.0,2.19e-12,24.4,2.19e-12,6.97,2.3e-15,5.37,1.74e-15,4.41,2510.0,2970.0
"1-(2,2-difluoroethoxy)-1,1,2,2-tetrafluoroethane","=""50807-77-7""",HFE-356pcf2,CHF2CH2OCF2CHF2,6.0,0.378,6.98e-11,2870.0,7.44e-11,831.0,7.44e-11,237.0,8.56e-14,200.0,6.06e-14,154.0,84100.0,100000.0
"3-(difluoromethoxy)-1,1,2,2-tetrafluoropropane","=""35042-99-0""",HFE-356pcf3,CHF2OCH2CF2CHF2,3.5,0.378,4.21e-11,1730.0,4.33e-11,484.0,4.33e-11,138.0,4.68e-14,110.0,3.49e-14,88.4,49300.0,58500.0
"1,1,2,2,3,3-hexafluoro-1-methoxypropane","=""160620-20-2""",HFE-356pcc3,CH3OCF2CF2CHF2,2.5,0.303,2.42e-11,995.0,2.48e-11,277.0,2.48e-11,79.0,2.66e-14,62.1,1.99e-14,50.4,28300.0,33500.0
"1,1,1,3,3,3-hexafluoro-2-methoxypropane","=""13171-18-1""",HFE-356mmz1,(CF3)2CHOCH3,0.178,0.125,7.13e-13,29.3,7.28e-13,8.13,7.28e-13,2.32,7.63e-16,1.78,5.78e-16,1.47,835.0,988.0
"1,1,1,2,2-pentafluoro-3-methoxypropane","=""378-16-5""",HFE-365mcf3,CF3CF2CH2OCH3,0.069,0.058,1.4e-13,5.77,1.43e-13,1.6,1.43e-13,0.457,1.5e-16,0.351,1.14e-16,0.289,164.0,195.0
"1-ethoxy-1,1,2,2-tetrafluoroethane","=""512-51-6""",HFE-374pc2,CHF2CF2OCH2CH3,0.208,0.132,1.1e-12,45.0,1.12e-12,12.5,1.12e-12,3.56,1.17e-15,2.74,8.89e-16,2.25,1280.0,1520.0
"4,4,4-trifluorobutan-1-ol","=""461-18-7""",,CF3(CH2)2CH2OH,0.015,0.006,4.33e-15,0.178,4.42e-15,0.049,4.42e-15,0.014,4.63e-18,0.011,3.51e-18,0.009,5.08,6.01
"2,2,3,3,4,4,5,5-octafluorocyclopentan-1-ol","=""16621-87-7""",,cyc (-(CF2)4CH(OH)-),0.301,0.156,1.2e-12,49.1,1.22e-12,13.6,1.22e-12,3.89,1.28e-15,3.0,9.71e-16,2.46,1400.0,1660.0
"1-(difluoromethoxy)-2-[difluoromethoxy(difluoro)methoxy]-1,1,2,2-tetrafluoroethane","=""188690-77-9""",HFE-43-10pccc124,CHF2OCF2OCF2CF2OCHF2,14.1,1.03,2.12e-10,8720.0,2.88e-10,3220.0,2.89e-10,920.0,6.67e-13,1560.0,2.55e-13,647.0,309000.0,383000.0
"1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane","=""219484-64-7""",HFE-449s1,C4F9OCH3,4.8,0.36,3.95e-11,1620.0,4.12e-11,460.0,4.12e-11,131.0,4.55e-14,106.0,3.34e-14,84.6,46700.0,55500.0
"1,1,1,2,2,3,3,4,4-nonafluoro-4-methoxybutane","=""163702-07-6""",n-HFE-7100,CF3CF2CF2CF2OCH3,4.8,0.425,4.67e-11,1920.0,4.86e-11,544.0,4.87e-11,155.0,5.38e-14,126.0,3.94e-14,99.9,55200.0,65600.0
"2-(difluoromethoxymethyl)-1,1,1,2,3,3,3-heptafluoropropane","=""163702-08-7""",i-HFE-7100,(CF3)2CFCF2OCH3,4.8,0.341,3.75e-11,1540.0,3.91e-11,437.0,3.91e-11,124.0,4.32e-14,101.0,3.17e-14,80.2,44300.0,52600.0
"1-ethoxy-1,1,2,2,3,3,4,4,4-nonafluorobutane","=""163702-05-4""",HFE-569sf2,C4F9OC2H5,0.8,0.301,5.32e-12,219.0,5.43e-12,60.7,5.43e-12,17.3,5.73e-15,13.4,4.33e-15,11.0,6220.0,7370.0
"1-ethoxy-1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propane","=""163702-06-5""",i-HFE-7200,(CF3)2CFCF2OCH2CH3,0.63,0.216,3.01e-12,124.0,3.07e-12,34.3,3.07e-12,9.78,3.23e-15,7.56,2.45e-15,6.2,3520.0,4160.0
"1,1,1,2,2,3,4,5,5,5-decafluoro-3-methoxy-4-(trifluoromethyl)pentane","=""132182-92-4""",HFE-7300,(CF3)2CFCFOC2H5CF2CF2CF3,5.24,0.48,3.45e-11,1420.0,3.62e-11,405.0,3.62e-11,115.0,4.05e-14,94.7,2.94e-14,74.6,41100.0,48800.0
"4-ethoxy-1,1,1,2,2,3,3,4,5,6,6,6-dodecafluoro-5-(trifluoromethyl)hexane","=""297730-93-9""",HFE-7500,n-C3F7CFOC2H5CF(CF3)2,0.3,0.27,1.14e-12,47.0,1.17e-12,13.0,1.17e-12,3.72,1.22e-15,2.86,9.28e-16,2.35,1340.0,1580.0
Bis(difluoromethoxy)-difluoromethane,"=""78522-47-1""",HFE-236ca12,CHF2OCF2OCHF2,26.5,0.648,2.85e-10,11700.0,5.42e-10,6060.0,5.57e-10,1770.0,2.15e-12,5020.0,7.33e-13,1860.0,,
"1,2-bis(difluoromethoxy)-1,1,2,2-tetrafluoroethane","=""188690-78-0""",HFE-338pcc13,CHF2OCF2CF2OCHF2,13.4,0.87,2.23e-10,9180.0,2.97e-10,3320.0,2.97e-10,948.0,6.49e-13,1520.0,2.59e-13,657.0,321000.0,395000.0
"1,1,1,3,3,3-hexafluoropropan-2-ol","=""920-66-1""",HFIP,(CF3)2CHOH,1.9,0.274,1.8e-11,742.0,1.85e-11,206.0,1.85e-11,58.8,1.97e-14,46.0,1.48e-14,37.4,21100.0,25000.0
"1-(difluoromethoxy)-2-[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethoxy]-1,1,2,2-tetrafluoroethane","=""205367-61-9""",HG-02,CHF2(OCF2CF2)2OCHF2,26.9,1.15,2.68e-10,11000.0,5.13e-10,5730.0,5.27e-10,1680.0,2.05e-12,4780.0,7.04e-13,1780.0,,
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexadecafluoro-2,5,8,11-tetraoxadodecane","=""173350-37-3""",HG-03,CHF2(OCF2CF2)3OCHF2,26.9,1.43,2.5e-10,10300.0,4.79e-10,5350.0,4.92e-10,1570.0,1.91e-12,4470.0,6.57e-13,1660.0,,
"2-ethenoxy-1,1,1-trifluoroethane","=""406-90-6""",Fluroxene,CF3CH2OCH=CH2,0.01,0.011,5.05e-15,0.207,5.15e-15,0.058,5.15e-15,0.016,5.39e-18,0.013,4.09e-18,0.01,5.91,6.99
"2-ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan","=""920979-28-8""",,C12H5F19O2,0.81,0.489,4.27e-12,175.0,4.36e-12,48.7,4.36e-12,13.9,4.6e-15,10.7,3.47e-15,8.8,4990.0,5910.0
Difluoro(methoxy)methane,"=""359-15-9""",,CH3OCHF2,1.1,0.153,1.19e-11,491.0,1.22e-11,136.0,1.22e-11,38.9,1.29e-14,30.1,9.73e-15,24.7,14000.0,16500.0
"1,1,2,2-tetrafluoro-1,2-dimethoxyethane","=""73287-23-7""",HG'-01,CH3OCF2CF2OCH3,1.7,0.289,1.77e-11,727.0,1.81e-11,202.0,1.81e-11,57.7,1.92e-14,45.0,1.45e-14,36.7,20700.0,24500.0
"1,1,2,2-Tetrafluoro-1-methoxyethane","=""485399-46-0""",HG'-02,CH3O(CF2CF2O)2CH3,1.7,0.562,2e-11,823.0,2.05e-11,229.0,2.05e-11,65.3,2.18e-14,50.9,1.64e-14,41.5,23400.0,27700.0
"1,1,2,2-tetrafluoro-1-methoxy-2-[1,1,2,2-tetrafluoro-2-(1,1,2,2-tetrafluoro-2-methoxyethoxy)ethoxy]ethane","=""485399-48-2""",HG'-03,CH3O(CF2CF2O)3CH3,1.7,0.762,1.92e-11,789.0,1.96e-11,219.0,1.96e-11,62.5,2.09e-14,48.8,1.57e-14,39.8,22400.0,26600.0
"1,1,1,2,3,3-hexafluoro-3-(trifluoromethoxy)propane","=""428454-68-6""",HFE-329me3,CF3CFHCF2OCF3,33.6,0.489,1.8e-10,7410.0,3.93e-10,4390.0,4.16e-10,1330.0,1.73e-12,4040.0,6.71e-13,1700.0,,
"3,3,4,4,5,5,6,6,7,7,7-undecafluoroheptan-1-ol","=""185689-57-0""",,CF3(CF2)4CH2CH2OH,0.047,0.054,4.68e-14,1.92,4.77e-14,0.533,4.77e-14,0.152,5e-17,0.117,3.79e-17,0.096,54.8,64.8
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononan-1-ol","=""755-02-2""",,CF3(CF2)6CH2CH2OH,0.047,0.06,3.93e-14,1.62,4.01e-14,0.449,4.02e-14,0.128,4.21e-17,0.098,3.19e-17,0.081,46.1,54.5
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-nonadecafluoroundecan-1-ol","=""87017-97-8""",,CF3(CF2)8CH2CH2OH,0.047,0.045,2.4e-14,0.985,2.45e-14,0.273,2.45e-14,0.078,2.56e-17,0.06,1.94e-17,0.049,28.1,33.2
"2-chloro-1,1,2-trifluoro-1-methoxyethane","=""425-87-6""",,CH3OCF2CHClF,1.43,0.211,1.19e-11,488.0,1.21e-11,136.0,1.21e-11,38.7,1.29e-14,30.1,9.7e-15,24.6,13900.0,16400.0
"1‐(difluoro(trifluoromethoxy)methoxy)‐1,1,2,3,3,3‐hexafluoro‐2‐(trifluoromethoxy)propane","=""1309353-34-1""",PFPMIE,CF3OCFCF3CF2OCF2OCF3,800.0,0.64,1.89e-10,7750.0,9.2e-10,10300.0,3.68e-09,11700.0,4.59e-12,10700.0,4.75e-12,12000.0,,
"1,1,2-trifluoro-2-(trifluoromethoxy)ethene","=""1187-93-5""",HFE-216,CF3OCF=CF2,0.004,0.006,9.09e-16,0.037,9.27e-16,0.01,9.28e-16,0.003,9.71e-19,0.002,7.37e-19,0.002,1.06,1.26
Perfluoroethyl formate,"=""313064-40-3""",,CF3CF2OCHO,3.6,0.408,5.19e-11,2130.0,5.34e-11,597.0,5.34e-11,170.0,5.79e-14,135.0,4.31e-14,109.0,60800.0,72100.0
"2,2,2-trifluoroethyl formate","=""32042-38-9""",,CF3CH2OCHO,0.548,0.192,4.8e-12,197.0,4.9e-12,54.8,4.9e-12,15.6,5.16e-15,12.1,3.9e-15,9.89,5620.0,6650.0
"Formic acid;1,1,1,3,3,3-hexafluoropropan-2-ol","=""856766-70-6""",,(CF3)2CHOCHO,3.1,0.255,2.35e-11,964.0,2.4e-11,269.0,2.41e-11,76.7,2.59e-14,60.6,1.93e-14,49.0,27400.0,32500.0
"Ethenyl 2,2,2-trifluoroacetate","=""433-28-3""",,CF3COOCH=CH2,0.004,0.004,7.05e-16,0.029,7.19e-16,0.008,7.19e-16,0.002,7.52e-19,0.002,5.71e-19,0.001,0.825,0.976
"Ethyl 2,2,2-trifluoroacetate","=""383-63-1""",,CF3COOCH2CH3,0.06,0.056,1.39e-13,5.7,1.41e-13,1.58,1.42e-13,0.451,1.48e-16,0.347,1.12e-16,0.285,162.0,192.0
"Prop-2-enyl 2,2,2-trifluoroacetate","=""383-67-5""",,CF3COOCH2CH=CH2,0.003,0.005,6.36e-16,0.026,6.48e-16,0.007,6.49e-16,0.002,6.79e-19,0.002,5.15e-19,0.001,0.745,0.881
"Methyl 2,2,2-trifluoroacetate","=""431-47-0""",,CF3COOCH3,1.0,0.158,7.21e-12,296.0,7.36e-12,82.3,7.36e-12,23.5,7.78e-15,18.2,5.87e-15,14.9,8430.0,9980.0
"2,2,3,3,4,4,4-heptafluorobutan-1-ol","=""375-01-9""",,CF3CF2CF2CH2OH,0.55,0.199,3.2e-12,131.0,3.26e-12,36.5,3.26e-12,10.4,3.43e-15,8.03,2.6e-15,6.58,3740.0,4430.0
"1,1,2-trifluoro-2-(trifluoromethoxy)ethane","=""84011-06-3""",,CHF2CHFOCF3,9.0,0.353,9.76e-11,4010.0,1.13e-10,1260.0,1.13e-10,359.0,1.62e-13,379.0,9.33e-14,236.0,126000.0,151000.0
"1-ethoxy-1,1,2,3,3,3-hexafluoropropane","=""380-34-7""",,CF3CHFCF2OCH2CH3,0.403,0.193,2.32e-12,95.2,2.36e-12,26.4,2.37e-12,7.54,2.49e-15,5.81,1.88e-15,4.77,2710.0,3210.0
