Year,TSI
1740,1360.71
1741,1360.73
1742,1360.79
1743,1360.59
1744,1360.52
1745,1360.49
1746,1360.49
1747,1360.47
1748,1360.7
1749,1360.98
1750,1361
1751,1360.9
1752,1360.79
1753,1360.76
1754,1360.69
1755,1360.61
1756,1360.6
1757,1360.65
1758,1360.64
1759,1360.26
1760,1360.19
1761,1360.89
1762,1360.95
1763,1360.87
1764,1360.84
1765,1360.61
1766,1360.65
1767,1360.74
1768,1361.12
1769,1361.37
1770,1361.59
1771,1361.41
1772,1361.38
1773,1361.12
1774,1360.99
1775,1360.72
1776,1360.67
1777,1360.74
1778,1361.12
1779,1360.75
1780,1360.5
1781,1360.58
1782,1360.8
1783,1360.52
1784,1360.57
1785,1360.66
1786,1360.84
1787,1361
1788,1361.25
1789,1360.76
1790,1360.58
1791,1360.59
1792,1360.63
1793,1360.53
1794,1360.53
1795,1360.8
1796,1360.76
1797,1360.69
1798,1360.68
1799,1360.66
1800,1360.6
1801,1360.85
1802,1360.93
1803,1360.76
1804,1360.71
1805,1360.67
1806,1360.74
1807,1360.58
1808,1360.53
1809,1360.53
1810,1360.49
1811,1360.48
1812,1360.48
1813,1360.5
1814,1360.53
1815,1360.55
1816,1360.62
1817,1360.65
1818,1360.61
1819,1360.6
1820,1360.57
1821,1360.53
1822,1360.52
1823,1360.5
1824,1360.57
1825,1360.62
1826,1360.68
1827,1360.87
1828,1360.95
1829,1360.96
1830,1361.01
1831,1361.01
1832,1360.86
1833,1360.75
1834,1360.72
1835,1360.76
1836,1361.13
1837,1361.4
1838,1361.38
1839,1361.21
1840,1361.2
1841,1361.05
1842,1360.96
1843,1360.9
1844,1360.83
1845,1360.81
1846,1360.83
1847,1360.55
1848,1360.87
1849,1361.32
1850,1361.18
1851,1361.12
1852,1361.15
1853,1361.08
1854,1360.93
1855,1360.8
1856,1360.73
1857,1360.73
1858,1360.86
1859,1360.95
1860,1361.22
1861,1361.26
1862,1361.1
1863,1361.04
1864,1360.88
1865,1360.87
1866,1360.85
1867,1360.73
1868,1360.72
1869,1360.96
1870,1360.8
1871,1361.19
1872,1361.09
1873,1361.11
1874,1361
1875,1360.89
1876,1360.79
1877,1360.76
1878,1360.7
1879,1360.68
1880,1360.71
1881,1360.95
1882,1360.86
1883,1360.78
1884,1361.13
1885,1361.02
1886,1360.9
1887,1360.76
1888,1360.73
1889,1360.7
1890,1360.7
1891,1360.86
1892,1361.03
1893,1361.26
1894,1361.53
1895,1361.38
1896,1361.17
1897,1360.98
1898,1360.91
1899,1360.88
1900,1360.8
1901,1360.69
1902,1360.65
1903,1360.74
1904,1361.08
1905,1360.89
1906,1361.21
1907,1361
1908,1361.15
1909,1360.99
1910,1360.96
1911,1360.77
1912,1360.67
1913,1360.7
1914,1360.76
1915,1361.1
1916,1361.5
1917,1361.63
1918,1361.89
1919,1361.53
1920,1361.29
1921,1361.09
1922,1360.9
1923,1360.82
1924,1360.79
1925,1360.89
1926,1361.15
1927,1361.47
1928,1361.24
1929,1361.21
1930,1361.35
1931,1361.07
1932,1360.89
1933,1360.79
1934,1360.8
1935,1360.95
1936,1361.5
1937,1361.65
1938,1361.59
1939,1361.69
1940,1361.51
1941,1361.42
1942,1361.22
1943,1360.96
1944,1360.93
1945,1361.14
1946,1361.18
1947,1361.68
1948,1362.07
1949,1361.9
1950,1361.8
1951,1361.27
1952,1361.33
1953,1361.18
1954,1361.02
1955,1361.12
1956,1361.47
1957,1361.95
1958,1362.43
1959,1362.17
1960,1362.11
1961,1361.81
1962,1361.37
1963,1361.28
1964,1361.14
1965,1361.06
1966,1361.09
1967,1361.4
1968,1361.63
1969,1361.57
1970,1361.68
1971,1361.6
1972,1361.56
1973,1361.32
1974,1361.17
1975,1361.05
1976,1360.98
1977,1361.29
1978,1361.95
1979,1362.23
1980,1362.1
1981,1362.08
1982,1361.69
1983,1361.67
1984,1361.12
1985,1361.09
1986,1361.09
1987,1361.11
1988,1361.7
1989,1362.11
1990,1361.86
1991,1361.93
1992,1362
1993,1361.46
1994,1361.2
1995,1361.15
1996,1361.02
1997,1361.12
1998,1361.46
1999,1361.76
2000,1361.93
2001,1361.84
2002,1361.79
2003,1361.31
2004,1361.09
2005,1360.92
2006,1360.88
2007,1360.88
2008,1360.82
2009,1360.81
2010,1361.01
2011,1361.22
2012,1361.42
