year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2020,2.23,0.56,0.21,0.40,0.48,0.05,0.06,-0.14,-0.86,0.11,-0.20,0.06,-0.02,2.90,0.04,2.94
2030,2.72,0.60,0.23,0.41,0.49,0.06,0.08,-0.13,-0.71,0.09,-0.21,0.00,-0.02,3.62,-0.02,3.60
2040,3.31,0.67,0.26,0.41,0.54,0.06,0.09,-0.14,-0.67,0.09,-0.23,0.00,-0.01,4.40,-0.01,4.39
2050,3.85,0.64,0.28,0.40,0.42,0.06,0.08,-0.13,-0.38,0.05,-0.23,0.00,0.01,5.04,0.01,5.05
2060,4.08,0.46,0.30,0.35,0.29,0.04,0.07,-0.14,-0.25,0.04,-0.25,0.00,0.01,4.99,0.01,5.00
2070,4.01,0.31,0.32,0.28,0.19,0.03,0.05,-0.16,-0.16,0.02,-0.26,0.00,0.02,4.64,0.02,4.66
2080,3.79,0.23,0.34,0.24,0.14,0.02,0.04,-0.18,-0.11,0.01,-0.26,0.00,0.02,4.26,0.02,4.28
2090,3.53,0.18,0.36,0.21,0.12,0.02,0.04,-0.20,-0.07,0.00,-0.26,0.00,0.01,3.93,0.01,3.93
2100,3.26,0.16,0.38,0.18,0.11,0.01,0.04,-0.20,-0.06,0.00,-0.26,0.00,-0.00,3.63,-0.00,3.63
2200,2.08,0.13,0.44,0.08,0.11,0.01,0.01,-0.18,0.01,-0.01,-0.25,0.00,0.03,2.43,0.03,2.47
2300,1.99,0.11,0.44,0.04,0.09,0.01,0.00,-0.17,0.05,-0.01,-0.25,0.00,0.00,2.30,0.00,2.30
2400,1.91,0.11,0.44,0.03,0.09,0.01,0.00,-0.17,0.05,-0.01,-0.25,0.00,0.00,2.20,0.00,2.20
2500,1.84,0.11,0.43,0.03,0.09,0.01,0.00,-0.17,0.05,-0.01,-0.25,0.00,0.00,2.12,0.00,2.12
