year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2020,2.23,0.56,0.21,0.40,0.48,0.05,0.05,-0.19,-0.96,0.11,-0.20,0.06,-0.02,2.75,0.04,2.78
2030,2.71,0.63,0.23,0.39,0.46,0.06,0.07,-0.18,-0.84,0.09,-0.21,0.00,-0.02,3.40,-0.02,3.38
2040,3.22,0.69,0.26,0.37,0.45,0.06,0.08,-0.17,-0.70,0.08,-0.22,0.00,-0.01,4.12,-0.01,4.11
2050,3.76,0.75,0.29,0.36,0.42,0.07,0.09,-0.16,-0.49,0.05,-0.23,0.00,0.01,4.91,0.01,4.92
2060,4.31,0.80,0.33,0.35,0.44,0.07,0.09,-0.16,-0.45,0.05,-0.24,0.00,0.01,5.59,0.01,5.60
2070,4.87,0.86,0.36,0.35,0.47,0.08,0.09,-0.16,-0.40,0.04,-0.25,0.00,0.02,6.30,0.02,6.32
2080,5.45,0.91,0.39,0.35,0.49,0.08,0.09,-0.17,-0.36,0.04,-0.26,0.00,0.02,7.01,0.02,7.03
2090,6.04,0.96,0.42,0.35,0.51,0.09,0.09,-0.17,-0.31,0.03,-0.26,0.00,0.01,7.73,0.01,7.74
2100,6.64,1.00,0.45,0.36,0.52,0.09,0.08,-0.17,-0.27,0.03,-0.27,0.00,-0.00,8.46,-0.00,8.46
2200,10.00,0.77,0.64,0.22,0.27,0.07,0.03,-0.14,-0.01,-0.00,-0.29,0.00,0.03,11.55,0.03,11.59
2300,10.11,0.58,0.68,0.08,0.11,0.05,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,11.31,0.00,11.31
2400,9.84,0.57,0.69,0.06,0.10,0.05,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,11.01,0.00,11.01
2500,9.60,0.56,0.70,0.06,0.09,0.05,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,10.76,0.00,10.76
