year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2020,2.21,0.57,0.21,0.40,0.48,0.05,0.05,-0.17,-0.96,0.11,-0.20,0.06,-0.02,2.76,0.04,2.80
2030,2.61,0.65,0.23,0.40,0.52,0.06,0.06,-0.17,-0.96,0.12,-0.20,0.00,-0.02,3.31,-0.02,3.30
2040,3.05,0.71,0.26,0.40,0.55,0.07,0.07,-0.18,-0.94,0.11,-0.21,0.00,-0.01,3.89,-0.01,3.89
2050,3.48,0.76,0.29,0.39,0.56,0.07,0.07,-0.20,-0.88,0.10,-0.21,0.00,0.01,4.44,0.01,4.46
2060,3.89,0.79,0.32,0.38,0.56,0.07,0.08,-0.21,-0.79,0.09,-0.21,0.00,0.01,4.95,0.01,4.96
2070,4.27,0.81,0.34,0.35,0.55,0.07,0.08,-0.23,-0.69,0.07,-0.22,0.00,0.02,5.41,0.02,5.43
2080,4.60,0.82,0.37,0.31,0.52,0.07,0.08,-0.23,-0.56,0.06,-0.22,0.00,0.02,5.82,0.02,5.83
2090,4.85,0.81,0.39,0.27,0.49,0.07,0.08,-0.23,-0.44,0.04,-0.22,0.00,0.01,6.12,0.01,6.13
2100,5.03,0.80,0.42,0.24,0.46,0.07,0.08,-0.24,-0.37,0.03,-0.21,0.00,-0.00,6.31,-0.00,6.31
2200,6.01,0.63,0.55,0.10,0.27,0.06,0.03,-0.21,-0.10,0.00,-0.20,0.00,0.03,7.13,0.03,7.17
2300,5.88,0.51,0.57,0.07,0.16,0.05,0.00,-0.20,0.04,-0.01,-0.20,0.00,0.00,6.87,0.00,6.87
2400,5.64,0.51,0.57,0.06,0.15,0.05,0.00,-0.20,0.04,-0.01,-0.20,0.00,0.00,6.62,0.00,6.62
2500,5.43,0.51,0.57,0.05,0.15,0.05,0.00,-0.20,0.04,-0.01,-0.20,0.00,0.00,6.40,0.00,6.40
