year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2020,2.22,0.55,0.21,0.40,0.42,0.05,0.05,-0.20,-0.81,0.08,-0.20,0.06,-0.02,2.76,0.04,2.80
2030,2.56,0.52,0.22,0.39,0.30,0.05,0.04,-0.19,-0.51,0.04,-0.21,0.00,-0.02,3.23,-0.02,3.21
2040,2.79,0.46,0.24,0.34,0.26,0.04,0.04,-0.16,-0.36,0.03,-0.20,0.00,-0.01,3.49,-0.01,3.48
2050,2.93,0.41,0.25,0.28,0.21,0.04,0.04,-0.15,-0.26,0.02,-0.20,0.00,0.01,3.56,0.01,3.58
2060,2.99,0.35,0.25,0.24,0.18,0.03,0.04,-0.13,-0.20,0.02,-0.20,0.00,0.01,3.58,0.01,3.58
2070,2.98,0.31,0.26,0.21,0.15,0.03,0.04,-0.13,-0.16,0.02,-0.19,0.00,0.02,3.52,0.02,3.54
2080,2.91,0.26,0.27,0.19,0.12,0.02,0.04,-0.13,-0.10,0.01,-0.18,0.00,0.02,3.40,0.02,3.42
2090,2.78,0.22,0.28,0.17,0.10,0.02,0.03,-0.13,-0.06,0.01,-0.17,0.00,0.01,3.24,0.01,3.25
2100,2.63,0.19,0.28,0.16,0.08,0.02,0.03,-0.12,-0.01,0.00,-0.17,0.00,-0.00,3.10,-0.00,3.10
2200,2.06,0.12,0.32,0.07,0.04,0.01,0.01,-0.10,0.08,-0.01,-0.15,0.00,0.03,2.47,0.03,2.50
2300,1.96,0.08,0.31,0.04,0.01,0.01,0.00,-0.09,0.14,-0.01,-0.15,0.00,0.00,2.30,0.00,2.30
2400,1.87,0.08,0.30,0.03,0.01,0.01,0.00,-0.09,0.14,-0.01,-0.15,0.00,0.00,2.19,0.00,2.19
2500,1.79,0.08,0.29,0.02,0.01,0.01,0.00,-0.09,0.14,-0.01,-0.15,0.00,0.00,2.11,0.00,2.11
